x,y,pressure,roll,pitch,yaw
183,67,541,-2.3694072950186262,1.3321470737932029,-0.0035228165408746712
183,67,496,-2.335293925072074,1.1523480202367278,-0.0786940667627686
183,66,0,-2.699939018475247,1.0977030507747918,-0.5368556238574532
183,66,479,-2.7637684296027007,0.8359719373909459,-0.4275293922830565
184,68,0,-2.6265121348430527,0.8909956280599156,-0.17562450168751126
183,66,449,-2.671567323548617,0.9494025189907838,-0.3117035292797139
183,67,456,-2.6477168925624675,0.9964350308097205,-0.31586674281114896
183,68,439,-2.6488520304074985,1.2280403057580036,-0.39770040415621877
184,68,440,-2.4122692653028612,1.1401411307435487,0.03586610692539808
185,72,439,-2.321124204568566,1.2126514525657468,-0.01110704192303266
186,74,0,-2.6771730721091163,1.2093719995017576,-0.37886802559412985
187,76,421,-2.5027114771498638,1.1816950315292567,-0.3242617702288146
187,78,429,-2.684293499043254,1.1392764897110368,-0.3859884525282681
188,81,426,-2.7069112174173005,0.849668325157964,-0.39391553190352435
189,82,434,-2.882550532368278,1.2601073195725514,-0.6047058934733175
189,85,433,2.3331579593122,1.3520269566658136,-1.9766860438654952
189,88,434,-2.6478317254358843,1.0932511326208965,-0.17286643938025298
189,89,434,-2.636736790012803,1.0449121986038015,-0.6000581613200902
189,90,443,-2.8287168938318925,1.2494637506848565,-0.7007110962180049
189,92,442,0.1612587347977084,1.2601484479102523,2.0755643742598537
189,93,442,-3.043665129906119,1.1799029794013172,-1.0376128652717265
189,88,0,1.5508751516547694,1.2305064536189103,-3.012851846667978
189,94,0,-2.8142905028524514,0.8965558764003541,-0.4699281030832267
188,94,438,-2.5760192052300823,1.0982537690474772,-0.196367628026749
188,92,456,3.0355921620184576,1.3951055854066086,-1.310167097887073
187,92,459,1.1036458428687388,1.3124817636314534,2.988704134583157
186,90,478,-2.6738931107235397,0.8919602411464638,-0.15858524216200184
183,88,449,-2.397902633244656,1.4779987262084726,-0.3226415586665211
180,85,472,-2.616699937089282,1.0068132872765807,-0.22373853792765427
177,82,449,-2.6279320341643904,1.0466243065227072,-0.4478296489213094
176,80,448,-2.7808485403673755,0.8988147718007902,-0.5175744215072673
174,79,445,-2.55063137518285,1.0196689071878384,-0.37218159357932146
172,78,446,-2.6327303037438816,0.9775507589454512,-0.3308528820579467
172,77,433,-2.679439400066968,1.0970213451528348,-0.39632253909110554
170,77,426,-2.6794389767183935,1.09702129107271,-0.39632186157071536
170,76,420,-2.6403497447541486,1.1396012782333362,-0.4234585553489638
168,76,417,-2.5761444232306454,0.9491473290573319,-0.008991022220497311
167,78,427,-2.6523021350794926,1.1097627579121876,-0.41797987450233687
166,78,430,-2.8367992193217613,1.182640723499454,-0.5885619210580489
165,79,426,-2.3089309094092023,1.2770795919278615,0.07772684267883717
164,79,408,-2.832686897798038,1.0327107618178148,-0.6484297980071884
164,81,0,-2.5906828876678123,0.8392549160576857,-0.3925877628342331
163,82,407,-2.687178646109273,0.9593630527865467,-0.4040617321736088
162,84,432,-2.835122960202882,1.229081563613966,-0.6521337914535354
160,86,424,-2.513499763322153,1.0287602302968246,-0.25888658215556426
159,87,428,-2.4588623588822838,1.2642268936570735,-0.2804124289165983
157,88,398,-2.1729231789636327,1.2202158103572116,0.15893357996630264
155,89,402,-2.530952485881412,1.10002127957873,-0.35250269663017725
152,90,417,-2.7004961242556935,1.047164815885564,-0.7015032540264446
150,92,410,-2.718146487145685,1.1133886088531129,-0.5186478464247707
149,92,431,-2.5997873616518636,1.2834443608301094,-0.41968484206989387
147,92,430,-2.4981600596536677,0.8773643978534433,-0.13390287086726682
146,92,420,-2.7276439972932423,1.1873849939369483,-0.5281452970210172
145,92,413,-2.7826277341200787,1.059017373177715,-0.5825146755454232
144,91,413,-2.571559573781663,0.9424817351413556,-0.08769012198166432
144,91,414,-2.6489392485548087,1.0388438953464494,-0.30284877826429113
143,90,395,-2.707653546047762,1.0198093616074486,-0.38044200906798303
142,89,411,-2.267315950142392,1.0988096546240316,0.12003320837009271
141,87,428,-2.527614150539311,0.7220838056541741,-0.04551736300280222
139,85,438,-2.864770866727859,1.2702096967023304,-0.664657987990336
139,83,426,-2.806151778773675,0.9571360797905341,-0.5004869260568594
138,81,427,-2.9384007116549333,1.2639535392876724,-0.9070335087974909
137,79,489,-2.8974400690130335,1.0806897999790153,-0.7802819786307809
138,78,0,3.1283794146304027,1.444457978388455,-1.3171510530866164
138,74,542,-2.7990009163763743,0.8805358888787626,-0.5983224452236284
-46,191,0,-2.8858105383809476,1.2002379473712177,-0.8122429789257516
-46,203,0,-2.645560987089362,0.9531325546051388,-0.3284403444394833
-46,176,0,2.7705538482616037,1.2295864172130864,-1.6026406203891772
-46,193,0,-2.679453447903648,0.885793013384938,-0.3195894134069991
-46,184,0,-2.503985654214657,1.400317053348173,-0.08155067159071347
-46,266,0,-2.4881938975894995,1.3370806773213821,-0.18631647590356498
-46,206,0,-0.32046842956482013,1.3341390170726288,1.7570013271491787
-46,196,0,-2.6293309094927313,0.7681885647907755,-0.2924451872242856
-46,190,0,-2.618778603265601,0.9648081657756241,-0.23912689585754407
-46,146,0,-2.7113563711973603,1.0406166797507794,-0.51185773683493
-46,125,0,-2.8286864505257996,0.9619903232055149,-0.5966846713859716
-46,192,0,-2.736455849395752,0.9270353837631236,-0.58949220103774
-46,188,0,-2.7687546199761934,0.9905375024900783,-0.5686416367897814
-46,198,0,-2.5469954604792227,1.0656009220459006,-0.22539088499849488
-46,192,0,-2.648939327213403,1.0388439106748102,-0.3028489139343374
-46,160,0,-2.452049558385494,1.1978131076776033,-0.1627067886724795
-46,125,0,-2.5466087412254885,1.1635909432502969,-0.31137163286926484
-46,200,0,-2.8351231605284584,1.229081563162652,-0.6521340686082935
-46,197,0,-2.511834435098403,1.2415799134382886,-0.27659725675410607
-46,193,0,-2.6807218497340592,0.9155252119816335,-0.4133144140761547
-46,111,0,-2.7606509862459037,1.3047769193854368,-0.5438700963179944
-46,201,0,-2.394626295417385,1.2897622036148182,-0.27988418474409105
-46,234,0,-2.6624900232832287,1.0552853309858299,-0.2892982178645117
172,67,616,-2.8623611730551297,0.8259259253654071,-0.5630143137379549
172,67,480,-2.6734622886672446,1.1676789328672794,-0.3903453747315801
170,67,0,-2.5556932269898507,1.3567123684551998,-0.41517124541439865
168,67,453,-2.5376559759837534,0.9527654553537209,-0.28304284750080405
165,66,442,-2.647716732373075,0.9964349960795221,-0.3158664534287532
161,65,0,-2.6040358872947755,1.0296632038889877,-0.33428859853275167
157,65,437,-2.5506311837823388,1.0196688628973254,-0.372181261394305
150,64,425,-2.777009341151355,1.078691658520529,-0.4407703693347978
142,62,421,-2.706164855533081,1.206429420696154,-0.5622749633223628
133,61,421,-3.086389335022379,1.4289768022421656,-1.019409287485791
126,60,424,-2.8581801928420263,1.099516385890947,-0.6739229866897405
116,58,438,-2.468825945772864,1.1526227675773133,-0.19652328274686898
107,57,420,-2.1706398707771166,1.2623494232297106,0.0667029637304657
100,56,420,-2.400562192358842,0.9372381496022271,0.06852825436284503
94,56,422,-2.498280082545053,1.1224631286743705,-0.20893717690195196
88,56,419,-2.5711516826633813,0.994204836340607,-0.2495471632451404
83,56,417,-2.878657617054268,1.0650801417167624,-0.7990653442495181
80,57,440,-2.4301617503948822,1.043847934884889,-0.15505676524408965
78,56,431,-2.6199668025568266,1.091027556576366,-0.3028464174529385
77,57,424,-2.5147830152747987,0.9148688981198485,-0.20476585262926592
76,58,431,-2.580831312267113,1.0907296070378114,-0.482976987835999
75,58,442,-2.7982594786738066,0.6693517250295328,-0.597059050313401
75,59,0,-2.6574799771031703,1.1540503230324415,-0.4063286254617644
75,60,519,-2.753832062174874,0.8363609845666532,-0.5371525902327052
76,61,0,-2.7003356295519287,0.7450387862235215,-0.32714383005004516
-46,182,0,-2.7579509814058265,0.9282321969935557,-0.34287560906152265
-46,191,0,-2.7492157813493976,1.145254351919835,-0.7040748583342853
-46,184,0,-2.703942566164729,1.2753665635447333,-0.600577618591386
-46,199,0,-2.8287168938318925,1.2494637506848565,-0.7007110962180049
-46,195,0,-2.5469954312806165,1.0656009148563523,-0.22539083562564596
-46,121,0,-2.2796465867365723,1.1482768933734155,0.05221025528669667
-46,186,0,-2.569993818244962,1.086520604417196,-0.3347567098887388
-46,113,0,-2.72614200649913,1.1297936223526222,-0.7271492623926843
-46,195,0,-0.058682771732615706,1.4488098785684027,1.9582585910618668
-46,195,0,-2.719288932053306,0.9203120216196607,-0.4858049826140185
-46,187,0,-2.622037236006313,1.226386542710449,-0.2359427545597916
-46,200,0,-2.75492962727135,1.1150403366034323,-0.4745539963035117
-46,202,0,-2.45487430362028,1.3199436576241141,-0.21963719526405562
-46,196,0,-2.729228557951053,1.013031581611272,-0.36201184085264076
-46,187,0,-2.9127577150233455,1.0613037268119714,-0.6962581110640135
-46,196,0,2.2092819824640446,1.5419636736971447,-2.1961634583249285
-46,261,0,-2.289145987134227,1.4615103705532937,-0.43140129574056774
-46,193,0,-2.717280258483313,1.0138748550101984,-0.5004994285342622
-46,188,0,-1.8952971737113826,1.228555468172758,0.4058270152392628
-46,199,0,-2.6999390298717216,1.097703051762902,-0.5368556418262642
-46,119,0,2.7226046663175847,1.486724615767518,-1.5859782384195396
-46,194,0,-3.036035436006248,0.2502748155272894,-0.16304719627694259
-46,190,0,2.549884295060183,-0.4948598909204729,0.5170255814793043
-46,119,0,-2.8092860283555527,1.1867618575970516,-0.6440041823524985
-46,195,0,-0.5988341602633928,1.4296539687956673,1.377519074171905
-46,237,0,-2.67483895196668,1.0311892045700937,-0.2887444821259371
-46,189,0,-2.724169118914613,0.9732932209161619,-0.36986655396679274
-46,114,0,-2.6044540269514918,1.0747426019014006,-0.31835872190312847
139,81,0,-3.0204729554073424,1.2325620971397393,-0.9606116845314333
139,81,461,-2.7544685608713544,0.9471150389469488,-0.5714794689511896
139,81,445,-2.565118999939368,0.9409548995552445,-0.3866692183358393
139,81,414,-2.2439019397349034,1.2304105573799538,0.012697911263339334
139,80,0,-2.4651761104366825,0.9951875179398915,0.01785901770589088
140,82,399,-2.6490941595117565,1.0803391043815056,-0.2892303018599927
139,86,403,-2.6999388037242893,1.097703032202313,-0.5368552852940558
140,88,397,-2.6038447351841705,0.8990927327407481,-0.4842508417292591
141,92,413,-2.9337656856009584,0.9866552673676434,-0.918981655202486
142,98,418,-1.9404269123021978,1.096704081288422,0.5537167280276888
144,103,406,-2.9275350874238044,1.1214233612267819,-0.7924892349817166
145,108,0,-2.5774115384509293,1.0548899367736337,-0.11491746820163266
147,113,416,-2.7337070547424998,1.031408398123944,-0.4840726792331041
148,119,425,-2.6199669183679486,1.0910275771684763,-0.302846605840897
149,124,433,-2.806543255908859,0.8740351394807558,-0.30212012044218123
150,126,407,-2.828716930360633,1.2494637503290245,-0.700711145609608
151,131,439,-2.8821958634059994,1.1399214251903629,-0.6815173774258914
152,135,485,-2.5118346678475203,1.2415799446432394,-0.2765975797838675
153,138,489,-2.559395230069526,1.3098070413445217,-0.43980133661461457
156,138,0,-2.651313542497087,0.8914373386000307,-0.16669724262068594
-46,187,0,-2.6235681396392225,0.9314420744051819,-0.16107408122123332
-46,103,0,-2.807197310948099,0.7694816631033602,-0.45067898008594753
-46,115,0,-2.657368840067572,0.8163237104293766,-0.26440745309582747
-46,191,0,-2.567551217682062,1.0388437663780343,-0.23066542868641177
-46,194,0,-2.279573547945809,1.2089970000604173,-0.19456069143856
-46,186,0,-2.680834620192429,0.9757990715315981,-0.5369448666831392
-46,255,0,-2.3703300964148055,1.0923275860468082,-0.006072842596588463
-46,195,0,-2.6243871533217256,0.9221147283756357,-0.463708423591704
-46,218,0,-2.750243444807453,0.8148323958535703,-0.4410545392689932
-46,188,0,-2.6167642944774743,1.2490349069469149,-0.4179356548792786
-46,147,0,-2.563864119098163,1.1777025261982041,-0.2941169689595354
-46,194,0,-2.6133273325324553,1.2032912465733687,-0.43322481295048587
-46,197,0,-2.782627841316102,1.0590173791519775,-0.5825148520233424
-46,188,0,-2.4698488621723658,1.0384385688331075,-0.27256030170402973
-46,199,0,-2.6317221370082087,1.2160377353359448,-0.41483081563284563
-46,197,0,-2.3071739158019318,1.3840037736762392,-0.14913663738827684
-46,141,0,-2.136390702630957,1.1912502480004934,0.1224018013203215
-46,186,0,-2.579928716666225,1.1909793677337845,-0.27805137479844194
-46,199,0,-2.5699123327795403,1.039137268079892,-0.3529001645113329
-46,170,0,-2.2366270807379727,1.360056509340674,-0.2196858979695458
-46,190,0,-2.7368217580686647,0.7576348942260999,-0.2317851702369891
-46,181,0,-2.32480376625185,1.1920877107272083,0.09736771276887399
-46,185,0,-2.5865313412006414,1.244161940004968,-0.24044080663003853
-46,183,0,-2.6141582991221,1.0099295272079687,-0.12954206962437542
169,128,0,-2.59129726212335,0.9745785770478376,-0.15240310662312542
164,120,479,-2.5771469214058325,1.2247586766369896,-0.4575530279509211
161,118,443,-2.7173811267511576,1.1004821867046215,-0.36307873184680406
157,117,456,-2.618941821399087,1.003042490203701,-0.3328466385858832
152,115,443,-2.616502620729377,0.7882423503526657,-0.29489803869946984
148,113,421,-2.161779908799784,1.3783568064799188,0.11052277481422426
141,110,0,-2.8409420531411858,1.0845292521265208,-0.6911615718647697
135,107,0,-2.6167646270775653,1.2490349340743325,-0.417936108015079
129,104,459,-2.6943787130436685,1.111990489423624,-0.38138297004203137
123,101,428,-2.9043966843727738,1.120184122134549,-0.8649369181729514
117,99,438,-2.763484220938582,1.0637611750408396,-0.4542952659369864
113,97,416,-2.4831964308614056,1.2230474098543556,-0.1315592781306648
110,96,421,-2.9584925249340346,1.3556001914069256,-0.6952183697199422
108,96,400,-2.6317221530304047,1.2160377367871582,-0.41483083821088523
107,96,396,-2.75900723056307,0.999679460629397,-0.4498182755614741
106,95,395,-2.197616301963966,1.055237679464871,0.19830174045438867
105,97,396,-2.648939399092281,1.0388439246994818,-0.3028490379257097
105,98,407,-2.512685552692732,1.2958040305945802,-0.2265903145787356
106,100,403,-2.7500533079323097,0.959009771015856,-0.45504079310202783
107,103,397,0.30296282430272187,1.118231274486692,2.2489987052499436
109,106,400,-2.7817706210530577,0.7260176244613983,-0.47610595485820384
112,112,415,-2.556370412420898,0.9267254843109597,-0.2840676645912742
114,115,396,-2.7430656961974362,1.295548698258861,-0.561456494816208
116,120,404,-2.7817140384338903,0.9723444735315958,-0.42004003091030906
118,126,420,0.8314347813076448,1.4778396907417202,2.868113523980205
119,131,426,-2.6678415345140016,1.0095977751327618,-0.41668987319955264
120,134,0,0.8419687318867727,1.0008870246244748,2.5835838313860444
121,138,436,-2.8104164694883935,0.6840568842202313,-0.3059934755973587
121,141,448,0.8068131304795259,0.8107867800006281,2.2634248818890508
122,143,476,-2.580830939073449,1.0907295525783909,-0.482976396643144
122,145,479,-2.8647099103263574,1.1874129593484037,-0.8333425817950717
123,146,492,-2.0803111140876824,1.3455216794411526,0.029055627115082968
123,147,630,1.9740107775381959,1.3958412918949936,-2.5180228114508187
-46,183,0,-2.634454427742268,1.0214525887247523,-0.31733405522996194
-46,195,0,-2.9275349017040617,1.1214233711320074,-0.7924889479731728
-46,187,0,-2.7232535691880946,0.9882557130262807,-0.4897695605405153
-46,114,0,-2.782627841316102,1.0590173791519775,-0.5825148520233424
-46,194,0,-2.6685473478097004,0.7973765496857006,-0.26271213030462204
-46,192,0,0.2769657587246748,1.3416048255710868,2.178160217392181
-46,209,0,-2.430145487609233,1.4250891956835265,-0.42825532645947284
-46,198,0,-2.5101356810566475,1.0820927952495465,-0.3733199226886339
-46,195,0,-3.0176631405482146,1.2401053257456187,-1.0671384269979938
-46,257,0,-2.6031615585218177,0.9884894982251454,-0.2372772254643065
-46,190,0,-2.782581502712567,1.0859883317918162,-0.5995922876665561
-46,197,0,-2.6412360315360077,1.0405193773913652,-0.19920206642556
-46,124,0,-2.172852927734051,1.4155459637246643,-0.08108414823112457
-46,192,0,-2.3774255606343644,1.0536467018001865,-0.16013477707857718
-46,185,0,-2.3992872981179088,1.1252024180534912,0.022884113535488904
-46,195,0,-2.6711958792006447,0.939455272209311,-0.42004426612515583
-46,187,0,-2.5638638723026763,1.1777024888422207,-0.29411660323115374
-46,184,0,-2.820935368947397,0.655268583788834,-0.4810326260093137
135,125,582,-2.6932002242902215,1.0023641041871678,-0.3948951267525322
133,126,463,-2.72267183588263,0.8101982104820993,-0.381698037073637
131,126,439,-2.8692312917940885,1.169785356431378,-0.7756330125330481
128,126,447,-2.696984581687301,0.985702895344813,-0.28628590855508534
125,125,431,-1.9608882265264531,1.3250566522253715,0.23550935015534918
122,126,446,-2.7742371308699045,0.9428096401477245,-0.5415238978948222
117,126,0,-1.9323449883703148,1.4431960348082185,0.02921859928001934
113,126,441,-2.3248036313663114,1.1920876669934803,0.09736792324860392
110,126,445,-2.627435186509018,1.1707563780287205,-0.428606680872576
105,126,445,-2.7513388491836395,0.9719120171802019,-0.5860569494988085
102,126,440,-2.908120247418728,1.2316585118020944,-0.8552851943160377
100,126,443,-2.8035814004607804,1.2998464290125473,-0.4806565769852002
97,126,441,-2.242059660858595,1.1514020839544252,-0.09017169154170258
96,126,0,-2.6477168132207467,0.9964350135955716,-0.31586659946902373
94,126,454,-2.749077644907757,1.0480181970417073,-0.4687019122046282
93,126,452,-2.4152292743656365,1.0916979364746646,-0.1223310077337884
93,124,0,-2.459370887407006,1.1506981357572716,-0.3676021154314851
93,124,486,-2.7204660512078633,0.7693535054708375,-0.47083148356167087
93,123,526,-2.63384747303001,1.1652016253331652,-0.13853960403337923
94,122,500,-2.505856926190499,1.1284111033968782,-0.07936191460029632
94,120,480,-2.5365748470225107,0.93082664075251,-0.019348157986449326
96,119,485,-2.723253553457078,0.9882557109573612,-0.4897695324345492
96,117,588,-2.7753858341385023,1.3729184944318078,-0.5937765027878892
-46,188,0,-2.008932993073917,1.4581174745855225,0.10580906154534178
100,113,565,-2.844778430945127,0.8978126083051737,-0.5295204383502159
103,110,506,-2.4908709992101703,0.9096219553843894,-0.03270519424598006
104,108,470,-2.8140997059762904,1.0648977912064028,-0.5362551978788606
104,106,0,-2.673844372847345,0.8708778168699682,-0.42269258346731453
104,105,0,-2.869231723010727,1.1697853429059835,-0.7756336428912064
103,103,443,-2.886409388108149,1.3438510505311574,-0.8639174685591114
101,103,426,-2.603314035824009,1.1187531541352291,-0.3014368208364694
99,101,0,-2.7340214460197454,0.8909215555937978,-0.36680449555121364
96,101,414,-2.6884014831327336,1.180543294427214,-0.3754056442299006
94,101,0,-2.6987636122040897,1.0445059220059711,-0.38576774944529363
91,100,423,-1.9600338358833187,1.4485073430079975,0.05690733898142326
90,100,418,-2.830009312969746,1.129248548393924,-0.5521647343112053
90,101,411,-2.7391546117054864,0.849049729568935,-0.2835818367845683
89,101,409,-2.6840927279775157,1.302251357300724,-0.6474138288457124
90,102,401,-2.4520493005647315,1.1978130554172226,-0.16270640842733872
91,103,409,-2.797816828790902,1.205316574142247,-0.689438900364269
93,104,0,0.13107670773499117,1.4024938432690988,2.120919263105233
96,108,413,-2.745275797090461,1.0530062132327165,-0.6368979932886609
100,112,433,-2.6344543565855685,1.0214525739281919,-0.31733393036786994
102,115,411,-2.6711959595318477,0.9394552887120495,-0.42004441875103504
104,118,434,-2.6428814940862466,0.6422729068694865,-0.062496993926423446
106,121,437,-2.816080700302384,1.1106713113503097,-0.7847133717710982
108,126,428,-2.6490939938695153,1.0803390753689222,-0.28923002861652386
109,129,436,-2.6022964955018426,0.9835408073605888,-0.349491768538633
109,133,429,-2.7047667114663754,0.9132408356284007,-0.3917709804912162
109,136,437,1.2356956675377864,1.5065574617058137,2.9480199826085287
109,139,419,-2.893967990739001,0.9631361436599133,-0.7729437904819748
108,140,427,-2.3540384023133356,1.1231406401755928,0.12899671316328404
108,142,432,-2.563863858665998,1.1777024867808108,-0.29411658302500765
107,143,439,-2.959500521320265,1.2743050973263128,-0.8859327780677799
105,144,433,-2.4947655359007004,1.0085649512481054,-0.2776210791268833
103,142,0,-2.7771215784425887,0.9939108249238978,-0.4279717228238634
102,145,429,2.180667383815713,1.5431018477151957,-2.1675511193410957
100,145,0,-2.695080067167492,0.9462453876443332,-0.29648925425954203
99,146,437,-2.148430775666918,1.4090732380962634,-0.10550811943898183
98,146,0,-2.5018991435265567,1.0086773470778696,-0.15952763097798023
97,146,444,-2.9566162588789724,1.287043204422202,-0.9944180485213447
97,147,471,-2.310858881528884,1.1784329859392062,0.08342342563251748
97,148,549,2.7226045558418988,1.4867246036825115,-1.5859783629762985
-46,115,0,-2.8703144296194436,1.0115302497640537,-0.5550563262338873
-46,254,0,-2.828686386724273,0.9619903195760942,-0.5966845541280735
-46,261,0,-2.78615359867143,0.5992741148125713,-0.38906848427529145
-46,194,0,1.235698620871989,1.506557333298923,2.948022750160025
-46,194,0,-2.424710434419323,1.0201905952399262,-0.060453114161764944
-46,191,0,-2.650711506411142,0.9906238557019844,-0.4338201236665508
-46,202,0,-2.4363035557986326,1.3105264475693474,-0.23820851151842887
-46,195,0,-2.7465744257245532,1.0248047174395134,-0.6185687705639615
-46,194,0,-2.7135202786500887,1.1430968148714347,-0.5319109408461964
-46,190,0,-2.3943611459164176,1.2164150799453606,-0.15812161551940349
-46,263,0,-2.4918664473562675,1.0538113048478637,-0.13419605142749066
-46,199,0,-2.586807987357211,1.0078034333796486,-0.48895344492690573
-46,194,0,-2.054580617752538,1.221145893440118,0.18398193170480637
-46,187,0,-2.966657812976121,1.3734205720107164,-0.7836685449361054
-46,200,0,-2.579997837948266,1.272755012293615,-0.439476022600056
-46,116,0,-2.552950959299651,0.8572799591297325,-0.13077948675316664
-46,194,0,-2.4822224886712805,1.0329478537031085,-0.046840412213653114
-46,190,0,-2.2029091051073304,1.2018886559161353,-0.02829496162303402
-46,199,0,3.035591332158837,1.395105483137214,-1.3101680999597431
-46,131,0,-2.692645242535123,0.955198094635987,-0.207356632629654
-46,193,0,0.29745083273898465,1.3082079035328895,2.2872931432601633
-46,160,0,-2.7245772387306135,1.0351214424920965,-0.6575971137046044
-46,199,0,-2.559852009034971,0.9224231515270059,-0.09939821718560904
-46,179,0,-2.4591836005659906,1.263550689738033,-0.09329912208823868
-46,194,0,-2.668844908098253,1.1249443932191303,-0.4014374982487195
-46,190,0,-2.587078861618164,0.817009596393765,-0.1389434429807046
-46,200,0,-2.2620514029153638,1.2432663348645212,0.030846566038281273
-46,195,0,0.3999858315668527,1.4664071510782912,2.3190224909376203
-46,194,0,-2.7780370104196903,0.8193992402373563,-0.33062690394758415
-46,173,0,-2.7513389730021145,0.9719120290670643,-0.5860571726028903
-46,202,0,-2.8480920611432863,0.900405983655387,-0.6468917518311171
-46,207,0,-2.761529607808252,0.7062659520696619,-0.12106817087844106
-46,206,0,-2.782375956564146,0.6246446916230466,-0.277660247124886
-46,190,0,-2.4818945403402437,1.1666900005397864,-0.34507878197223035
-46,199,0,-2.2733512899602943,1.0638991129110993,-0.03478850758296382
-46,194,0,-2.7713137551704103,0.9661842449920537,-0.5546342952630816
-46,182,0,-2.6201009919891556,1.0475378819018588,-0.31822377700161597
-46,140,0,-2.5506312219206775,1.019668871713748,-0.37218132757652067
-46,200,0,-2.587248930298711,1.103119041238811,-0.3175016546577211
-46,130,0,-2.732700937436218,0.952285633960071,-0.6046950924289918
-46,202,0,-2.6033668942118355,1.1776425747861357,-0.1390423245377886
-46,190,0,-2.284787184448692,1.1841164093127285,-0.047444505676908874
