x,y,pressure,roll,pitch,yaw
118,76,465,-2.4718318721288606,1.3290337866737836,-0.20221999120593412
118,75,444,-2.516764054569959,1.027945876164127,-0.14445990342203657
118,75,441,-0.6962159860370677,1.4515853871828954,1.4802433934781358
118,75,432,-2.515418107845011,1.1943727868998326,-0.14964887758479944
118,75,423,-2.747389967167948,1.3302760841438313,-0.5844584481654729
118,77,0,-2.6871233150941287,0.9595440744028788,-0.40413225245436424
118,74,415,-2.6996611326507334,0.9955587888241281,-0.5181986593731901
118,75,410,-2.493063320682399,1.2295784467446103,-0.2951240089173452
118,74,0,-1.932220978468665,1.3810323749501656,0.15259284474423118
118,78,402,0.7854936560548146,0.7696277062512292,2.2903166266654393
119,79,393,-2.7445735513868494,0.9823404083043209,-0.4643190647811094
119,81,387,-2.521823590548214,1.1960280045682277,-0.3049618205335229
119,83,398,-2.6647682117538714,1.2395799343859102,-0.3817772698708044
119,86,387,-2.8252391291112615,1.2725120694275156,-0.7584303166814359
119,88,389,-2.5490612255005387,1.1603125223352464,-0.497484503430694
119,91,389,-2.3815762058850436,1.347072875015656,-0.2032878629342014
119,94,358,-2.6894373575389814,0.8653068668774209,-0.3163536345106563
118,95,391,-2.7634674252845404,1.0639456699681957,-0.4543926201158757
118,95,0,0.5886428836692303,1.1491643045952893,2.446135623381778
117,99,0,2.618329422755023,-0.56146307725645,0.6960005190530505
116,101,385,-2.7997197685299895,0.7579507360020951,-0.3133471379978024
115,102,396,-2.178896241583323,1.0682460240652385,0.31539456228467
114,102,411,-2.3279391284920345,1.1201726698964074,0.02029800555434125
111,103,388,-2.5562502782631316,0.9269187106669475,-0.2840890272528889
110,102,393,-2.724258464201781,1.286017970947526,-0.5805257914726868
109,101,406,-2.5133467570728483,1.0289768497373417,-0.2588800891178972
106,100,417,-2.7051346568878967,0.9869320640052092,-0.6601711466247674
104,98,407,-2.787089352611836,0.9844723633297993,-0.5389760793214586
101,96,410,-2.645112063691695,1.1846280973896264,-0.4109286144362445
100,94,412,-2.468614609016371,1.1528560862579844,-0.1964533580061285
97,90,412,-2.506183843146757,1.0714307182340994,-0.11964162048030143
95,87,0,-2.040943641597593,1.0922696020256257,0.3964734631449281
92,84,413,-2.7590604516780677,1.24183144112396,-0.5095549252468621
90,80,414,3.0975941187542957,1.4495486811796165,-1.2901817207700002
88,76,416,-2.843083204597616,1.2110264429495183,-0.6104979355062837
86,74,403,-2.650646860820524,0.9908251917774865,-0.4338991823232598
85,71,413,-2.222595178828812,1.2958844510527805,0.11964827650811169
84,69,411,-2.852077195106042,1.240220369968319,-0.6355296639060256
83,67,404,-2.836458890217234,0.9475624286281042,-0.7194468072646534
83,66,405,-2.385072935621854,1.1094966961395223,0.00908964747318517
83,65,0,-2.579792505082585,1.1912047452158412,-0.2780419594437368
82,66,366,-2.2077447224349385,1.3980714378836985,0.1580244246622554
82,65,399,-2.828729923487925,1.0969916794058368,-0.73528955305644
82,66,0,-2.680796222053044,0.9760035627732702,-0.5370635838740423
82,67,393,-2.156212120865309,1.0992989745464443,0.2554027997802967
81,65,0,-2.320751854783409,1.212883653418878,-0.010872035988543792
81,71,398,-2.382505800181426,1.340226105384637,0.01034733546739391
81,73,383,-2.808342893363971,1.0810250043887983,-0.75567612260765
81,75,387,-2.2928390610518874,1.0841071475914426,-0.014802449399230873
81,78,381,-2.353851071056915,1.0744288017763401,-0.02213226517232013
81,81,376,-2.7055224130890903,1.068752959020286,-0.5240599247651605
81,85,380,-2.527972023091696,1.3053195383638687,-0.21097422697287466
81,88,378,-2.6349968788347424,1.064603592613338,-0.3032655517642513
81,91,379,-2.3531271953730526,1.1682365551562954,-0.06037146466869801
81,95,384,-2.6616594043697726,1.1974757549574373,-0.3943819843436277
80,96,0,-2.4586171818231812,1.2644959479966047,-0.28032890193758836
80,103,382,-2.6737854134050125,0.8710491923315953,-0.4227682659111612
80,105,379,-2.409190176020243,0.9085957249823828,-0.03784667384238765
80,108,395,-2.3066379289769916,1.027286116415357,0.14882837116748196
81,110,0,-2.8864850821638406,1.2199848166803011,-0.877535429326687
80,112,394,-2.49580553945006,1.2861873410769635,-0.24314101856957812
79,115,390,-2.684237128260212,1.1394854199950588,-0.38605414836173174
79,117,407,-2.3990218777550134,1.1254015788546379,0.023037761602989346
79,119,407,-2.6316463784111614,1.2162802030349902,-0.41489869035674665
78,121,412,-2.5432637836009926,1.1664262584007885,-0.16372382479198405
79,122,421,-2.634485535129623,1.0938958265161256,-0.43580555516246566
78,122,421,-2.473028321269094,1.2165223866533488,-0.31515874976619784
78,122,441,3.027864790753338,1.2910293612741137,-1.1891710637355584
78,123,558,-2.5017339771571003,1.0088759755319356,-0.15949064158234105
-46,211,0,-2.7462083045742465,1.113415956758198,-0.6793995680347731
-46,256,0,-2.6043508358415624,1.0749522539637975,-0.318386676458335
-46,196,0,-2.546463301504166,1.1638288869986388,-0.31137137483668653
-46,213,0,-2.6633950434356546,1.081389137947468,-0.4123778349041532
-46,214,0,-2.4592905594130823,1.0157621215200467,-0.16653489473960625
-46,203,0,-2.7445734578252643,0.9823404115392133,-0.4643189078995182
-46,158,0,-2.546463047525292,1.1638288778633297,-0.3113710202584221
-46,213,0,-2.6349967692311758,1.064603588762812,-0.30326538211240744
-46,157,0,-2.6154053339375607,1.0768362071128361,-0.45488603170625447
-46,150,0,-3.000016460156696,1.2213993439979955,-0.9818293518774526
-46,216,0,-2.5512983103239217,1.0691163152079541,-0.3533589814568647
-46,234,0,-2.7641073102903144,0.7367930011374617,-0.16403345592337681
-46,212,0,-2.694646254637137,1.1284026409360515,-0.5509137293614776
-46,209,0,-2.7395440412342547,1.1005943286185853,-0.4900386708047205
-46,215,0,-2.7979120923925165,1.205555928002972,-0.6896945277626046
-46,213,0,-2.6776940129550066,0.9841277684835945,-0.41041657479075794
-46,133,0,-2.1210647384809973,1.0897751869522254,0.35985439614110104
-46,209,0,-2.619581695446011,0.9220910597298786,-0.253812589785642
-46,217,0,-2.554895054860065,0.9743020358630824,-0.26568874940754356
-46,212,0,-2.7447928749431156,0.8799081584989193,-0.5619443641226036
-46,213,0,-2.6684644982472445,0.9281703997126448,-0.5446320021330783
107,128,441,-2.7068176929096124,1.3123484928040205,-0.6250304659716438
107,128,451,-2.631774986978895,0.9836999823635323,-0.22604493684366253
107,129,446,-2.7442178465533207,1.073871837187801,-0.4790858843231018
106,129,435,-2.4743433664983225,0.9872958147990145,-0.29788418497229746
105,128,427,-2.9632667115369404,1.1758011215210802,-0.8647351929455229
104,128,0,-2.6586524314265287,1.2529032851832536,-0.6461328697236135
103,128,0,-2.6186800123027836,0.964983922843146,-0.23914017256885103
101,128,0,-2.731101386609987,1.1574136873788958,-0.5144580492122832
99,128,0,-2.711329862679806,1.0408213389257632,-0.511973360378694
97,127,0,-2.5729869316270717,0.9487171636863884,-0.26735214152070835
95,128,406,-2.657328241748419,1.0366042779656377,-0.42314499936795585
93,128,400,-2.5779249714682777,0.901664097438629,-0.10566427374362171
90,128,396,-2.3084898741462347,1.2772960598161545,0.07805218984968161
88,128,399,-2.450577897342113,1.1371834361357485,-0.21449040805011935
86,129,401,-2.539725515377173,1.209250323910243,-0.28706109219970277
85,129,396,-2.079779583021571,1.1783611064832271,0.2578297011635587
82,129,409,-2.103282037428717,1.0375268948795884,0.2024718748819365
81,128,411,-2.6181942384860264,1.133698851525621,-0.2864628157713214
79,129,415,-2.6943256068559767,1.1121912683600423,-0.38144824748527356
78,130,395,-2.5292528323373986,1.1527243503071973,-0.17773491484531223
76,128,0,-2.5637234940020046,1.1779339973178211,-0.29411184486365805
