x,y,pressure,roll,pitch,yaw
158,58,495,-2.718073039509816,1.1136061151679217,-0.5186871464881615
158,58,483,-2.789476164881173,0.9614772191088037,-0.5262956453765407
159,60,467,-2.6616055068284803,1.0144689599052386,-0.30182499110632294
159,58,454,-2.24239016201764,1.0651713950108437,0.28908177969633647
159,60,439,-2.663341914271074,1.0813864444964125,-0.4122952241878564
158,61,425,-2.7512917445450036,0.9721015765479795,-0.5861263139430248
159,60,420,-2.662365285088747,1.0554664958190294,-0.289253766151846
159,62,0,-2.5845871713753836,1.147847143342998,-0.2985928640119872
159,62,424,-2.6599331579649035,0.9726076737481384,-0.3139292819856206
160,64,0,-2.717105332681249,0.9060787359093512,-0.6088580351801325
161,65,422,-2.6521783904874154,1.1099794484040373,-0.41796509986071845
162,67,419,-2.5374831412605654,0.952959385275685,-0.28298410916920064
163,69,411,-2.783616898342616,1.114280205402013,-0.6184514139023017
165,71,404,-2.4473308834388656,1.115231426809262,0.013051309326211976
167,74,418,-2.656619312577837,0.848115656856632,-0.4398413913686597
168,77,414,-2.567937673707289,1.132941182243569,-0.3152422330377624
170,80,0,-2.631737588390855,0.9836943173162207,-0.2259793009401472
171,83,415,-2.5132963874484697,1.0289682404345941,-0.2587973553571053
173,85,420,-2.6573495083522887,1.1542710497405093,-0.406302818269071
173,88,427,-2.7180730440401013,1.1136061154063115,-0.5186871534546479
173,90,422,-2.7093624351747785,1.1743282635930405,-0.5464008520164388
173,90,0,-2.736403129075503,0.9272197787758598,-0.5895602387858783
172,90,422,-2.744168875644396,1.0738715180857268,-0.4790088509917008
171,91,0,-2.6486976759695127,1.2282740176804623,-0.3976509578287191
169,92,412,-2.385450483341384,1.1965911207253033,-0.027872510546749357
167,88,451,-2.693619287432724,1.2603022413222276,-0.35272934636550707
165,88,424,-2.815438047210953,1.0159948006693615,-0.6657730340482986
162,87,406,-2.6314068457959783,0.8129526042535862,-0.27985905518216486
160,84,419,-2.492558956779368,1.1137129030468278,-0.09224228769464984
158,83,416,-2.836796270935962,1.1828498902321576,-0.5886558742075761
157,81,0,-2.6462075436284587,1.0646136026993167,-0.42942959483047227
155,80,413,-2.911973898812131,1.0431258034019635,-0.9060616688405938
153,80,403,-2.6343028258100207,1.1065891618720602,-0.28829892525912243
151,79,0,-1.550008999396336,1.4684303396373994,0.7714987886507753
149,79,384,-2.1151091125747423,1.1753642338072476,0.10220572538675951
147,80,400,-2.561820842817117,1.0826076113488174,-0.21027313866120806
145,81,0,-2.6735203359561837,1.003903381737825,-0.5496569384731402
143,82,398,-2.4394637412834923,1.0396651989813055,-0.0452696152074636
142,83,394,-2.888338915673094,1.1829550665693145,-0.7567830088292423
140,84,383,-2.573477362321056,0.9020240745796843,-0.28423953092368814
139,87,386,-2.7445712368974555,1.2001603946027033,-0.511191747312452
138,88,394,-2.6734868835258228,0.9908744270406414,-0.3003753645889219
138,91,0,-2.6894092102198464,0.8653025550918799,-0.31629769709761874
137,90,384,-2.6165363323158544,0.9577530311437523,-0.34689397911264414
137,90,385,-2.8291847852006904,0.9848472713229534,-0.6126988690076385
136,91,390,-2.7773221639671157,0.9794730510163202,-0.7038880994710764
136,90,393,-2.717284236969773,1.100669259504887,-0.36306277793216046
135,81,0,-2.575831092252381,1.0984448801976539,-0.1962619557775041
134,88,0,-2.8140695108146376,1.0650812520274213,-0.536315434128791
134,89,404,-2.7873205691005367,1.2264770898090005,-0.7423261431543208
133,90,0,-2.7604620502703128,1.2120097586268983,-0.49530218565079626
132,86,412,-2.7441685741034454,1.0738714989298777,-0.47900836478619174
132,85,419,-2.600018307525556,1.0312115544613019,-0.22044947523058395
131,83,426,-2.7112816077203865,1.040820454455521,-0.5118956563385418
131,81,438,-2.6343233584999632,1.0216406290070104,-0.3172964346418588
130,80,436,-2.5933683519221216,1.190000934684925,-0.4529795891359075
132,77,433,-2.377863559631809,1.1217296334338813,-0.10287313737558093
133,75,443,-2.4505090368043554,1.1371734164413323,-0.2143885596564517
134,74,438,-2.7836170553536888,1.11428020668693,-0.6184516547084716
137,72,441,-2.7022218009681858,0.8995677925097336,-0.5028359371510887
140,69,0,-2.657279815664163,1.0366011937614907,-0.42306652256099986
143,67,442,-2.4956982778879864,1.286180424427473,-0.24300294940818562
144,65,438,-2.799215764999523,1.0247074110389176,-0.7057465206587344
146,65,437,-2.5307099373949993,1.0458859719252283,-0.1303932122794083
147,64,0,-2.4186138707909604,1.3630118626793934,-0.16591851300758761
148,64,440,-2.771269488540284,0.9663627603930164,-0.5546942384543478
149,63,434,-2.5527948651446306,0.8574308424763561,-0.13070435516461967
150,62,0,-2.5132965184325853,1.0289682720236015,-0.2587975797809829
150,62,415,-2.7825517730684126,1.0861953741483006,-0.5996746659536515
151,62,409,-2.9150995837214193,1.0957234671263543,-0.7628390195499738
150,62,412,-2.704046860315131,1.2404284935717067,-0.5801832572840436
150,62,412,-2.53066617075737,1.0479475263429372,-0.24142852025591438
148,62,418,-2.6131636681184984,1.2035382487596362,-0.43318389138793134
146,62,404,-2.9276061702030898,1.1216245390191362,-0.7926747067055566
142,62,411,-2.2515160842944573,1.314654948577536,0.1488007528889106
139,62,0,-2.6803119139624565,1.081327531968731,-0.5564486625286195
134,62,405,-2.5866298131992616,1.0109142036201257,-0.35150652815698596
129,62,407,-2.618135667039245,1.1336942663399119,-0.2863754146678615
125,62,399,-2.7649743770193944,1.0989116542705737,-0.6370940658607855
119,63,398,-2.9694733878123563,1.0895994707907088,-0.8485625001894358
115,64,401,-2.668725104044971,1.1251560641794318,-0.40141850086642056
109,65,0,-2.693619213226651,1.2603022373849158,-0.35272924650170884
104,65,403,-2.6030142847532383,0.9886661320940301,-0.23721581260195265
98,66,405,-2.8443177888609332,0.9963130072432861,-0.7648528042905244
92,66,408,-2.7590499706488054,1.089091814409062,-0.4641276476756689
87,67,413,-2.5008453601535288,1.1813724832454782,-0.16405267934456963
82,67,402,-2.885906103262636,1.2004745747855554,-0.8124722044117486
76,68,399,-2.3778632972614475,1.1217295616548655,-0.10287272073691384
73,68,407,-2.6387229289594964,0.8641138894368522,-0.35272859309816523
69,68,427,-2.7060925903145168,1.2066772696108343,-0.5623296545585961
65,68,406,-2.850488573564723,1.0221054520591741,-0.7907593886843802
61,69,413,-1.8645774186158304,1.3783769139128275,0.4282110656319404
57,70,416,-1.5877433538164054,1.3531712143480183,0.8830053754297935
54,69,410,-2.5238705710106646,1.0936707408401625,-0.218204750456827
53,69,406,-2.5636509150699083,1.1779284030046733,-0.2940086471192016
52,70,408,-2.5181269763186305,0.8664657333972665,-0.22533833752043214
51,69,422,-2.5123473641561005,1.2960424471883683,-0.22635302953512293
50,71,417,-2.6599331949481626,0.97260768072114,-0.3139293494441915
50,70,410,-2.4717054587277008,1.3290262092681253,-0.20206310425485804
50,72,0,-2.620448682344067,0.9986995486135771,-0.4598978915292753
50,70,410,-2.6572796910243306,1.0366011780321285,-0.42306631397495625
49,70,414,-2.7134460765175024,1.1433239513257498,-0.5319539347818986
49,70,421,-2.505610067504511,1.128597888199294,-0.07919081630736137
50,69,0,-2.76517389928036,1.0425723462877277,-0.6000084435506291
52,69,422,-2.411505505985453,1.153652367870833,-0.06923050593750815
53,69,417,-2.8787014776474034,1.0652831425696445,-0.7992365479969957
56,68,0,-2.6145919587348945,1.1751158128475216,-0.26858808275561163
59,70,443,-2.7963073224560673,0.9248566393334582,-0.6291193947485575
61,71,458,-2.5099277185007187,1.0823328466805349,-0.3732524638163397
65,71,466,-2.717207550087574,1.0140698772293792,-0.5005352536822174
68,72,554,-2.3412532309160383,1.1076261133243153,0.11683597867687104
-46,197,0,-2.7668498330312223,1.1288834872174816,-0.6586025901991672
-46,199,0,-2.8675303890273787,1.4547555578265292,-0.6508580902405703
-46,173,0,-2.717207514442504,1.0140698740959089,-0.5005351928245516
-46,154,0,-2.7282785357687738,1.0577998784898524,-0.4948990674235364
-46,136,0,-2.688278947252403,1.1807535899399078,-0.3753733669216166
-46,206,0,-2.4298958794644534,1.044056306972807,-0.15490536500956464
-46,268,0,-2.6199582986481764,1.047733943106198,-0.31817804270807054
-46,212,0,-2.7082636225581247,1.126339405172283,-0.36737375899148833
-46,247,0,-2.35364431168772,0.9369851258848236,0.07320577111882175
-46,206,0,-2.8883391758019163,1.182955052140944,-0.7567833830264733
-46,228,0,-2.634323045899246,1.0216405750026127,-0.3172958960374015
-46,210,0,-2.6199584656045474,1.0477339706272446,-0.31817832202882956
-46,140,0,-2.7350697350946476,1.128424546895787,-0.5016901876176632
-46,202,0,-2.7906458909180856,1.1739288138485293,-0.6627656079690218
-46,203,0,-2.603889403497539,1.0298632776808778,-0.33424716568421264
-46,211,0,-2.4592422563937606,1.0157509831708296,-0.16645354979093915
-46,187,0,-2.663342054675424,1.081386459569445,-0.4122954487851218
-46,116,0,-2.632605271403004,0.9777341728750447,-0.33082492878250663
-46,203,0,-2.568694698726134,0.8906698130782702,-0.19636011130572345
-46,210,0,-2.8210135156425227,1.1704492376365085,-0.6044380548227335
-46,212,0,-2.749012455664299,1.0482059090261324,-0.4687303526604985
-46,200,0,-2.604919118846326,0.6961298668637711,-0.4069475205265973
-46,167,0,-2.107063698467647,1.1406176140405782,0.3197861247153232
144,98,0,-2.6524730402534464,0.8054988548089961,-0.5492453355393867
144,98,484,-2.840953005501205,1.0847329895396285,-0.6912880212371163
144,97,437,-2.6566191517974636,0.8481156207898235,-0.43984106016895924
144,97,416,-2.879455633676177,0.9572340820309001,-0.6337956869375498
144,96,408,-2.698633912113387,1.1530188453703252,-0.37150918402302935
144,93,0,-2.5349310755367345,0.8907430251686101,-0.20853441983210225
145,96,413,-2.679328313383105,1.0972243514784326,-0.39630846109324347
147,98,411,-2.8978930281422475,1.1530510966407126,-0.6659879292727691
148,99,0,-2.79783297791412,1.205560768812647,-0.6895856495469942
151,101,401,-2.7091956026861346,0.8763016745793536,-0.4925232810681828
152,112,0,-2.8743632033656414,1.1139373318254604,-0.6578772374053055
154,104,399,-2.6892789670945527,1.0704210085586943,-0.39106749389146
156,107,394,-2.8397300217100097,0.9714742571495828,-0.7411708185315444
157,109,390,-2.2222854561549057,1.177329037852842,0.09228696239059662
158,110,392,-2.8160789440473666,0.8799281449947143,-0.5692259455722082
159,108,0,-2.68075281979751,0.9760017239166472,-0.5369897726215742
160,113,400,-2.8692478561445007,1.0766103503562099,-0.8510318989235898
161,114,397,-2.786430426568653,1.0641970386183444,-0.7774509011744365
161,116,396,-2.699617380188126,0.9955573395715402,-0.5181252076298534
161,120,0,-2.64246147103785,0.909131529934439,-0.34068127498612805
161,120,403,-2.63419336337754,0.8553361464883132,-0.5745955170411791
160,119,0,-2.3172532084809996,0.9604531239578932,0.09439653482938308
160,111,0,-2.5306659008077044,1.0479474656208008,-0.24142806555501864
159,118,416,-2.223692893464104,1.2168781272331615,-0.006533049590095246
158,123,418,-2.9044827066258105,1.1204020859869288,-0.8651599665425811
158,122,423,-2.542352046500132,1.314037510698061,-0.19634811453525172
