x,y,pressure,roll,pitch,yaw
174,78,559,0.8678603655979751,1.407540573966115,2.650530076511145
174,77,510,-2.828659285281161,1.2494656652080043,-0.7006337979320719
174,76,506,-2.8375129624759707,1.193879343546016,-0.9257645050976154
175,76,507,-2.6837968955159957,1.0275333885250033,-0.40066095788789335
175,76,496,-2.8572361568020557,0.9958107414170233,-0.5680740025343113
176,76,490,-2.466292152415523,0.9316605073792101,-0.021229033026355204
176,75,480,-2.8631446515026036,0.9189601118096664,-0.6317843564243769
176,76,485,-2.7283189396406407,1.0575983603047443,-0.4948159823984596
176,76,481,-2.4927758901804573,1.1135144722844506,-0.09235756770193854
177,76,475,-2.6315026605744554,0.8127993289133745,-0.27984591668554787
178,78,451,-2.5308337395436413,1.0477371086741634,-0.24146996063765908
179,80,457,-2.6166754381159927,1.0068081695356013,-0.22369523841317362
180,81,454,-3.021821941385291,1.1669937572330227,-1.0593568362350982
181,83,0,-2.7292046681016875,1.0130288877104308,-0.3619703931790093
182,86,469,3.0142206477708284,1.2884122138497738,-1.3531456032005134
184,88,459,-3.1011104071610744,1.214977781457236,-0.9800686141756036
186,91,468,-2.8488076246865077,1.1561217487989062,-0.7959528136944855
187,95,0,-1.6559542597099524,1.2823513944118488,0.6451940128435156
187,97,0,-2.759463849058282,0.8835087537041403,-0.6658464699706816
188,101,457,-2.9080663219169782,1.2316627644166782,-0.8552114608378332
189,103,0,-2.6205400110461077,0.99848400040062,-0.45984033669046176
189,105,471,-2.66217944444752,1.0953953540215389,-0.2760671184244286
189,107,0,-2.6771270562041742,1.2093691956834747,-0.3788032468464261
189,108,458,-3.0962110750750234,1.153484899358269,-1.0616575139037954
189,109,461,-2.5309559512726363,1.1972850188538944,-0.5036052498082061
188,111,459,-2.680015730538765,1.3755371775690315,-0.7450258443595672
188,111,462,-2.55555187077014,0.8202429866970739,-0.2290334700187361
187,112,457,-2.6734211813621793,1.1676759789696771,-0.39028514399678094
186,112,460,-2.755451194260933,0.9367701391599387,-0.4462444044023674
183,112,467,-2.60442184601364,1.0747378056064836,-0.3183066869416669
181,111,458,-2.569958764784303,1.0865152673345075,-0.3347009774222779
178,110,437,-2.708333968301657,1.126142266554463,-0.3673421642824075
174,109,441,-2.8572362101425943,0.9958107393762299,-0.5680740949807371
169,108,451,-2.739525303163854,1.100388818464099,-0.4898720736084545
165,107,438,-2.6573612185204163,1.0363947959892608,-0.4230191292161522
162,106,447,-2.711326504753722,1.040614567357942,-0.5118084263465686
157,104,458,-2.4591303592921454,1.263543194014408,-0.09322663333931623
153,104,428,-2.8304493214629014,1.0082354033355485,-0.6297530376017799
149,103,445,-2.660023254787532,0.9724305555093135,-0.3139141169028307
145,101,436,-2.668484738151497,0.9279680449627314,-0.5444690633552379
141,101,427,-2.5428245961908713,0.7165800075164388,0.07661592773449688
137,98,460,-2.731065290592908,1.1571913324284586,-0.5142652121381195
135,98,439,-2.3033676449204274,1.2235705338125116,-0.1706262541724946
132,96,436,-2.6209436416471585,0.7360167696253708,-0.09305222582210612
130,96,438,-2.1728784692607777,1.2202013536577354,0.15900050235737237
129,95,426,-2.4123403384445936,1.229342198370373,-0.140016624660216
128,96,395,-2.659342177658553,1.0635186266973764,-0.5773593519285322
128,99,0,-2.8420217616217256,1.1738752330995712,-0.855915144678246
128,94,0,-2.640309134911815,1.139597850758246,-0.42339771542641735
128,95,416,-2.486278761518155,1.330356194903781,-0.48436579905925553
128,94,420,-3.040062907283942,1.4181875193302538,-1.0654391569022332
128,95,423,-2.8104278108085508,1.4414857030092003,-0.7070422376790917
128,94,0,2.491498634494744,1.4020404471474053,-1.9435014221201639
130,95,454,-2.6154446013989165,1.076601619855236,-0.4547449223918073
132,94,456,2.154273906045856,1.5441991793083636,-2.1410826044461624
135,94,0,-2.742996025030237,1.2955484911027109,-0.5613669318310045
139,94,463,-3.014245705037505,1.4122952846761914,-1.091255604839911
144,94,0,-2.6278996884751207,1.0466204547337823,-0.44777665143587103
151,93,485,-2.486318213273345,1.1155834117400216,-0.37155365212076474
156,92,0,-3.1135797017342894,1.2287172817006886,-1.3295262904749763
162,92,0,-2.3456633948879118,1.3975201013158127,-0.11040560523611054
169,90,476,2.8117606069002368,1.2930031787615819,-1.5654988921282054
173,90,468,-2.885762221149776,1.200241300119615,-0.8121749585473158
