x,y,pressure,roll,pitch,yaw
157,104,464,1.8295270293398878,0.1621077630029557,-2.9206195906517056
158,103,432,1.4188272080636026,0.38733823340216433,-2.7999616191557175
160,103,429,1.302223710290653,0.6177429836124995,-2.655267833533094
163,101,409,1.4216467125195358,0.6795911913439688,-2.5363751474889042
165,101,403,0.9728629031281254,0.5209549214507575,-2.844910201093269
166,100,399,0.7716714423312018,0.31571477883315935,-2.9922098298031394
168,99,403,-1.7621884096629075,0.21725892448618908,2.9087133880616403
170,98,403,3.0702801075542805,0.007410726977000649,-3.098655076775342
173,97,405,2.8003410471367753,0.03601091174217006,-2.9525495316624824
176,96,404,2.7208388479796177,0.05992864787612027,-2.8752137620694773
179,94,408,2.7099191603996995,0.06520453139903847,-2.85769733658183
182,92,405,2.6992506818794197,0.06587862797809714,-2.863666528000961
186,91,399,2.6303042303430355,0.09072223895829591,-2.812457135125114
188,88,407,2.5086589078483725,0.11161131901548448,-2.818094939390864
190,86,407,2.3671342262958888,0.12094062184979076,-2.8604265332714713
192,84,411,1.4217723419219193,0.3480623608194441,-2.849150524616616
193,81,0,-0.15615214917476017,0.6783651545198315,3.081558640390612
193,77,401,-0.748257779017374,0.6396122279654161,2.8795730366571046
192,73,393,-0.7283663457237586,0.6427480256387094,2.8864141336921767
189,69,376,-0.6751446542219934,0.6462728261961747,2.9053876687892015
185,65,0,-0.7188866024541388,0.6225214429368067,2.899164555499035
179,55,0,-0.7635985595346696,0.5683015014101916,2.906573646843172
173,58,384,-0.7954924289270752,0.48525109127717736,2.9329519254607135
167,54,389,-0.7736812641185372,0.4084427876298884,2.9719536035667913
158,51,381,-0.7073706546452416,0.3393046982313011,3.0140513675623226
150,47,0,-0.6203639112206476,0.29252640085379233,3.0460616036081083
141,47,386,-0.5537375837305173,0.2877568189198635,3.0581723060094346
131,53,0,-0.4756089647385785,0.46613658143319175,3.025567247353173
121,45,370,-0.3151957251095656,0.4297864218201272,3.071215199455453
114,46,380,-0.28903361879141926,0.3117446725521799,3.094787554437618
107,45,0,-0.3745727548930441,0.236147190541065,3.095458836898109
102,49,378,-0.5076335671892868,0.06390228354407393,3.123654537214009
97,51,382,-0.6972733554433146,-0.19285879743286452,-3.07296446937041
92,55,381,-1.0096199549835743,-0.5218042353751982,-2.8508711235542408
88,58,369,-1.6045440321025297,-0.7713188783169083,-2.3497593276474507
86,62,387,-2.402806659528518,-0.6726092312612569,-1.678472356124727
83,65,383,-2.8970208474106562,-0.32048054455610575,-1.3140318512577376
81,69,0,-3.138868143806519,-0.009008170436474623,-1.1575193989870394
80,74,390,3.0373817259263016,0.17660500614516356,-1.0405898599209553
80,65,0,2.98489404022123,0.3022704794864075,-0.9383232975236172
80,81,0,2.967962313964048,0.40311629118698245,-0.7951420121968642
81,86,400,2.9695213001812486,0.6045457147973121,-0.5321588895007945
83,90,392,2.923595065221909,0.8645809761944669,-0.4600091916309433
86,106,0,2.8179120105496813,1.1666019745518936,-0.4809766267889586
89,99,424,2.210413309684688,1.417905831421251,-1.0566019000137727
94,102,491,0.8344590813918249,1.401736553161768,-2.423158761360321
-46,181,0,0.5574625320912668,1.3707392618797496,-2.679631121856616
-46,183,0,0.21373925794463738,1.3434409870222672,-2.9693469489413102
-46,185,0,-0.15542795506300727,1.2892274805559745,3.026595036773807
-46,172,0,-0.4740385571939102,1.2280471545843303,2.8061336991085986
-46,188,0,-0.649583150685467,1.1187736274267757,2.7279037760081484
-46,189,0,-0.9997367477700648,1.2015367592383235,2.4273386477311134
-46,189,0,-0.9786975406171338,1.0475867524316718,2.546946407678339
-46,188,0,-1.1345377654527546,1.0023457564769382,2.472618745714856
-46,191,0,-1.7809763742611464,1.0839782170609673,1.86581021801779
-46,167,0,-2.8940233698642523,0.6747331105592769,0.6890178969951549
-46,195,0,3.125953167696252,-0.0856196837883972,0.3034280752663134
-46,187,0,3.114886105753571,-0.9096327072956095,0.048698572362945156
-46,200,0,-0.7019842730097549,-1.2851567782576365,-2.610302129863448
-46,186,0,-0.44353857979491135,-0.5257407167925273,-3.025159055444976
-46,189,0,3.0848480427696616,0.502610776307286,-0.1763265789379745
-46,189,0,-2.5290398800620797,1.3482538528187729,0.7576511816169441
-46,188,0,-2.357212217890902,1.2717704417403828,1.0242924074459898
-46,208,0,-2.235307706871258,1.1838860993037226,1.2564060880449286
-46,190,0,-2.1721867149312284,1.0834942765451754,1.4409654103145435
-46,200,0,-1.8611702298805588,0.9458841285322542,1.9417745542899425
-46,176,0,-1.6709747015780427,0.7954059665053208,2.276715817567722
-46,189,0,-1.7498591730022663,0.871769510244055,2.129348016940377
-46,190,0,-1.7386203859226317,0.9679896127984233,2.033603408374103
-46,188,0,-1.710235635982887,1.0671316954301788,1.95337779745781
-46,176,0,-1.5407941573456942,1.1446258507211455,2.029734804776548
-46,188,0,-0.9791459197163931,1.1431683230129162,2.4875006872543057
-46,188,0,-0.2294032647665712,0.8016481397304014,3.051356800096658
-46,189,0,0.3790329262489155,0.1503341856992353,-3.1039492412369505
-46,190,0,1.4792104307797156,-0.7534375844984983,2.4604016367684616
-46,115,0,2.7372893655341652,-0.5044354503516231,1.3634645016855438
-46,188,0,3.042898687566095,-0.17196647299201978,1.0903932384721575
-46,131,0,3.1412479123744093,-0.010969484976214963,0.9516716951804267
125,120,486,-3.1162747623982057,0.04647722202021386,0.8010711846440738
126,120,467,-3.1250548118178507,0.0325150930037109,0.6079654171917922
127,119,448,3.1186638752774907,-0.1402508297257115,0.42931429162523865
128,119,434,3.0046566191432356,-0.8026129094532267,0.34558688597249015
129,118,425,0.23728740606171353,-1.0730549966422478,3.0129140323575307
130,119,421,0.10836030603607903,-0.17775481374936897,-3.1414188460048726
132,117,431,0.08967781170224035,0.16794249989393872,-3.124519748556903
133,117,439,-0.08132962200072724,0.7500628631892573,3.120399079565233
134,116,437,-1.3168556076640001,1.2473915925716996,2.1390895505246594
134,115,417,-2.3340848568931634,0.9203742990296968,1.4388477021433475
135,114,410,-2.5874680656992557,0.6170669033951042,1.4764254092309166
135,113,397,-2.725970290822674,0.4275187126773647,1.565460141447264
134,112,398,-2.77429173142184,0.32196326458624863,1.7329258429646548
134,112,400,-2.7375499887380994,0.2897304105883065,1.9316165943727222
132,108,0,-2.6125871216423158,0.3105000854866248,2.1167585962673505
130,108,399,-2.4570018907458953,0.35470304170639727,2.22899993654177
127,107,0,-2.3165566245875504,0.38398874138310385,2.3247971381500414
123,106,393,-2.1603925115609686,0.3724276016447813,2.485982009797442
120,106,394,-1.8190071415275424,0.28809728075723073,2.8036986504167065
115,105,0,-0.8588405962102839,-0.6318338893684258,-2.800995888251544
111,105,399,2.7475774319784376,-0.6368473861569423,1.167409702485504
107,105,389,3.0079943822572743,-0.12309691136454258,1.93313120156562
105,106,393,3.0699962738958457,-0.07048603513396919,2.027334297852386
103,107,0,-3.1313712898305566,-0.01836418690647612,1.951273049209145
103,109,391,-2.8530266613368327,0.1754730388144382,1.9223822888961017
103,111,392,-2.4501505728456277,0.43759761473444064,1.9754712225270685
104,113,389,-1.953517903262475,0.6413999813009512,2.1823957938646594
105,115,397,-1.288195378988648,0.696301408675719,2.563364041986051
107,117,387,-0.43767948332858103,0.1328029683252222,3.049413893789768
110,119,0,2.593720412126434,-1.0528006658830353,0.7767758020107699
114,119,0,3.070426272886541,-0.10522922610576017,0.5027695547772661
117,122,411,-3.109235135416747,0.3026449632068755,0.4436116922248656
121,124,0,-3.0408638967599355,0.5678021286579193,0.44318536274304104
124,125,0,-2.9581903701818026,0.734667894370129,0.5394600395018566
127,126,410,-2.9218238566174795,0.7484909555135738,0.6163173282849617
130,126,405,-2.9396759932410386,0.685994713695511,0.644920775220512
133,127,412,-3.0480863838588252,0.7982274819659589,0.3521433849982171
135,127,401,1.8498541487071072,0.8740099969816117,-1.8968859150985657
137,126,403,2.1197687164525663,-0.10688283470369449,3.099465862653133
138,127,402,2.8504605509538985,-0.17825507819918435,2.389664366566879
138,126,398,-2.7699711233229882,0.15422255741469626,2.109024320341244
