x,y,pressure,roll,pitch,yaw
138,64,597,-2.4418975698933845,-0.5516762793351193,-1.7291295792368047
138,64,0,-3.0199916595795004,-0.4768441300810126,-0.4023067652837199
137,64,516,3.0758176460358038,-0.24735813047779712,0.6516858088070919
136,62,512,-3.079204783233473,0.011387397003595659,2.370873189637501
135,61,0,-2.9650937347047237,-0.019041945996300068,-3.0140521742040365
133,64,475,-2.9782922162913774,-0.042647507489603394,-2.701782954554488
131,64,476,-3.053626319825815,-0.03153375979764613,-2.5718320952749427
128,64,476,3.1181383463573717,0.004603055928856276,-2.2957432064788197
126,64,0,2.9796836372635473,0.07637961322540592,-2.190373159322563
123,64,471,2.948626360215421,0.08484605520191152,-2.235062492191
120,64,462,2.8718253458857017,0.07189293641206505,-2.5373090913306036
116,64,456,2.6355422425810318,-0.1051660159601859,2.825532572879566
113,65,457,2.6327853535167955,-0.3026594463682337,2.2127509525063203
110,65,463,2.880223289628904,0.14602822639389407,-1.8522719382809325
107,59,0,3.0060552885587306,0.697055853694657,-0.21923247285543543
103,65,467,-2.6798972850389258,-0.19796202851754777,-2.2676561361185352
100,65,453,-2.826142715974472,-0.18317383919228483,-2.0472937758943774
98,64,459,-2.8310489494458873,-0.15363889010299733,-2.1884442389590006
96,64,515,-2.8097813914248344,-0.14059385495858462,-2.311196820499062
94,65,446,-2.7669738141121396,-0.18115985747288257,-2.222470300509996
91,65,502,-2.791377117332693,-0.2040723804091903,-2.068063660809716
89,66,453,-2.825377952364371,-0.17761287555340446,-2.0891452042275054
87,67,0,-2.810825866387861,-0.20590744866772268,-1.9910867243131647
86,66,469,-2.7745761161117497,-0.3036392617466102,-1.7162185376600718
85,68,458,-2.9872257557810133,-0.2328868022924525,-1.0606428695898003
84,69,459,-3.0668325926577125,-0.2659185579576964,-0.45282197353506876
84,69,455,3.0630943220033453,-0.2635405310641785,0.6700864294873673
84,70,456,-3.108131001279457,0.0013180294499893267,2.506262863906285
84,71,439,-3.045850095905213,-0.0004010789613870426,3.029174297665359
84,71,448,-3.1031278333913415,-0.003469278383466164,3.071601901752969
86,72,445,3.1063950643754925,-0.0027170900821617237,-3.0430457752806856
88,73,440,2.979948258358844,0.014052212435315275,-2.9114086675900475
91,74,462,2.9553112652250646,0.012552859455244324,-2.947434926698553
95,75,443,3.052690842958921,-0.0042206639740487795,-3.074656494151264
100,76,446,3.097288806274268,-0.020665818480029966,2.7270610942580618
104,78,443,-3.109079406262019,-0.00620488218276329,2.2782107372569294
109,79,438,-2.9655838026178443,0.02137349266570228,2.403096768063337
114,79,0,3.0774621119234276,0.13651734818423072,-0.19135007544335347
119,82,450,-2.66308944473613,-5.97798171963186e-05,-3.057053824542005
123,86,444,-2.777651308745158,-0.11055951654624203,-2.51330671316341
127,87,442,-2.8256966467016644,-0.05880561518146086,-2.7345345540924737
129,88,0,-2.898081586098588,-0.013821571088192095,-2.9819233581263758
131,89,0,-2.899093425218309,-0.029379713888422306,-2.8653948450796953
134,91,439,-2.884212091091399,-0.06449099678854431,-2.624263668303839
134,92,437,-2.8715040542468455,-0.09043068594274446,-2.4717251458417784
