x,y,pressure,roll,pitch,yaw
166,91,625,-2.4190887494875146,1.3627532336133514,-0.16626587193716152
167,92,571,-2.7826012636481923,1.0590167513060516,-0.5824716507477052
169,92,516,-2.6092359816484536,0.8637945862770101,-0.37398041375845936
170,92,0,-2.4621485078700585,1.0884108987944303,-0.24498440623104856
171,92,0,-2.8285284143729403,1.1039711445933407,-0.5365445915920919
171,92,474,-2.556175037396166,1.3220324851705967,-0.18296703213798016
172,91,0,-2.546968125732611,1.065595244016678,-0.22534564810792643
172,91,0,-2.698714053580356,1.1528141615829137,-0.37148632472565113
172,91,452,-2.53947109208948,1.0026683539820958,-0.15279570107977566
172,91,439,-2.491840501853738,1.0538043483969959,-0.13415192016451416
172,92,460,-2.4959823133112113,1.2859290819829101,-0.24315938645877785
170,90,467,-2.3438143398735254,1.1362503476924353,0.03575515889223464
167,89,440,-2.4123462667526625,1.2293430158841328,-0.14002479570337673
164,88,417,-2.39562378183073,1.1379892451792344,-0.0855876009255831
158,87,405,-2.172883884618247,1.2202028876894424,0.1589926185861486
152,72,0,-2.295813048483971,1.1638465068498614,0.06846320493784687
146,81,410,-2.5699627280164252,1.0865157397073686,-0.3347071621329735
139,79,414,-2.568095189115678,1.1327139001048119,-0.31527223765227386
132,76,408,-2.6322751036699388,1.1473908707723808,-0.27239478056468863
124,73,420,-2.483154728070969,1.2230409516716088,-0.13150019408462862
116,70,411,-2.3247695704938005,1.1920779992478356,0.09741973019880151
110,68,420,-2.3548472671584886,1.3237784928652252,-0.01794387613670078
105,63,0,-2.5172039928554297,0.9800193848023177,-0.2809451362501651
100,63,417,-2.4122400241371844,1.1401328897255125,0.035912660575806624
95,62,425,-2.5018756855614925,1.0086705322221883,-0.1594858481873244
91,60,421,-2.3415776093346,1.1074422290519979,0.11660619662760857
88,60,443,-2.550666891914923,0.9134397897778729,-0.19297823730885033
86,60,425,-2.58648709694203,1.2441576030862673,-0.2403800482207139
84,60,419,-2.7745437440050438,1.4030131687861136,-0.6505302865920923
84,60,409,-2.777015965107445,1.3134807037599778,-0.5273648403489293
84,60,391,-2.667817663183126,1.009594638832793,-0.4166487635066958
84,59,413,-2.924430080058636,1.1345170170355157,-0.8448211360495361
84,59,0,-2.5198397402788992,1.0876224464100057,-0.10615238520770988
85,61,418,-2.507852426199208,1.0091143150821387,-0.05969976573028175
87,60,0,-2.3703018783486263,1.092318220520728,-0.006025702709913737
91,54,0,-2.7651858293438236,1.0423687884075317,-0.5998869801985827
96,62,411,-1.700076823861245,1.4120831415844652,0.6423129652328481
102,62,0,-2.468138642172934,1.2108177744708268,-0.14651614021133358
108,65,404,-2.6221706715768165,0.8404272219834774,-0.36934784135750387
117,68,410,-2.963041006778,1.1756000511904074,-0.8643424060390249
126,78,0,-2.4982471600993263,1.1224567214022174,-0.2088858708343857
136,74,415,-2.792223830993063,0.9392068118507656,-0.5143637333631609
146,77,404,-2.3223902530223524,1.2869660371651517,0.09129703321780212
154,80,411,-2.699906756719933,1.097701243308652,-0.5368054763287818
162,83,406,-2.684260984611958,1.1392738118191281,-0.3859392849885258
168,88,0,-2.41180054920312,1.153436500426345,-0.06941071253339683
172,90,416,-2.5519670360279725,1.0204025126560756,-0.2461822822638959
174,92,414,-2.6614499842968606,0.820811219399158,-0.3443124102409407
175,94,413,-2.6189180644094785,1.003038168991032,-0.33280509412093007
175,94,0,-2.3693468334527235,1.3321389890215567,-0.003445300779579821
175,95,0,-2.4249446988602346,0.9321929609144995,-0.022315227049256953
174,96,391,-2.4071338983149686,1.0654753606823915,-0.027564375349963633
172,97,403,-2.646414074339895,0.8715064203342799,-0.4475672861146913
171,99,397,-2.705517212658248,1.068537437645433,-0.5238903560354088
167,101,399,-2.5564898759096746,1.2214398805411169,-0.27037697754059425
162,102,379,-2.6616839497939786,1.197246596588357,-0.39425934810494734
157,104,397,-2.661187008992315,0.9644645565666233,-0.4268471189036789
151,105,392,-2.197337969000471,1.196486242312796,0.2477227300873464
