Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 18:45:54.977839,162,103,419,-585.97,275.35,755.30,2432.50,-2240.00,1312.50
2024-02-20 18:45:54.977839,162,103,401,-585.36,275.96,756.52,3045.00,-857.50,-770.00
2024-02-20 18:45:54.993372,162,104,388,-584.26,276.45,758.11,2940.00,927.50,-2310.00
2024-02-20 18:45:54.993372,163,104,387,-582.92,276.45,759.57,2135.00,3395.00,-2992.50
2024-02-20 18:45:55.008989,164,103,385,-581.70,275.96,760.30,647.50,4847.50,-3150.00
2024-02-20 18:45:55.008989,164,103,369,-580.72,275.48,760.79,577.50,6020.00,-3290.00
2024-02-20 18:45:55.008989,165,103,356,-580.35,275.60,760.55,-980.00,6580.00,-3605.00
2024-02-20 18:45:55.026777,167,103,352,-580.60,275.96,760.43,-2275.00,6142.50,-4270.00
2024-02-20 18:45:55.032130,168,101,353,-580.72,276.21,761.65,-2432.50,7402.50,-4515.00
2024-02-20 18:45:55.037360,168,102,355,-580.48,276.82,763.96,-2747.50,9957.50,-5092.50
2024-02-20 18:45:55.040368,169,101,358,-579.87,278.40,767.99,-4410.00,15032.50,-6650.00
2024-02-20 18:45:55.040368,170,95,0,-578.28,280.23,772.38,-3150.00,21472.50,-9782.50
2024-02-20 18:45:55.040368,170,98,396,-575.47,282.06,776.29,-1995.00,27982.50,-13090.00
2024-02-20 18:45:55.056040,170,97,395,-571.69,286.21,779.46,-962.50,35157.50,-18900.00
2024-02-20 18:45:55.056040,169,95,400,-567.06,293.04,782.02,-752.50,41667.50,-28857.50
2024-02-20 18:45:55.056040,168,80,0,-561.81,299.63,784.22,262.50,48142.50,-40460.00
2024-02-20 18:45:55.071663,165,89,397,-569.98,272.06,731.02,-5425.00,31570.00,-39917.50
2024-02-20 18:45:55.071663,162,87,404,-586.70,232.29,722.00,1680.00,-27142.50,6790.00
2024-02-20 18:45:55.071663,157,83,406,-593.53,230.58,762.01,32025.00,9135.00,12285.00
2024-02-20 18:45:55.087282,150,80,390,-592.19,234.12,747.13,32865.00,1575.00,9397.50
2024-02-20 18:45:55.087282,144,76,391,-588.65,233.26,731.51,18095.00,-10097.50,10010.00
2024-02-20 18:45:55.102912,137,73,393,-587.55,238.39,726.51,5722.50,-16327.50,7245.00
2024-02-20 18:45:55.102912,129,69,378,-587.06,246.44,725.66,-3272.50,-17430.00,6107.50
2024-02-20 18:45:55.102912,122,65,0,-586.09,259.37,722.97,-18935.00,-19197.50,4112.50
2024-02-20 18:45:55.102912,114,75,0,-584.99,274.26,719.56,-43102.50,-19967.50,4252.50
2024-02-20 18:45:55.118529,108,61,387,-584.01,280.11,719.31,-67707.50,-18235.00,10797.50
2024-02-20 18:45:55.118529,101,59,354,-584.01,277.92,724.44,-79712.50,-10342.50,33267.50
2024-02-20 18:45:55.118529,94,58,348,-586.33,278.65,733.59,-81392.50,245.00,52010.00
2024-02-20 18:45:55.134158,89,58,356,-591.09,276.82,744.20,-74515.00,13212.50,70122.50
2024-02-20 18:45:55.134158,85,58,380,-597.31,273.89,753.47,-62860.00,25935.00,86100.00
2024-02-20 18:45:55.134158,82,58,402,-605.97,268.64,765.79,-42472.50,37887.50,91420.00
2024-02-20 18:45:55.149780,78,58,401,-617.20,252.42,786.66,-10832.50,54372.50,94937.50
2024-02-20 18:45:55.149780,76,63,0,-626.84,241.32,803.37,19862.50,70735.00,93415.00
2024-02-20 18:45:55.149780,74,63,403,-632.94,236.92,803.86,22067.50,71032.50,71032.50
2024-02-20 18:45:55.149780,73,66,388,-637.94,224.72,795.56,31780.00,63367.50,53707.50
2024-02-20 18:45:55.165399,73,70,384,-643.67,213.13,785.31,42612.50,55160.00,41247.50
2024-02-20 18:45:55.165399,74,62,0,-649.65,213.01,778.12,53112.50,47652.50,28822.50
2024-02-20 18:45:55.181022,75,84,0,-653.55,226.68,770.43,60672.50,42262.50,9415.00
2024-02-20 18:45:55.181022,78,81,372,-654.65,248.51,755.06,58835.00,29610.00,-15242.50
2024-02-20 18:45:55.196652,80,85,380,-653.43,274.26,736.88,53200.00,13510.00,-42367.50
2024-02-20 18:45:55.212274,83,89,390,-649.89,297.07,723.34,48370.00,350.00,-64627.50
2024-02-20 18:45:55.212274,85,91,421,-643.55,314.27,715.65,46357.50,-8347.50,-79135.00
2024-02-20 18:45:55.227897,89,96,472,-640.13,314.76,703.45,41492.50,-16240.00,-82897.50
2024-02-20 18:45:55.227897,-46,188,0,-640.26,297.68,698.82,30870.00,-23835.00,-60777.50
2024-02-20 18:45:55.243520,-46,144,0,-640.74,278.40,697.84,24990.00,-19722.50,-31517.50
2024-02-20 18:45:55.243520,-46,198,0,-641.96,264.74,695.64,23555.00,-23957.50,-3797.50
2024-02-20 18:45:55.259143,-46,200,0,-640.50,264.13,701.26,26005.00,-19565.00,9590.00
2024-02-20 18:45:55.274767,-46,215,0,-634.40,269.74,705.89,26425.00,-14682.50,9100.00
2024-02-20 18:45:55.274767,-46,144,0,-623.54,275.72,710.28,24552.50,-6947.50,5180.00
2024-02-20 18:45:55.290390,-46,199,0,-610.24,286.21,714.92,19005.00,2362.50,-3272.50
2024-02-20 18:45:55.290390,-46,128,0,-598.04,300.00,721.26,14472.50,14122.50,-14560.00
2024-02-20 18:45:55.306014,-46,137,0,-588.77,314.76,727.85,12757.50,26880.00,-25935.00
2024-02-20 18:45:55.306014,-46,200,0,-582.92,329.28,732.49,9625.00,36575.00,-37642.50
2024-02-20 18:45:55.321637,-46,201,0,-579.26,338.67,734.32,9257.50,42962.50,-47040.00
2024-02-20 18:45:55.337256,-46,123,0,-588.53,319.76,702.11,5267.50,39392.50,-47652.50
2024-02-20 18:45:55.337256,-46,200,0,-605.97,278.53,683.08,665.00,-11760.00,-3500.00
2024-02-20 18:45:55.352879,-46,199,0,-615.37,270.84,697.84,14805.00,1785.00,8137.50
2024-02-20 18:45:55.352879,-46,198,0,-617.93,275.72,688.69,12425.00,2030.00,4427.50
2024-02-20 18:45:55.368507,-46,200,0,-618.30,269.38,676.61,3727.50,-9012.50,8487.50
2024-02-20 18:45:55.368507,-46,187,0,-619.39,271.94,674.29,1557.50,-12810.00,7542.50
2024-02-20 18:45:55.384130,-46,200,0,-619.52,281.82,672.34,-1155.00,-15995.00,3150.00
2024-02-20 18:45:55.399749,-46,199,0,-618.42,295.12,667.95,-9415.00,-20405.00,-4340.00
2024-02-20 18:45:55.399749,-46,200,0,-615.86,305.24,661.24,-23327.50,-25112.50,-6632.50
2024-02-20 18:45:55.415377,-46,202,0,-613.78,315.13,656.24,-42945.00,-29172.50,-6107.50
2024-02-20 18:45:55.431000,-46,253,0,-612.44,321.23,657.09,-62895.00,-28035.00,-1470.00
2024-02-20 18:45:55.431000,-46,195,0,-613.17,321.47,664.17,-76072.50,-22277.50,9222.50
2024-02-20 18:45:55.431000,113,132,435,-617.20,324.52,675.27,-80780.00,-13405.00,15732.50
2024-02-20 18:45:55.446624,113,131,430,-622.57,323.06,686.25,-77017.50,-4532.50,15610.00
2024-02-20 18:45:55.462246,113,131,411,-628.54,311.71,695.52,-61775.00,2940.00,21647.50
2024-02-20 18:45:55.462246,113,131,393,-635.99,300.12,706.14,-41895.00,10010.00,23275.00
2024-02-20 18:45:55.477871,113,129,0,-644.04,287.31,717.85,-20912.50,18165.00,22767.50
2024-02-20 18:45:55.493493,113,131,389,-651.24,275.72,724.07,-2380.00,22680.00,18655.00
2024-02-20 18:45:55.493493,114,128,0,-657.95,260.23,726.02,11007.50,22785.00,12617.50
2024-02-20 18:45:55.509116,114,131,363,-665.14,243.88,730.05,22942.50,25182.50,14525.00
2024-02-20 18:45:55.509116,114,130,361,-672.59,240.22,736.88,35927.50,29732.50,10185.00
2024-02-20 18:45:55.528743,115,131,359,-677.71,247.05,740.42,47022.50,33845.00,-1330.00
2024-02-20 18:45:55.535241,116,129,359,-676.98,257.66,730.41,49665.00,28892.50,-16082.50
2024-02-20 18:45:55.537230,117,129,365,-672.10,269.62,711.75,44485.00,14822.50,-29207.50
2024-02-20 18:45:55.552884,117,129,352,-666.24,280.84,697.96,39287.50,2590.00,-39462.50
2024-02-20 18:45:55.552884,118,127,375,-658.68,289.99,687.84,36942.50,-5950.00,-44992.50
2024-02-20 18:45:55.572369,119,126,405,-650.02,295.85,676.86,29435.00,-14070.00,-44712.50
2024-02-20 18:45:55.576306,119,124,0,-642.70,296.46,669.78,15382.50,-18235.00,-36137.50
2024-02-20 18:45:55.591971,119,122,410,-637.33,299.88,668.07,-52.50,-17272.50,-23590.00
2024-02-20 18:45:55.591971,119,120,417,-634.03,311.34,667.58,-16187.50,-14385.00,-17727.50
2024-02-20 18:45:55.607593,118,118,413,-633.91,317.20,669.05,-31657.50,-12057.50,-16152.50
2024-02-20 18:45:55.607593,117,106,0,-637.33,306.95,677.47,-36960.00,-4165.00,-3990.00
2024-02-20 18:45:55.623211,115,113,406,-642.09,292.80,690.52,-32042.50,8417.50,13632.50
2024-02-20 18:45:55.623211,112,111,413,-647.33,286.70,701.99,-24027.50,17517.50,19565.00
2024-02-20 18:45:55.638839,110,108,405,-652.21,281.58,708.58,-13475.00,22032.50,15785.00
2024-02-20 18:45:55.654463,107,105,0,-656.97,273.77,710.16,157.50,22137.50,10972.50
2024-02-20 18:45:55.654463,105,104,402,-661.85,271.21,709.55,11165.00,19075.00,1277.50
2024-02-20 18:45:55.670081,103,102,408,-666.61,276.82,707.97,19075.00,16030.00,-11777.50
2024-02-20 18:45:55.670081,100,100,413,-672.46,279.26,698.45,22837.50,9572.50,-24395.00
2024-02-20 18:45:55.685709,98,100,396,-678.93,273.16,689.06,25060.00,-2677.50,-24465.00
2024-02-20 18:45:55.685709,95,98,398,-684.18,259.62,676.98,28245.00,-9975.00,-19635.00
2024-02-20 18:45:55.701328,94,100,399,-688.20,237.66,662.95,30537.50,-27212.50,-3745.00
2024-02-20 18:45:55.716956,93,101,390,-687.71,227.16,659.29,33092.50,-33617.50,10027.50
2024-02-20 18:45:55.716956,92,98,0,-680.64,233.87,659.04,27300.00,-35087.50,7175.00
2024-02-20 18:45:55.732579,92,104,400,-669.29,244.24,659.29,19897.50,-32830.00,805.00
2024-02-20 18:45:55.732579,91,106,0,-657.21,256.20,662.22,11847.50,-29330.00,-7070.00
2024-02-20 18:45:55.748202,91,108,394,-646.72,267.18,668.80,8400.00,-22645.00,-14175.00
2024-02-20 18:45:55.748202,91,113,0,-638.55,278.16,674.90,7980.00,-16905.00,-21350.00
2024-02-20 18:45:55.763827,92,113,401,-631.47,291.09,681.00,6632.50,-12302.50,-30975.00
2024-02-20 18:45:55.779444,93,117,413,-624.64,303.54,688.20,3307.50,-5162.50,-40932.50
2024-02-20 18:45:55.779444,95,119,411,-618.78,311.83,694.42,-262.50,2835.00,-46620.00
2024-02-20 18:45:55.795073,98,123,425,-614.88,317.57,700.28,-5232.50,11900.00,-48072.50
2024-02-20 18:45:55.795073,100,126,421,-613.29,322.45,707.36,-11375.00,22575.00,-47985.00
2024-02-20 18:45:55.810696,102,128,458,-621.96,320.25,695.89,-18917.50,31272.50,-45220.00
2024-02-20 18:45:55.826319,105,131,449,-642.94,288.65,682.47,-32200.00,-4882.50,-22522.50
2024-02-20 18:45:55.826319,107,133,515,-660.87,263.40,699.55,-17780.00,13037.50,14647.50
2024-02-20 18:45:55.841937,110,135,492,-666.61,259.37,708.09,-12635.00,25952.50,15137.50
2024-02-20 18:45:55.841937,112,136,0,-667.10,241.80,697.47,-22592.50,21647.50,25882.50
2024-02-20 18:45:55.857565,114,137,515,-669.29,222.89,697.11,-23082.50,23450.00,42472.50
2024-02-20 18:45:55.857565,115,139,489,-671.37,212.28,703.45,-15662.50,29645.00,53252.50
2024-02-20 18:45:55.873190,115,138,473,-671.73,210.57,705.77,-10062.50,32987.50,56175.00
2024-02-20 18:45:55.873190,115,144,0,-670.27,215.21,702.23,-6877.50,30450.00,50802.50
2024-02-20 18:45:55.888812,116,136,463,-667.46,224.48,694.79,-3027.50,21717.50,38150.00
2024-02-20 18:45:55.904436,115,136,443,-663.44,234.73,685.52,1732.50,9310.00,20072.50
2024-02-20 18:45:55.904436,114,135,452,-661.36,233.75,686.49,16397.50,2030.00,12197.50
2024-02-20 18:45:55.920059,113,133,472,-657.82,241.56,682.59,34282.50,2695.00,11725.00
2024-02-20 18:45:55.920059,110,133,425,-653.19,267.91,667.83,29435.00,-17710.00,-16712.50
2024-02-20 18:45:55.935682,107,132,427,-652.70,280.84,663.56,28980.00,-27930.00,-38132.50
2024-02-20 18:45:55.951305,105,131,420,-655.38,281.09,666.85,33512.50,-28875.00,-43190.00
2024-02-20 18:45:55.951305,103,130,428,-660.63,281.33,674.17,29662.50,-22365.00,-39777.50
2024-02-20 18:45:55.966928,101,130,442,-666.12,284.63,682.71,22085.00,-11602.50,-32882.50
2024-02-20 18:45:55.966928,99,130,437,-670.88,290.24,685.88,17535.00,-5145.00,-33635.00
2024-02-20 18:45:55.982554,97,131,446,-675.64,292.80,685.64,14192.50,-3272.50,-35542.50
2024-02-20 18:45:55.982554,97,131,463,-681.49,298.05,686.62,10920.00,-105.00,-38220.00
2024-02-20 18:45:55.998176,96,131,471,-686.86,302.68,687.96,8977.50,2870.00,-44292.50
2024-02-20 18:45:55.998176,96,132,618,-692.11,300.12,687.84,11445.00,6475.00,-44467.50
2024-02-20 18:45:56.013798,-46,149,0,-699.79,287.55,677.22,10080.00,2362.50,-39200.00
