Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 17:38:25.629333,148,101,458,-724.80,-220.70,-658.07,8085.00,1242.50,6702.50
2024-02-20 17:38:25.639033,148,101,462,-726.88,-216.06,-658.56,5197.50,-1137.50,-787.50
2024-02-20 17:38:25.651517,149,101,459,-731.51,-214.23,-661.85,1715.00,-4025.00,-2082.50
2024-02-20 17:38:25.658582,150,102,441,-736.39,-202.52,-672.34,175.00,-13842.50,-12040.00
2024-02-20 17:38:25.670305,151,102,436,-737.98,-190.56,-682.83,-5040.00,-25340.00,-27772.50
2024-02-20 17:38:25.677084,153,103,429,-736.88,-187.51,-685.52,-12757.50,-30642.50,-36540.00
2024-02-20 17:38:25.688247,154,103,430,-735.17,-187.88,-683.20,-13387.50,-31342.50,-40705.00
2024-02-20 17:38:25.695631,155,103,425,-733.46,-191.78,-675.76,-13545.00,-28455.00,-39812.50
2024-02-20 17:38:25.706981,157,103,418,-732.24,-200.20,-665.51,-8925.00,-21595.00,-33757.50
2024-02-20 17:38:25.711534,158,104,419,-731.02,-206.67,-658.80,175.00,-16152.50,-27475.00
2024-02-20 17:38:25.725111,159,104,421,-729.80,-215.94,-649.89,9975.00,-10097.50,-20037.50
2024-02-20 17:38:25.734000,161,103,420,-729.56,-220.33,-644.04,23782.50,-455.00,-8627.50
2024-02-20 17:38:25.738426,163,103,0,-730.05,-235.70,-635.25,31850.00,1330.00,-4095.00
2024-02-20 17:38:25.750240,164,104,0,-730.05,-272.79,-611.46,34545.00,19425.00,27842.50
2024-02-20 17:38:25.756825,166,101,429,-731.02,-290.12,-598.53,37362.50,35070.00,53252.50
2024-02-20 17:38:25.767982,166,100,0,-733.10,-284.75,-605.12,36802.50,31955.00,53060.00
2024-02-20 17:38:25.774206,167,98,415,-733.46,-276.94,-615.37,30887.50,25707.50,47827.50
2024-02-20 17:38:25.785118,168,97,413,-733.95,-263.89,-628.54,24167.50,18095.00,37800.00
2024-02-20 17:38:25.796001,168,94,413,-735.78,-248.51,-641.60,20387.50,7157.50,22715.00
2024-02-20 17:38:25.802524,167,92,412,-738.59,-240.10,-646.72,16362.50,367.50,12757.50
2024-02-20 17:38:25.813053,166,90,415,-742.74,-237.41,-646.36,12442.50,-1907.50,9765.00
2024-02-20 17:38:25.819082,164,86,407,-747.37,-236.31,-644.53,9450.00,-3815.00,9030.00
2024-02-20 17:38:25.830090,163,84,402,-751.28,-237.53,-641.11,6510.00,-4532.50,10377.50
2024-02-20 17:38:25.841143,160,80,405,-753.72,-237.41,-637.69,1715.00,-4655.00,12022.50
2024-02-20 17:38:25.847310,157,77,395,-753.84,-230.95,-639.65,-6545.00,-6195.00,8365.00
2024-02-20 17:38:25.858605,153,71,0,-751.03,-220.58,-648.67,-17062.50,-11427.50,-2205.00
2024-02-20 17:38:25.865676,149,71,406,-747.01,-213.62,-658.19,-25497.50,-17255.00,-12127.50
2024-02-20 17:38:25.876314,144,67,384,-744.44,-207.77,-667.10,-23065.00,-22487.50,-18952.50
2024-02-20 17:38:25.883476,139,64,397,-743.10,-203.25,-670.51,-18392.50,-26810.00,-24797.50
2024-02-20 17:38:25.894736,132,61,393,-742.86,-203.01,-666.36,-12197.50,-25147.50,-25305.00
2024-02-20 17:38:25.902094,126,58,399,-743.83,-202.76,-660.63,-4252.50,-23012.50,-24447.50
2024-02-20 17:38:25.914030,118,55,396,-744.93,-207.16,-651.48,4077.50,-18725.00,-21332.50
2024-02-20 17:38:25.920610,109,53,397,-745.79,-219.11,-640.87,11480.00,-11970.00,-12232.50
2024-02-20 17:38:25.932134,101,52,401,-746.88,-238.75,-627.57,19530.00,-4550.00,1995.00
2024-02-20 17:38:25.938295,93,51,395,-749.45,-264.25,-607.07,25147.50,7787.50,25042.50
2024-02-20 17:38:25.949354,87,51,378,-749.45,-275.96,-592.55,24762.50,21367.50,42000.00
2024-02-20 17:38:25.956697,80,51,379,-744.93,-271.08,-598.17,20860.00,23030.00,38745.00
2024-02-20 17:38:25.967003,76,51,387,-737.86,-266.45,-615.86,13545.00,15592.50,29277.50
2024-02-20 17:38:25.973396,72,53,381,-731.02,-269.74,-629.40,4497.50,8872.50,23135.00
2024-02-20 17:38:25.984876,69,55,383,-726.88,-277.06,-634.03,-1540.00,7087.50,24657.50
2024-02-20 17:38:25.990978,67,57,381,-725.41,-274.26,-636.72,-6370.00,6527.50,23240.00
2024-02-20 17:38:26.003093,67,61,370,-726.14,-258.64,-640.50,-8785.00,3325.00,14000.00
2024-02-20 17:38:26.009675,68,64,384,-728.58,-237.29,-640.87,-7070.00,1120.00,1872.50
2024-02-20 17:38:26.021552,69,67,0,-732.12,-215.33,-637.82,-3237.50,1050.00,-9782.50
2024-02-20 17:38:26.027887,70,72,385,-736.27,-198.37,-633.55,945.00,2660.00,-18690.00
2024-02-20 17:38:26.040420,73,78,389,-739.56,-190.81,-629.52,4270.00,4252.50,-23030.00
2024-02-20 17:38:26.046563,75,81,386,-741.03,-195.69,-624.03,5425.00,7210.00,-21822.50
2024-02-20 17:38:26.058455,78,84,391,-741.03,-212.16,-617.93,2432.50,11847.50,-13825.00
2024-02-20 17:38:26.065454,81,88,394,-740.91,-230.34,-615.73,-3762.50,15155.00,-2922.50
2024-02-20 17:38:26.077769,85,93,404,-740.78,-240.34,-619.76,-8575.00,13737.50,1942.50
2024-02-20 17:38:26.085470,89,97,410,-741.27,-245.22,-625.49,-10972.50,10062.50,2065.00
2024-02-20 17:38:26.091025,92,99,421,-742.74,-248.76,-628.54,-9450.00,7332.50,3062.50
2024-02-20 17:38:26.100134,96,104,447,-744.93,-247.90,-629.28,-6772.50,6177.50,3237.50
2024-02-20 17:38:26.112146,99,106,462,-749.32,-243.63,-626.35,-1312.50,6072.50,1452.50
2024-02-20 17:38:26.118370,100,108,554,-755.30,-239.24,-617.69,7630.00,12407.50,507.50
2024-02-20 17:38:26.130947,102,109,0,-760.55,-237.05,-611.71,17272.50,18375.00,2047.50
2024-02-20 17:38:26.137388,103,110,630,-765.92,-241.56,-604.88,28070.00,22645.00,8277.50
2024-02-20 17:38:26.149174,-46,182,0,-771.89,-254.49,-594.02,36627.50,28350.00,24605.00
2024-02-20 17:38:26.155823,-46,182,0,-773.60,-256.44,-583.53,40722.50,36925.00,35087.50
2024-02-20 17:38:26.167990,-46,186,0,-770.06,-246.32,-582.31,43540.00,44047.50,29522.50
2024-02-20 17:38:26.176326,-46,186,0,-763.84,-243.51,-596.82,45185.00,39165.00,26040.00
2024-02-20 17:38:26.181503,-46,175,0,-756.40,-245.71,-611.95,43190.00,30222.50,27772.50
2024-02-20 17:38:26.192786,-46,164,0,-749.20,-249.12,-619.15,39165.00,27702.50,30590.00
2024-02-20 17:38:26.200054,-46,186,0,-742.98,-250.95,-623.30,36260.00,27772.50,34037.50
2024-02-20 17:38:26.211410,-46,188,0,-737.98,-251.32,-628.79,32935.00,27317.50,35542.50
2024-02-20 17:38:26.218724,-46,186,0,-733.22,-252.54,-636.35,28630.00,24325.00,37922.50
2024-02-20 17:38:26.229264,-46,194,0,-727.73,-252.54,-646.48,23065.00,18742.50,39882.50
2024-02-20 17:38:26.236235,-46,187,0,-721.75,-250.34,-659.17,16187.50,10587.50,38972.50
2024-02-20 17:38:26.248155,-46,177,0,-715.65,-247.54,-674.17,8102.50,1102.50,35857.50
2024-02-20 17:38:26.254043,-46,115,0,-709.19,-244.00,-690.03,542.50,-9642.50,31587.50
2024-02-20 17:38:26.265413,-46,188,0,-702.96,-241.56,-703.70,-6632.50,-20002.50,27072.50
2024-02-20 17:38:26.272870,-46,188,0,-698.21,-242.41,-713.94,-14560.00,-29067.50,24745.00
2024-02-20 17:38:26.283427,-46,197,0,-701.87,-238.02,-703.82,-17972.50,-33110.00,21332.50
2024-02-20 17:38:26.290019,-46,188,0,-713.21,-238.75,-678.69,-12792.50,-7682.50,10990.00
2024-02-20 17:38:26.302056,-46,211,0,-723.70,-235.58,-670.02,-5372.50,-2415.00,15785.00
2024-02-20 17:38:26.308543,-46,188,0,-729.44,-226.31,-659.41,-4742.50,-4497.50,6615.00
2024-02-20 17:38:26.320465,-46,187,0,-735.66,-220.33,-654.16,-4882.50,2590.00,5390.00
2024-02-20 17:38:26.325198,-46,187,0,-746.15,-195.32,-682.22,-1190.00,-17850.00,-13177.50
2024-02-20 17:38:26.338997,-46,188,0,-753.72,-158.23,-719.31,4130.00,-50505.00,-50400.00
2024-02-20 17:38:26.345560,-46,187,0,-754.08,-127.86,-747.49,11077.50,-76650.00,-83352.50
2024-02-20 17:38:26.356857,115,122,544,-751.03,-108.09,-767.38,24972.50,-96040.00,-108815.00
2024-02-20 17:38:26.363975,115,122,496,-747.25,-104.19,-771.41,33757.50,-110687.50,-123882.50
2024-02-20 17:38:26.375061,115,122,0,-742.74,-121.76,-751.64,26442.50,-109567.50,-120295.00
2024-02-20 17:38:26.384443,116,121,454,-739.20,-153.23,-716.75,20422.50,-95917.50,-103022.50
2024-02-20 17:38:26.388970,117,122,446,-734.93,-183.73,-685.88,31465.00,-77735.00,-82775.00
2024-02-20 17:38:26.400664,118,122,456,-726.02,-198.13,-673.20,52255.00,-68757.50,-74952.50
2024-02-20 17:38:26.408359,119,121,471,-719.68,-209.96,-672.95,75372.50,-67812.50,-75460.00
2024-02-20 17:38:26.419887,120,121,469,-719.19,-228.14,-663.80,92662.50,-65887.50,-64470.00
2024-02-20 17:38:26.426312,121,120,463,-720.78,-241.68,-640.26,102620.00,-52710.00,-53200.00
2024-02-20 17:38:26.437638,121,120,442,-726.88,-248.39,-611.46,78015.00,-36522.50,-43452.50
2024-02-20 17:38:26.444260,122,120,431,-738.83,-249.49,-571.45,67130.00,-14087.50,-40197.50
2024-02-20 17:38:26.453494,122,119,422,-755.42,-247.05,-521.31,68932.50,18077.50,-39095.00
2024-02-20 17:38:26.465000,122,119,415,-772.99,-239.12,-472.63,79292.50,54722.50,-46130.00
2024-02-20 17:38:26.471805,121,118,408,-786.17,-229.60,-435.42,101272.50,86765.00,-56945.00
2024-02-20 17:38:26.484142,120,117,0,-792.51,-226.43,-421.14,141365.00,103810.00,-68932.50
2024-02-20 17:38:26.492725,119,115,403,-792.63,-224.60,-431.27,212345.00,97790.00,-83352.50
2024-02-20 17:38:26.498209,117,114,402,-784.70,-234.48,-435.78,109585.00,91280.00,-88795.00
2024-02-20 17:38:26.508153,115,113,402,-772.14,-264.98,-422.12,25672.50,103670.00,-77892.50
2024-02-20 17:38:26.518855,112,113,375,-760.30,-304.27,-407.48,25007.50,120172.50,-59902.50
2024-02-20 17:38:26.527002,109,111,400,-749.20,-340.01,-394.79,33932.50,137830.00,-41142.50
2024-02-20 17:38:26.537292,105,110,386,-737.61,-363.56,-390.89,23852.50,151147.50,-29330.00
2024-02-20 17:38:26.544429,100,109,395,-726.27,-377.35,-400.16,14875.00,154822.50,-24972.50
2024-02-20 17:38:26.555807,97,108,403,-714.55,-386.74,-417.73,4900.00,150972.50,-24902.50
2024-02-20 17:38:26.562783,93,107,395,-701.87,-393.57,-435.91,-8242.50,145950.00,-26162.50
2024-02-20 17:38:26.573804,91,106,399,-689.06,-396.26,-450.91,-21140.00,143062.50,-29925.00
2024-02-20 17:38:26.580536,88,106,397,-676.86,-393.08,-466.53,-20457.50,140787.50,-38902.50
