Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 18:40:17.351602,153,129,575,-698.82,-384.06,601.46,-735.00,5232.50,-1312.50
2024-02-20 18:40:17.351602,154,129,543,-697.72,-384.67,603.41,-2380.00,6947.50,700.00
2024-02-20 18:40:17.351602,156,129,440,-696.50,-384.06,605.61,-4410.00,9765.00,1067.50
2024-02-20 18:40:17.368957,156,129,467,-696.38,-383.20,605.85,-4252.50,11567.50,367.50
2024-02-20 18:40:17.372894,158,128,474,-697.47,-382.71,604.27,-3307.50,11270.00,-630.00
2024-02-20 18:40:17.379171,159,127,491,-699.79,-381.86,602.80,-2100.00,10325.00,-2502.50
2024-02-20 18:40:17.379171,161,125,0,-701.74,-380.76,601.95,-980.00,10062.50,-5145.00
2024-02-20 18:40:17.379171,162,124,433,-702.48,-380.40,600.97,175.00,10360.00,-7070.00
2024-02-20 18:40:17.379171,163,122,443,-701.87,-382.10,601.22,332.50,11830.00,-6440.00
2024-02-20 18:40:17.394844,163,119,444,-700.52,-385.03,601.70,-927.50,14140.00,-3885.00
2024-02-20 18:40:17.394844,164,115,0,-699.55,-387.23,600.36,-3080.00,14980.00,-980.00
2024-02-20 18:40:17.410469,164,115,452,-700.28,-386.74,598.78,-4305.00,14087.50,-997.50
2024-02-20 18:40:17.410469,164,112,439,-701.99,-384.67,598.78,-3167.50,15662.50,-4480.00
2024-02-20 18:40:17.410469,163,108,440,-703.45,-384.42,599.14,-1452.50,18970.00,-7210.00
2024-02-20 18:40:17.426518,162,103,428,-703.21,-384.54,599.75,1907.50,22837.50,-9327.50
2024-02-20 18:40:17.426518,161,100,413,-700.16,-383.81,601.83,1820.00,28350.00,-11620.00
2024-02-20 18:40:17.426518,158,95,443,-695.52,-381.62,604.88,-1207.50,35507.50,-14927.50
2024-02-20 18:40:17.441716,155,91,448,-694.91,-371.37,595.60,4200.00,34195.00,-23257.50
2024-02-20 18:40:17.441716,152,96,0,-698.33,-365.15,587.06,8907.50,21525.00,-38482.50
2024-02-20 18:40:17.441716,148,83,437,-700.04,-373.56,587.80,11007.50,18462.50,-37765.00
2024-02-20 18:40:17.457333,144,79,0,-698.57,-384.91,583.16,14805.00,12932.50,-29942.50
2024-02-20 18:40:17.457333,139,74,0,-695.40,-393.08,576.57,19372.50,5775.00,-23625.00
2024-02-20 18:40:17.457333,134,74,406,-692.47,-397.96,570.84,23940.00,-1032.50,-19635.00
2024-02-20 18:40:17.472961,128,72,0,-690.76,-401.14,567.30,26127.50,-6912.50,-15960.00
2024-02-20 18:40:17.472961,122,64,0,-689.91,-403.33,565.96,23152.50,-11935.00,-11935.00
2024-02-20 18:40:17.472961,116,70,404,-689.30,-404.19,565.10,12302.50,-17465.00,-6632.50
2024-02-20 18:40:17.472961,111,70,409,-688.93,-405.04,564.25,-4497.50,-24412.50,577.50
2024-02-20 18:40:17.488580,105,70,409,-690.03,-407.85,563.88,-21892.50,-32182.50,11952.50
2024-02-20 18:40:17.488580,98,71,417,-692.47,-410.16,565.47,-34370.00,-38745.00,25392.50
2024-02-20 18:40:17.504209,91,74,399,-697.23,-409.92,571.20,-43837.50,-41615.00,36330.00
2024-02-20 18:40:17.504209,86,78,400,-707.84,-409.31,580.72,-44240.00,-36050.00,43295.00
2024-02-20 18:40:17.504209,81,81,401,-722.97,-416.02,588.53,-30572.50,-26232.50,52815.00
2024-02-20 18:40:17.519831,77,83,419,-737.61,-427.61,591.46,-12022.50,-17622.50,66465.00
2024-02-20 18:40:17.519831,73,87,404,-749.32,-433.59,590.97,7525.00,-8610.00,74217.50
2024-02-20 18:40:17.519831,70,99,0,-760.79,-443.96,587.31,27562.50,-875.00,79677.50
2024-02-20 18:40:17.535454,67,96,416,-772.75,-458.96,584.01,51310.00,6405.00,94185.00
2024-02-20 18:40:17.535454,64,101,409,-780.43,-460.55,583.65,69352.50,17255.00,100537.50
2024-02-20 18:40:17.535454,63,105,404,-781.17,-451.52,581.45,75775.00,28070.00,91367.50
2024-02-20 18:40:17.551077,63,110,408,-778.36,-442.49,573.89,78767.50,33722.50,78470.00
2024-02-20 18:40:17.551077,63,115,0,-774.70,-431.15,562.66,90580.00,34860.00,64242.50
2024-02-20 18:40:17.566703,63,121,412,-772.63,-420.66,552.78,100537.50,35350.00,46900.00
2024-02-20 18:40:17.566703,65,127,413,-771.28,-414.92,543.63,118790.00,36855.00,34930.00
2024-02-20 18:40:17.566703,67,131,407,-773.72,-401.99,541.68,150045.00,38552.50,21980.00
2024-02-20 18:40:17.582323,70,141,0,-775.07,-380.64,538.26,116112.50,42700.00,2415.00
2024-02-20 18:40:17.582323,74,145,413,-770.06,-357.46,526.43,106855.00,37117.50,-20807.50
2024-02-20 18:40:17.597950,78,152,413,-763.11,-335.99,515.82,93537.50,28595.00,-39620.00
2024-02-20 18:40:17.597950,83,158,420,-752.98,-317.32,511.18,74515.00,17202.50,-50960.00
2024-02-20 18:40:17.613573,86,161,403,-741.27,-301.34,516.06,57697.50,7980.00,-59237.50
