Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 17:19:48.694755,154,86,445,-51.12,-645.14,-780.31,1575.00,-52.50,-490.00
2024-02-20 17:19:48.799680,154,85,439,-51.00,-644.89,-780.43,665.00,35.00,-472.50
2024-02-20 17:19:48.905253,155,85,426,-50.63,-645.01,-780.43,787.50,-122.50,-367.50
2024-02-20 17:19:49.010553,156,84,465,-50.63,-645.14,-780.43,315.00,-262.50,-332.50
2024-02-20 17:19:49.115476,158,85,423,-50.75,-645.01,-780.80,-700.00,-262.50,-227.50
2024-02-20 17:19:49.220957,159,84,418,-50.87,-645.38,-781.17,175.00,-525.00,-122.50
2024-02-20 17:19:49.326196,161,85,414,-50.75,-645.62,-781.41,-3010.00,-560.00,-175.00
2024-02-20 17:19:49.431486,162,83,425,-50.75,-645.38,-781.04,542.50,-280.00,-227.50
2024-02-20 17:19:49.536703,163,84,411,-51.00,-644.65,-779.70,1347.50,437.50,-717.50
2024-02-20 17:19:49.641969,165,84,401,-50.87,-644.53,-779.58,1207.50,245.00,-560.00
2024-02-20 17:19:49.746741,166,80,0,-51.12,-645.26,-780.07,1802.50,105.00,-507.50
2024-02-20 17:19:49.852430,167,83,405,-51.00,-645.50,-781.29,-700.00,-717.50,-52.50
2024-02-20 17:19:49.957702,168,83,395,-50.75,-645.38,-781.41,-455.00,-665.00,-105.00
2024-02-20 17:19:50.062221,170,82,396,-50.75,-644.89,-780.56,0.00,-350.00,-227.50
2024-02-20 17:19:50.167249,171,83,0,-50.87,-644.65,-780.19,1400.00,70.00,-490.00
2024-02-20 17:19:50.272590,173,80,386,-50.87,-644.89,-780.07,1540.00,-35.00,-507.50
2024-02-20 17:19:50.378277,178,79,358,-51.00,-645.14,-780.56,245.00,-280.00,-245.00
2024-02-20 17:19:50.483496,173,76,393,-50.87,-645.14,-780.56,682.50,-350.00,-227.50
2024-02-20 17:19:50.588752,173,74,388,-50.75,-645.01,-780.31,245.00,-157.50,-332.50
2024-02-20 17:19:50.694041,174,72,0,-50.63,-645.14,-780.68,297.50,-227.50,-315.00
2024-02-20 17:19:50.799345,167,71,0,-50.87,-645.01,-780.80,-525.00,-280.00,-262.50
2024-02-20 17:19:50.904184,160,65,434,-50.51,-645.14,-780.80,420.00,-262.50,-280.00
2024-02-20 17:19:51.009409,151,62,390,-50.75,-645.14,-780.80,105.00,-175.00,-280.00
2024-02-20 17:19:51.114888,146,58,383,-50.75,-644.89,-780.68,-157.50,-210.00,-280.00
2024-02-20 17:19:51.219976,153,56,0,-50.75,-645.01,-780.56,1627.50,-17.50,-437.50
2024-02-20 17:19:51.324600,135,54,385,-50.75,-644.65,-780.31,612.50,70.00,-437.50
2024-02-20 17:19:51.429613,136,53,0,-50.75,-644.89,-780.56,210.00,-245.00,-297.50
2024-02-20 17:19:51.535569,133,51,0,-50.75,-645.14,-781.04,315.00,-315.00,-262.50
2024-02-20 17:19:51.640824,123,51,362,-51.00,-645.01,-780.80,717.50,-192.50,-332.50
2024-02-20 17:19:51.745375,118,51,0,-50.75,-644.89,-780.56,1610.00,-17.50,-402.50
2024-02-20 17:19:51.851126,115,42,0,-51.00,-644.77,-780.68,35.00,-210.00,-385.00
2024-02-20 17:19:51.956357,115,54,347,-50.75,-645.14,-780.92,140.00,-332.50,-210.00
2024-02-20 17:19:52.061609,116,55,0,-50.87,-645.14,-780.92,-437.50,-280.00,-227.50
2024-02-20 17:19:52.166649,115,57,341,-50.75,-644.89,-780.80,892.50,-35.00,-350.00
2024-02-20 17:19:52.272017,114,60,359,-50.63,-644.89,-780.80,647.50,-140.00,-350.00
2024-02-20 17:19:52.377224,115,62,344,-50.87,-644.77,-780.80,315.00,-227.50,-385.00
2024-02-20 17:19:52.482348,117,67,0,-50.87,-644.65,-780.80,980.00,-87.50,-402.50
2024-02-20 17:19:52.586758,119,71,363,-51.00,-644.65,-780.56,385.00,-52.50,-437.50
2024-02-20 17:19:52.692707,120,75,0,-50.75,-644.65,-780.56,787.50,-87.50,-455.00
2024-02-20 17:19:52.797926,123,80,0,-50.87,-644.77,-780.56,175.00,-140.00,-262.50
2024-02-20 17:19:52.903076,128,86,354,-51.00,-644.89,-780.56,577.50,-262.50,-402.50
2024-02-20 17:19:53.008498,137,90,0,-50.87,-644.89,-780.68,1225.00,-140.00,-385.00
2024-02-20 17:19:53.113720,144,96,0,-51.00,-644.77,-781.04,210.00,-210.00,-297.50
2024-02-20 17:19:53.218747,150,98,0,-50.75,-645.01,-781.17,577.50,-297.50,-297.50
2024-02-20 17:19:53.323646,158,103,355,-50.87,-644.77,-780.68,770.00,-140.00,-402.50
2024-02-20 17:19:53.429265,162,105,358,-50.87,-644.65,-780.43,1767.50,-35.00,-420.00
2024-02-20 17:19:53.533826,169,107,364,-50.75,-644.65,-780.43,752.50,-105.00,-350.00
2024-02-20 17:19:53.639646,174,110,0,-50.75,-644.89,-781.17,105.00,-402.50,-280.00
2024-02-20 17:19:53.745069,178,111,0,-50.75,-645.14,-781.29,-822.50,-455.00,-175.00
2024-02-20 17:19:53.850312,180,111,354,-50.75,-645.14,-781.17,-892.50,-455.00,-192.50
2024-02-20 17:19:53.955238,178,110,0,-50.75,-644.65,-780.56,1050.00,17.50,-560.00
2024-02-20 17:19:54.060445,179,110,351,-50.63,-644.53,-780.68,507.50,-17.50,-437.50
2024-02-20 17:19:54.165745,180,110,348,-50.75,-644.77,-780.56,857.50,-157.50,-315.00
2024-02-20 17:19:54.270744,180,109,346,-50.87,-644.89,-780.92,0.00,-280.00,-262.50
2024-02-20 17:19:54.376134,178,108,0,-50.75,-644.89,-780.92,420.00,-262.50,-245.00
2024-02-20 17:19:54.481295,172,106,338,-50.75,-644.89,-781.04,717.50,-367.50,-262.50
2024-02-20 17:19:54.586360,170,101,0,-50.75,-644.77,-780.68,682.50,-17.50,-472.50
2024-02-20 17:19:54.691603,166,102,0,-50.75,-644.77,-780.56,1242.50,35.00,-367.50
2024-02-20 17:19:54.796945,159,101,0,-51.00,-644.89,-780.92,-245.00,-87.50,-385.00
2024-02-20 17:19:54.902238,156,100,317,-50.75,-644.89,-781.04,157.50,-367.50,-227.50
2024-02-20 17:19:55.007401,150,98,334,-50.63,-645.01,-781.29,-70.00,-385.00,-140.00
2024-02-20 17:19:55.112494,145,96,0,-50.75,-644.65,-780.68,1610.00,87.50,-455.00
2024-02-20 17:19:55.217836,137,97,0,-50.75,-644.65,-780.56,1505.00,105.00,-525.00
2024-02-20 17:19:55.321868,134,96,348,-50.75,-644.65,-780.68,560.00,0.00,-420.00
2024-02-20 17:19:55.427846,128,96,346,-50.63,-644.89,-781.17,455.00,-315.00,-210.00
2024-02-20 17:19:55.533352,125,96,0,-50.75,-644.89,-781.29,-437.50,-332.50,-280.00
2024-02-20 17:19:55.638602,126,98,0,-51.00,-645.01,-781.04,-17.50,-367.50,-192.50
2024-02-20 17:19:55.743587,127,98,0,-50.75,-645.01,-780.92,17.50,-210.00,-350.00
2024-02-20 17:19:55.848893,123,101,339,-50.75,-644.89,-780.80,560.00,-157.50,-332.50
2024-02-20 17:19:55.954094,124,102,0,-50.87,-644.77,-780.56,1452.50,-122.50,-332.50
2024-02-20 17:19:56.059216,121,104,355,-50.75,-644.89,-780.80,87.50,-157.50,-385.00
2024-02-20 17:19:56.164665,122,120,0,-50.63,-644.89,-780.92,1312.50,-175.00,-350.00
2024-02-20 17:19:56.269244,126,110,0,-50.75,-644.53,-780.56,1662.50,105.00,-490.00
2024-02-20 17:19:56.374938,132,115,366,-50.75,-644.89,-781.04,192.50,-350.00,-227.50
2024-02-20 17:19:56.479815,135,117,368,-50.75,-645.14,-781.53,-1067.50,-577.50,-70.00
2024-02-20 17:19:56.585602,139,121,389,-50.75,-644.89,-781.29,1050.00,-35.00,-455.00
2024-02-20 17:19:56.690842,143,124,384,-50.75,-644.40,-780.56,2800.00,315.00,-577.50
2024-02-20 17:19:56.795415,146,126,386,-51.00,-644.40,-780.56,227.50,210.00,-490.00
2024-02-20 17:19:56.901090,149,127,381,-50.87,-645.01,-781.17,455.00,-350.00,-280.00
2024-02-20 17:19:57.006331,152,129,380,-50.87,-644.89,-781.04,-1137.50,-420.00,-227.50
2024-02-20 17:19:57.111741,153,129,380,-50.75,-645.01,-781.17,-262.50,-437.50,-280.00
2024-02-20 17:19:57.216303,154,130,0,-50.63,-644.77,-781.04,35.00,-210.00,-262.50
2024-02-20 17:19:57.321825,154,129,368,-50.75,-644.53,-780.80,472.50,-17.50,-402.50
2024-02-20 17:19:57.427002,155,143,0,-50.63,-644.53,-780.68,2100.00,17.50,-367.50
2024-02-20 17:19:57.532533,153,128,383,-50.75,-644.53,-780.80,-367.50,-105.00,-385.00
2024-02-20 17:19:57.637778,155,128,0,-50.87,-644.65,-781.17,595.00,-227.50,-297.50
2024-02-20 17:19:57.743058,150,127,368,-50.51,-644.89,-781.17,-297.50,-350.00,-350.00
2024-02-20 17:19:57.848185,148,125,364,-50.87,-644.89,-781.17,752.50,-175.00,-402.50
2024-02-20 17:19:57.953519,142,122,368,-50.75,-644.77,-780.80,1470.00,-52.50,-332.50
2024-02-20 17:19:58.058029,139,122,371,-50.75,-644.40,-780.43,945.00,52.50,-455.00
2024-02-20 17:19:58.163918,135,119,370,-50.87,-644.40,-780.56,1347.50,-105.00,-332.50
2024-02-20 17:19:58.268758,132,117,370,-50.75,-644.89,-780.80,-1190.00,-420.00,-245.00
2024-02-20 17:19:58.373999,129,115,364,-50.87,-644.89,-781.29,490.00,-297.50,-175.00
2024-02-20 17:19:58.479021,127,115,368,-50.87,-644.53,-781.04,297.50,-52.50,-332.50
2024-02-20 17:19:58.584404,125,115,362,-50.75,-644.53,-780.68,542.50,35.00,-437.50
2024-02-20 17:19:58.689787,125,115,359,-51.00,-644.40,-780.31,227.50,-122.50,-402.50
2024-02-20 17:19:58.795016,126,108,0,-50.75,-644.40,-780.68,280.00,-262.50,-315.00
2024-02-20 17:19:58.900306,125,117,356,-50.75,-645.14,-781.04,700.00,-402.50,-210.00
2024-02-20 17:19:59.005707,127,118,0,-50.75,-644.65,-780.92,472.50,-192.50,-332.50
2024-02-20 17:19:59.110812,128,120,352,-50.75,-644.40,-780.68,1190.00,-140.00,-402.50
2024-02-20 17:19:59.215512,129,122,0,-50.75,-644.89,-780.68,945.00,-227.50,-297.50
2024-02-20 17:19:59.321245,132,124,355,-50.75,-644.65,-781.17,-385.00,-437.50,-245.00
2024-02-20 17:19:59.426016,134,126,364,-50.75,-645.01,-781.29,367.50,-525.00,-157.50
2024-02-20 17:19:59.531738,137,129,360,-50.75,-644.40,-780.43,927.50,-70.00,-437.50
2024-02-20 17:19:59.636785,140,131,367,-50.75,-644.04,-779.70,4322.50,525.00,-770.00
2024-02-20 17:19:59.741830,142,133,366,-50.87,-644.40,-780.31,542.50,17.50,-507.50
2024-02-20 17:19:59.847453,142,136,372,-50.75,-645.38,-781.78,-1680.00,-875.00,-17.50
2024-02-20 17:19:59.952757,144,138,368,-50.75,-645.62,-781.53,-1085.00,-472.50,-157.50
2024-02-20 17:20:00.057455,142,138,400,-50.87,-644.77,-780.80,0.00,-122.50,-402.50
2024-02-20 17:20:00.162653,143,140,0,-50.75,-644.40,-780.31,1155.00,17.50,-455.00
2024-02-20 17:20:00.268268,144,141,0,-50.63,-644.40,-780.56,175.00,-262.50,-350.00
2024-02-20 17:20:00.373346,144,142,366,-50.75,-644.89,-781.78,-157.50,-630.00,-17.50
2024-02-20 17:20:00.478541,143,141,368,-50.63,-645.01,-781.53,-245.00,-262.50,-420.00
2024-02-20 17:20:00.583608,142,142,377,-50.75,-644.53,-780.56,1365.00,280.00,-577.50
2024-02-20 17:20:00.688829,141,142,383,-50.87,-644.40,-780.31,910.00,192.50,-682.50
2024-02-20 17:20:00.794304,140,142,377,-50.75,-644.65,-780.92,-840.00,-297.50,-350.00
2024-02-20 17:20:00.899272,138,142,376,-50.63,-645.14,-781.29,-980.00,-420.00,-210.00
2024-02-20 17:20:01.004662,136,140,0,-50.75,-644.28,-780.56,-157.50,-122.50,-297.50
2024-02-20 17:20:01.109487,134,139,370,-50.51,-644.40,-780.43,927.50,35.00,-525.00
2024-02-20 17:20:01.214554,132,138,380,-50.75,-644.53,-780.31,717.50,-52.50,-402.50
2024-02-20 17:20:01.320182,128,138,373,-50.51,-644.65,-781.17,437.50,-262.50,-332.50
2024-02-20 17:20:01.425408,124,137,385,-50.75,-644.77,-781.41,280.00,-297.50,-280.00
2024-02-20 17:20:01.530707,123,135,392,-50.63,-644.65,-781.04,-297.50,-140.00,-367.50
2024-02-20 17:20:01.635867,122,136,392,-50.75,-644.53,-780.80,857.50,-105.00,-385.00
2024-02-20 17:20:01.740811,120,136,383,-50.63,-644.53,-780.68,52.50,-17.50,-402.50
2024-02-20 17:20:01.846245,119,136,388,-50.63,-644.65,-780.92,472.50,-175.00,-280.00
2024-02-20 17:20:01.951129,119,136,385,-50.75,-644.77,-781.41,-507.50,-420.00,-210.00
2024-02-20 17:20:02.056778,119,137,387,-50.63,-644.89,-781.29,385.00,-280.00,-245.00
2024-02-20 17:20:02.161730,118,137,390,-50.75,-644.65,-781.04,822.50,-70.00,-472.50
2024-02-20 17:20:02.266830,118,138,0,-50.87,-644.28,-780.68,560.00,-17.50,-472.50
2024-02-20 17:20:02.372384,120,140,403,-50.75,-644.65,-780.80,1155.00,-140.00,-385.00
2024-02-20 17:20:02.477073,121,141,392,-50.87,-644.65,-781.29,70.00,-227.50,-332.50
2024-02-20 17:20:02.582639,123,143,395,-50.87,-644.77,-781.29,315.00,-315.00,-262.50
2024-02-20 17:20:02.687075,125,144,0,-50.75,-644.89,-781.04,-315.00,-315.00,-245.00
2024-02-20 17:20:02.792952,128,145,397,-50.87,-644.28,-780.80,980.00,-332.50,-297.50
2024-02-20 17:20:02.898208,127,148,406,-50.75,-644.53,-780.56,665.00,-87.50,-367.50
2024-02-20 17:20:03.002942,132,140,0,-50.63,-644.65,-780.80,-122.50,-140.00,-315.00
2024-02-20 17:20:03.108635,134,149,389,-50.63,-644.40,-780.92,892.50,-245.00,-332.50
2024-02-20 17:20:03.213927,135,149,0,-50.75,-644.65,-780.68,787.50,-122.50,-490.00
2024-02-20 17:20:03.319059,136,150,400,-50.87,-644.53,-780.80,752.50,-52.50,-350.00
2024-02-20 17:20:03.424148,137,150,0,-50.87,-644.89,-781.17,-280.00,-297.50,-245.00
2024-02-20 17:20:03.529552,137,150,396,-50.75,-644.65,-781.04,665.00,-210.00,-297.50
2024-02-20 17:20:03.634713,137,150,395,-50.87,-644.65,-781.04,490.00,-262.50,-297.50
2024-02-20 17:20:03.739744,138,150,396,-50.51,-644.65,-780.80,70.00,-175.00,-385.00
2024-02-20 17:20:03.845151,137,149,0,-50.75,-644.65,-780.92,525.00,-210.00,-280.00
2024-02-20 17:20:03.950203,139,149,0,-50.75,-644.77,-781.04,175.00,-262.50,-280.00
2024-02-20 17:20:04.055601,137,144,0,-50.63,-644.77,-781.17,630.00,-262.50,-297.50
2024-02-20 17:20:04.160394,137,148,390,-50.63,-644.65,-781.04,490.00,-175.00,-402.50
2024-02-20 17:20:04.265869,136,147,384,-50.75,-644.65,-780.56,315.00,-70.00,-420.00
2024-02-20 17:20:04.371067,134,147,0,-50.87,-644.65,-780.68,857.50,-87.50,-297.50
2024-02-20 17:20:04.475826,133,146,376,-51.00,-644.65,-780.92,315.00,-262.50,-280.00
2024-02-20 17:20:04.581650,130,145,0,-50.75,-644.89,-780.92,1190.00,-192.50,-402.50
2024-02-20 17:20:04.686737,128,145,382,-50.75,-644.65,-780.68,420.00,-122.50,-402.50
2024-02-20 17:20:04.791901,125,144,392,-50.75,-644.65,-780.56,630.00,-17.50,-455.00
2024-02-20 17:20:04.897299,122,144,384,-50.63,-644.89,-780.92,-105.00,-315.00,-192.50
2024-02-20 17:20:05.002551,120,143,380,-50.75,-644.65,-781.17,-35.00,-332.50,-227.50
2024-02-20 17:20:05.107382,117,143,377,-50.75,-644.89,-781.29,245.00,-350.00,-245.00
2024-02-20 17:20:05.212750,117,143,377,-50.75,-644.65,-781.04,140.00,-140.00,-385.00
2024-02-20 17:20:05.317990,116,144,390,-50.75,-644.53,-781.04,1225.00,-87.50,-490.00
2024-02-20 17:20:05.422764,116,144,391,-50.63,-644.40,-780.56,1365.00,105.00,-595.00
2024-02-20 17:20:05.528529,117,146,386,-50.75,-644.53,-781.04,-105.00,-262.50,-245.00
2024-02-20 17:20:05.633088,118,148,390,-50.51,-644.77,-781.41,35.00,-455.00,-122.50
2024-02-20 17:20:05.739209,120,149,395,-50.39,-644.65,-781.17,-630.00,-332.50,-210.00
2024-02-20 17:20:05.844196,123,152,395,-50.51,-644.53,-781.29,1487.50,-122.50,-367.50
2024-02-20 17:20:05.949251,127,154,400,-50.63,-644.65,-781.04,437.50,-35.00,-455.00
2024-02-20 17:20:06.054548,132,158,405,-50.75,-644.77,-780.92,787.50,-192.50,-437.50
2024-02-20 17:20:06.159748,137,160,0,-50.75,-644.77,-781.04,-70.00,-280.00,-280.00
2024-02-20 17:20:06.265149,140,163,0,-50.75,-644.65,-781.29,-385.00,-350.00,-210.00
