Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 18:33:12.179126,192,57,443,-686.86,434.32,564.62,-8242.50,12827.50,-39952.50
2024-02-20 18:33:12.194744,191,55,0,-679.42,432.61,535.82,-23695.00,-3272.50,-27895.00
2024-02-20 18:33:12.194744,190,56,413,-677.10,446.89,516.06,-39462.50,-18060.00,-28630.00
2024-02-20 18:33:12.210372,189,56,405,-675.88,440.79,509.35,-49332.50,-23432.50,-33862.50
2024-02-20 18:33:12.210372,188,55,398,-671.00,393.57,506.18,-48107.50,-23327.50,-245.00
2024-02-20 18:33:12.225995,187,57,389,-666.73,353.80,501.30,-49017.50,-27107.50,37712.50
2024-02-20 18:33:12.225995,187,57,385,-665.88,343.55,499.96,-53287.50,-30992.50,51905.00
2024-02-20 18:33:12.241618,186,57,381,-666.85,339.89,497.03,-55807.50,-36417.50,54880.00
2024-02-20 18:33:12.257241,185,58,378,-668.80,317.20,484.22,-52500.00,-55632.50,66832.50
2024-02-20 18:33:12.265922,184,59,377,-669.90,281.45,474.46,-38937.50,-82232.50,92225.00
2024-02-20 18:33:12.265922,184,61,374,-666.85,270.47,491.05,-22575.00,-95725.00,102287.50
2024-02-20 18:33:12.281640,184,62,373,-661.00,295.24,527.77,-10692.50,-83125.00,81637.50
2024-02-20 18:33:12.281640,184,64,380,-654.41,342.45,571.08,-8890.00,-52727.50,41755.00
2024-02-20 18:33:12.297210,184,75,0,-646.48,388.45,611.22,-9975.00,-9397.50,-3395.00
2024-02-20 18:33:12.297210,185,67,379,-640.87,409.43,633.79,-13667.50,22890.00,-30187.50
2024-02-20 18:33:12.312882,186,68,386,-656.85,381.13,597.80,-21367.50,27615.00,-27947.50
2024-02-20 18:33:12.328463,186,69,394,-683.20,359.17,604.39,-14245.00,-20860.00,20212.50
2024-02-20 18:33:12.328463,187,70,411,-698.33,384.54,652.58,1207.50,24710.00,11270.00
2024-02-20 18:33:12.344083,187,71,419,-705.16,406.50,649.04,7507.50,32410.00,-2800.00
2024-02-20 18:33:12.359755,187,72,440,-705.40,400.89,645.01,-3430.00,36785.00,2590.00
2024-02-20 18:33:12.359755,112,169,0,-704.31,386.98,645.38,-3850.00,41282.50,17517.50
2024-02-20 18:33:12.359755,-46,177,0,-701.26,391.50,643.67,2922.50,39200.00,15050.00
2024-02-20 18:33:12.375389,-46,187,0,-697.60,400.40,637.82,8802.50,28630.00,-2432.50
2024-02-20 18:33:12.391022,-46,186,0,-694.55,394.55,637.08,14560.00,20650.00,-10517.50
2024-02-20 18:33:12.391022,-46,137,0,-692.84,384.67,644.16,25550.00,19442.50,-9572.50
2024-02-20 18:33:12.406646,-46,115,0,-691.50,387.72,649.16,39287.50,18305.00,-17447.50
2024-02-20 18:33:12.406646,-46,187,0,-689.06,391.86,647.21,48475.00,10745.00,-32497.50
2024-02-20 18:33:12.422288,-46,185,0,-685.64,379.66,639.89,51555.00,2485.00,-34457.50
2024-02-20 18:33:12.422288,-46,188,0,-682.59,360.27,629.89,52185.00,-6247.50,-22575.00
2024-02-20 18:33:12.437868,-46,186,0,-679.05,353.07,624.03,53287.50,-9170.00,-13755.00
2024-02-20 18:33:12.455779,-46,188,0,-674.90,356.97,615.86,52027.50,-10202.50,-14070.00
2024-02-20 18:33:12.465927,-46,181,0,-672.71,362.10,605.85,43295.00,-13422.50,-12495.00
2024-02-20 18:33:12.465927,154,50,422,-676.49,364.78,597.80,24937.50,-4182.50,-7297.50
2024-02-20 18:33:12.481583,153,48,426,-683.93,377.71,585.60,7875.00,857.50,6440.00
2024-02-20 18:33:12.481583,151,48,411,-693.45,407.97,583.53,-6440.00,5092.50,-3535.00
