Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 18:43:33.591757,155,62,508,-558.27,41.48,817.16,10202.50,-192.50,-7717.50
2024-02-20 18:43:33.607373,154,61,481,-560.59,28.79,813.50,12967.50,-2327.50,-3762.50
2024-02-20 18:43:33.622931,155,60,454,-566.08,16.84,816.18,15627.50,-367.50,-1470.00
2024-02-20 18:43:33.622931,155,59,456,-573.64,5.25,820.57,23380.00,4322.50,3167.50
2024-02-20 18:43:33.638629,155,72,0,-582.67,-4.03,824.96,30362.50,9782.50,1242.50
2024-02-20 18:43:33.638629,155,58,450,-592.07,-16.23,829.84,39550.00,16310.00,3185.00
2024-02-20 18:43:33.654250,155,56,0,-599.51,-28.06,833.87,50732.50,22400.00,8207.50
2024-02-20 18:43:33.654250,156,58,424,-603.78,-31.96,833.87,57260.00,26600.00,11480.00
2024-02-20 18:43:33.677412,156,53,0,-603.53,-26.35,826.18,52710.00,25655.00,12232.50
2024-02-20 18:43:33.678892,157,57,425,-599.26,-12.32,815.08,36680.00,20387.50,13142.50
2024-02-20 18:43:33.694518,157,51,0,-593.29,8.17,806.79,16537.50,14700.00,13475.00
2024-02-20 18:43:33.694518,158,58,420,-587.43,29.04,802.27,-2100.00,10692.50,13212.50
2024-02-20 18:43:33.710191,158,59,411,-582.43,36.84,800.56,-15697.50,9205.00,21577.50
2024-02-20 18:43:33.710191,159,61,408,-576.69,41.24,797.39,-27545.00,7787.50,47635.00
2024-02-20 18:43:33.725830,160,63,410,-569.98,57.34,793.73,-47407.50,4410.00,62597.50
2024-02-20 18:43:33.725830,161,65,407,-565.10,67.47,796.05,-60322.50,3937.50,72485.00
2024-02-20 18:43:33.741393,161,68,393,-562.30,68.32,803.00,-62020.00,6772.50,82915.00
2024-02-20 18:43:33.757065,162,71,415,-559.61,75.27,805.93,-58135.00,8347.50,78925.00
2024-02-20 18:43:33.757065,162,74,398,-558.52,83.81,804.47,-50697.50,5232.50,55230.00
2024-02-20 18:43:33.772673,163,76,383,-561.69,81.50,805.20,-35280.00,3937.50,29365.00
2024-02-20 18:43:33.772673,163,79,400,-569.62,71.37,806.91,-19057.50,5285.00,11007.50
2024-02-20 18:43:33.788254,163,80,389,-578.52,49.65,806.91,-3692.50,6842.50,-2257.50
2024-02-20 18:43:33.803882,162,82,376,-590.72,10.25,815.08,22085.00,10902.50,8487.50
2024-02-20 18:43:33.803882,161,80,0,-606.34,-12.44,832.89,58170.00,26477.50,21542.50
2024-02-20 18:43:33.803882,160,85,399,-618.42,-6.83,842.90,76387.50,39340.00,9695.00
2024-02-20 18:43:33.819502,159,85,392,-626.10,2.93,840.58,79030.00,43540.00,-3517.50
2024-02-20 18:43:33.835204,157,85,396,-628.54,17.57,833.99,74777.50,43890.00,-12302.50
2024-02-20 18:43:33.835204,153,84,407,-625.49,38.80,823.99,59237.50,39830.00,-23415.00
2024-02-20 18:43:33.850754,148,82,400,-619.76,54.66,814.72,43557.50,33985.00,-30065.00
2024-02-20 18:43:33.850754,142,80,404,-613.78,67.22,811.06,36767.50,30817.50,-30012.50
2024-02-20 18:43:33.866432,136,77,405,-607.07,82.84,805.69,28857.50,28017.50,-34440.00
2024-02-20 18:43:33.882048,129,73,397,-599.51,96.26,794.46,18970.00,20720.00,-39462.50
2024-02-20 18:43:33.882048,122,69,403,-593.53,98.58,771.53,7787.50,4655.00,-42350.00
2024-02-20 18:43:33.897684,116,67,405,-589.02,91.38,751.52,-2922.50,-16555.00,-34527.50
2024-02-20 18:43:33.897684,110,64,407,-585.84,83.33,733.95,-12040.00,-31850.00,-28437.50
2024-02-20 18:43:33.913246,103,61,418,-583.28,71.49,722.00,-20982.50,-49822.50,-19477.50
2024-02-20 18:43:33.928869,98,57,0,-578.77,65.03,729.32,-19897.50,-46392.50,-10307.50
2024-02-20 18:43:33.940586,93,55,408,-572.67,71.00,740.30,-19197.50,-36365.00,-14997.50
2024-02-20 18:43:33.940586,90,53,411,-566.93,80.28,755.18,-21035.00,-20842.50,-24640.00
2024-02-20 18:43:33.956301,88,51,407,-563.76,91.01,779.21,-23730.00,3570.00,-33355.00
2024-02-20 18:43:33.956301,86,50,398,-565.47,102.97,798.61,-24325.00,31115.00,-43505.00
2024-02-20 18:43:33.971877,86,50,402,-581.45,82.47,765.55,-29557.50,9257.50,-38342.50
2024-02-20 18:43:33.971877,85,48,0,-604.02,55.27,764.09,-13440.00,-11690.00,-4445.00
2024-02-20 18:43:33.987501,85,50,403,-617.56,48.80,805.32,19355.00,22242.50,-3710.00
2024-02-20 18:43:33.987501,83,51,399,-624.15,35.75,807.03,32392.50,27895.00,-2327.50
2024-02-20 18:43:34.003170,83,54,402,-628.18,27.57,803.00,38150.00,27370.00,-1855.00
2024-02-20 18:43:34.018809,83,56,397,-630.74,30.01,802.52,39112.50,28682.50,-8155.00
2024-02-20 18:43:34.018809,84,59,407,-630.01,37.82,798.73,37170.00,28192.50,-16730.00
2024-02-20 18:43:34.034426,85,62,394,-625.49,46.12,786.17,27930.00,21227.50,-26792.50
2024-02-20 18:43:34.049993,86,67,396,-618.66,48.80,771.28,17797.50,10202.50,-29032.50
2024-02-20 18:43:34.049993,87,77,0,-611.34,50.75,761.77,10325.00,1155.00,-26967.50
2024-02-20 18:43:34.049993,88,74,392,-604.02,54.05,754.94,2782.50,-5967.50,-23502.50
2024-02-20 18:43:34.065615,89,78,406,-595.97,63.07,746.40,-11252.50,-14332.50,-21350.00
2024-02-20 18:43:34.081233,90,81,402,-587.67,75.15,735.66,-32847.50,-24640.00,-25445.00
2024-02-20 18:43:34.081233,91,85,426,-582.79,79.54,728.71,-53602.50,-33530.00,-23467.50
2024-02-20 18:43:34.096861,92,88,409,-583.04,79.42,731.27,-68320.00,-35052.50,-13195.00
2024-02-20 18:43:34.096861,93,90,431,-586.82,78.57,738.59,-76125.00,-31202.50,-2345.00
