Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 17:40:51.297212,145,72,466,-801.91,-433.34,255.35,11287.50,57015.00,-87937.50
2024-02-20 17:40:51.310014,145,85,0,-787.14,-452.99,253.39,-1365.00,58940.00,-78522.50
2024-02-20 17:40:51.316720,145,71,467,-768.11,-494.10,259.49,-5600.00,65030.00,-47197.50
2024-02-20 17:40:51.328691,144,71,459,-748.23,-536.31,271.08,-10797.50,74602.50,-7210.00
2024-02-20 17:40:51.335045,144,70,444,-744.81,-546.56,270.72,-17692.50,76860.00,20037.50
2024-02-20 17:40:51.347252,144,69,431,-760.55,-521.18,259.25,1522.50,36592.50,-16852.50
2024-02-20 17:40:51.355877,144,69,422,-774.70,-519.11,261.81,-16835.00,24570.00,-17850.00
2024-02-20 17:40:51.360860,144,69,414,-778.12,-528.38,259.13,-31080.00,17132.50,-4445.00
2024-02-20 17:40:51.371080,143,70,402,-778.73,-526.67,235.70,-17132.50,-3570.00,-7735.00
2024-02-20 17:40:51.382282,143,72,402,-782.87,-538.39,204.11,-1347.50,-27212.50,1085.00
2024-02-20 17:40:51.388836,143,74,393,-787.88,-553.88,171.04,22785.00,-56682.50,14927.50
2024-02-20 17:40:51.400153,142,77,399,-792.51,-561.20,157.87,48842.50,-74270.00,28052.50
2024-02-20 17:40:51.406527,143,81,394,-796.29,-555.47,165.55,61652.50,-70280.00,28525.00
2024-02-20 17:40:51.418626,143,84,402,-801.78,-548.27,180.80,64452.50,-57697.50,25900.00
2024-02-20 17:40:51.425391,144,88,0,-808.86,-537.04,204.84,45832.50,-36487.50,22032.50
2024-02-20 17:40:51.436796,144,91,415,-815.57,-525.33,226.68,22085.00,-10885.00,12477.50
2024-02-20 17:40:51.445904,145,94,405,-822.77,-528.87,234.48,22417.50,1680.00,13177.50
2024-02-20 17:40:51.450558,145,97,420,-830.21,-533.63,239.36,25130.00,9537.50,21367.50
2024-02-20 17:40:51.460526,145,97,0,-837.65,-527.53,245.71,17762.50,23135.00,21035.00
2024-02-20 17:40:51.470974,145,99,395,-844.48,-522.40,241.68,15295.00,33512.50,19180.00
2024-02-20 17:40:51.477712,145,101,401,-848.39,-520.21,223.75,15802.50,30555.00,19775.00
2024-02-20 17:40:51.488845,144,102,395,-849.61,-519.60,203.74,18655.00,19250.00,20177.50
2024-02-20 17:40:51.495370,144,101,398,-849.85,-518.99,193.13,20422.50,8522.50,21822.50
2024-02-20 17:40:51.507217,141,99,403,-849.12,-513.13,198.86,12547.50,7157.50,19722.50
2024-02-20 17:40:51.512796,139,99,409,-846.31,-501.91,214.48,717.50,14035.00,12337.50
2024-02-20 17:40:51.526119,136,96,411,-845.46,-481.05,220.70,-2345.00,11917.50,-2065.00
2024-02-20 17:40:51.531922,132,93,408,-848.75,-455.91,221.80,2152.50,350.00,-25445.00
2024-02-20 17:40:51.544855,129,90,412,-849.97,-441.88,225.33,13195.00,-8680.00,-45132.50
2024-02-20 17:40:51.551115,126,97,0,-844.97,-447.25,228.51,18882.50,-13265.00,-47302.50
2024-02-20 17:40:51.563292,124,84,414,-835.70,-465.67,231.56,24010.00,-13422.50,-34912.50
2024-02-20 17:40:51.569879,120,81,409,-827.04,-481.41,235.34,28000.00,-11567.50,-21420.00
2024-02-20 17:40:51.581175,118,78,411,-820.57,-491.78,242.54,26635.00,-6755.00,-12477.50
2024-02-20 17:40:51.587016,115,76,418,-813.86,-503.49,251.81,24097.50,1137.50,-3237.50
2024-02-20 17:40:51.596211,113,74,410,-805.20,-518.26,260.47,21927.50,9782.50,9187.50
2024-02-20 17:40:51.603669,110,69,0,-796.42,-530.33,268.40,15907.50,16905.00,21122.50
2024-02-20 17:40:51.613687,107,68,404,-788.36,-537.04,278.77,9695.00,23380.00,28752.50
2024-02-20 17:40:51.625896,104,67,412,-779.58,-539.97,290.36,4707.50,31570.00,33005.00
2024-02-20 17:40:51.631467,101,65,419,-770.80,-542.17,299.63,1820.00,39112.50,37222.50
2024-02-20 17:40:51.642550,99,64,407,-783.36,-502.64,276.70,15942.50,28577.50,22487.50
2024-02-20 17:40:51.648554,97,63,412,-804.71,-476.53,275.11,13177.50,5302.50,-22172.50
2024-02-20 17:40:51.660006,95,63,410,-809.35,-484.58,294.14,3587.50,23135.00,-12127.50
2024-02-20 17:40:51.671391,94,63,401,-809.35,-472.26,284.75,3325.00,18410.00,-20790.00
2024-02-20 17:40:51.677692,93,63,397,-810.08,-467.50,278.16,-5477.50,14035.00,-26285.00
2024-02-20 17:40:51.688775,92,64,394,-812.03,-469.21,272.55,-12565.00,9502.50,-24377.50
2024-02-20 17:40:51.695401,92,65,404,-814.35,-471.41,268.40,-14997.50,5057.50,-21192.50
2024-02-20 17:40:51.707414,91,66,406,-816.18,-472.38,267.18,-23012.50,297.50,-16922.50
2024-02-20 17:40:51.713550,91,67,402,-816.55,-477.14,266.20,-34405.00,-6440.00,-13230.00
