Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-20 16:34:04.473316,178,82,395,-15.01,682.71,718.21,157.50,-175.00,-367.50
2024-02-20 16:34:04.578327,178,81,402,-15.01,682.47,718.34,945.00,-157.50,-315.00
2024-02-20 16:34:04.683508,178,81,394,-14.88,682.71,718.21,420.00,-192.50,-315.00
2024-02-20 16:34:04.789038,179,81,380,-14.88,682.47,718.09,-402.50,-175.00,-420.00
2024-02-20 16:34:04.893994,179,80,365,-14.76,682.47,718.21,-35.00,-122.50,-332.50
2024-02-20 16:34:04.999294,179,79,357,-14.88,682.35,718.09,787.50,-210.00,-332.50
2024-02-20 16:34:05.104419,180,78,354,-14.88,682.35,718.09,787.50,-175.00,-280.00
2024-02-20 16:34:05.209545,180,80,351,-14.88,682.35,718.09,280.00,-175.00,-350.00
2024-02-20 16:34:05.314407,180,79,346,-14.88,682.35,717.97,595.00,-52.50,-402.50
2024-02-20 16:34:05.419850,180,78,346,-15.01,682.22,718.21,910.00,-157.50,-297.50
2024-02-20 16:34:05.525312,180,79,345,-14.76,682.35,718.09,472.50,-175.00,-332.50
2024-02-20 16:34:05.630392,181,79,344,-14.88,682.47,718.09,525.00,-157.50,-280.00
2024-02-20 16:34:05.735518,180,79,348,-15.01,682.47,718.09,367.50,-175.00,-350.00
2024-02-20 16:34:05.840816,178,78,346,-14.88,682.47,718.34,140.00,-140.00,-350.00
2024-02-20 16:34:05.945942,177,78,344,-14.88,682.59,718.34,560.00,-245.00,-367.50
2024-02-20 16:34:06.051243,175,80,0,-15.13,682.47,718.34,840.00,-105.00,-385.00
2024-02-20 16:34:06.155852,173,77,339,-15.01,682.47,718.34,35.00,-140.00,-402.50
2024-02-20 16:34:06.261454,170,76,343,-14.88,682.35,718.46,437.50,-157.50,-315.00
2024-02-20 16:34:06.366899,166,74,339,-15.01,682.35,718.34,892.50,-175.00,-315.00
2024-02-20 16:34:06.471972,162,72,350,-14.76,682.59,718.21,-157.50,-175.00,-385.00
2024-02-20 16:34:06.577215,156,70,334,-15.01,682.35,718.34,962.50,-140.00,-332.50
2024-02-20 16:34:06.682340,151,67,336,-15.13,682.59,718.46,630.00,-192.50,-367.50
2024-02-20 16:34:06.787641,144,65,341,-15.13,682.71,718.34,105.00,-122.50,-297.50
2024-02-20 16:34:06.892770,139,62,327,-15.01,682.59,718.21,875.00,-105.00,-315.00
2024-02-20 16:34:06.998037,133,60,345,-15.13,682.35,718.34,997.50,-227.50,-315.00
2024-02-20 16:34:07.103164,127,57,345,-14.88,682.47,718.21,437.50,-175.00,-297.50
2024-02-20 16:34:07.208248,121,55,345,-14.88,682.47,718.09,245.00,-70.00,-332.50
2024-02-20 16:34:07.313437,116,53,354,-14.88,682.35,718.09,595.00,-245.00,-367.50
