Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-08 18:09:42.164237,168,62,598,-34.53,212.04,969.53,437.50,-175.00,-332.50
2024-02-08 18:09:42.270775,172,57,0,-34.65,212.28,969.53,472.50,-175.00,-315.00
2024-02-08 18:09:42.374220,170,61,0,-34.28,212.16,969.66,542.50,-70.00,-332.50
2024-02-08 18:09:42.480753,170,61,546,-34.53,212.28,969.90,507.50,-245.00,-280.00
2024-02-08 18:09:42.584160,171,62,529,-34.40,212.04,969.90,665.00,-245.00,-315.00
2024-02-08 18:09:42.691435,171,62,524,-34.77,212.28,969.90,542.50,-157.50,-245.00
2024-02-08 18:09:42.794486,173,60,493,-34.53,212.28,969.90,350.00,-227.50,-297.50
2024-02-08 18:09:42.891987,172,61,465,-34.40,212.52,969.90,455.00,-192.50,-332.50
2024-02-08 18:09:43.002986,174,59,0,-34.53,212.40,969.78,350.00,-157.50,-367.50
2024-02-08 18:09:43.108609,174,61,0,-34.53,212.52,969.90,542.50,-227.50,-262.50
2024-02-08 18:09:43.215588,174,61,0,-34.28,212.40,969.78,490.00,-105.00,-315.00
2024-02-08 18:09:43.319729,174,61,0,-34.40,212.28,969.66,507.50,-210.00,-297.50
2024-02-08 18:09:43.420840,174,61,0,-34.53,212.40,969.66,612.50,-122.50,-297.50
2024-02-08 18:09:43.526596,174,61,0,-34.28,212.52,969.90,455.00,-192.50,-262.50
2024-02-08 18:09:43.630283,173,62,0,-34.40,212.52,969.66,595.00,-210.00,-297.50
2024-02-08 18:09:43.738656,171,62,414,-34.65,212.52,969.66,525.00,-227.50,-332.50
2024-02-08 18:09:43.836853,172,63,0,-34.28,212.28,969.66,560.00,-262.50,-280.00
2024-02-08 18:09:43.942418,170,62,0,-34.53,212.52,969.78,332.50,-105.00,-262.50
2024-02-08 18:09:44.056841,167,63,398,-34.53,212.28,969.66,630.00,-192.50,-332.50
2024-02-08 18:09:44.163860,163,63,400,-34.65,212.28,969.78,420.00,-157.50,-297.50
2024-02-08 18:09:44.263167,160,63,0,-34.40,212.28,969.90,542.50,-175.00,-280.00
