Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
35:02.0,169,85,514,35.01,229.6,966.97,682.5,-17.5,-297.5
35:02.1,170,84,481,35.5,229.6,966.24,122.5,-157.5,-280
35:02.2,171,84,484,35.14,229.6,966.36,17.5,-385,-367.5
35:02.3,171,84,0,35.38,229.73,966.61,560,-210,-262.5
35:02.5,172,84,481,35.14,229.6,966.48,577.5,-70,-245
35:02.6,172,83,474,35.5,229.73,966.48,420,-122.5,-245
35:02.7,172,83,463,35.26,229.6,966.24,437.5,-297.5,-402.5
35:02.8,172,82,0,35.62,229.85,966.36,525,-140,-350
35:02.9,171,85,461,35.14,229.6,966.48,647.5,-70,-280
35:03.0,171,85,462,35.62,229.73,966.48,402.5,-210,-262.5
35:03.1,172,86,457,35.14,229.6,966.48,507.5,-245,-280
35:03.2,173,88,485,35.5,229.6,966.48,402.5,-192.5,-315
35:03.3,173,90,463,35.26,229.6,966.61,507.5,-140,-315
35:03.4,174,91,473,35.5,229.85,966.61,542.5,-70,-262.5
35:03.5,175,94,481,35.14,229.48,966.61,700,-122.5,-350
35:03.6,176,96,462,35.38,229.73,966.48,647.5,-122.5,-280
35:03.7,177,98,461,35.26,229.6,966.48,262.5,-227.5,-227.5
35:03.8,177,101,464,35.38,229.73,966.24,647.5,-105,-315
35:03.9,177,102,457,35.38,229.73,966.24,332.5,-227.5,-227.5
35:04.0,178,103,461,35.38,229.85,966.36,437.5,-280,-332.5
35:04.1,178,106,483,35.14,229.97,966.36,402.5,-297.5,-262.5
35:04.2,177,107,467,35.62,229.85,966.48,385,-157.5,-297.5
35:04.3,177,108,457,35.26,229.85,966.36,577.5,-227.5,-262.5
35:04.4,177,110,462,35.38,230.09,966.36,367.5,-157.5,-262.5
35:04.6,177,119,0,35.14,229.85,966.36,700,-157.5,-280
35:04.7,176,112,487,35.38,230.09,966.48,350,-227.5,-262.5
35:04.8,176,112,479,35.26,230.09,966.61,472.5,-175,-332.5
35:04.9,175,113,475,35.38,230.21,966.48,490,-175,-332.5
35:05.0,175,114,478,35.26,229.97,966.61,612.5,-210,-245
35:05.1,174,121,0,35.38,229.97,966.48,437.5,-140,-315
35:05.2,172,114,461,35.38,229.97,966.48,525,-245,-332.5
35:05.3,172,114,457,35.5,229.97,966.61,507.5,-105,-280
35:05.4,171,113,474,35.26,229.97,966.48,455,-245,-262.5
35:05.5,168,113,466,35.38,229.97,966.48,560,-210,-332.5
35:05.6,166,113,463,35.38,229.97,966.36,490,-192.5,-332.5
35:05.7,164,113,464,35.38,230.09,966.24,472.5,-227.5,-315
35:05.8,161,112,452,35.38,229.97,966.24,542.5,-192.5,-297.5
35:05.9,158,110,446,35.38,230.09,966.48,577.5,-192.5,-245
35:06.0,154,110,429,35.38,230.09,966.48,542.5,-227.5,-262.5
35:06.1,151,108,426,35.5,230.09,966.36,402.5,-175,-297.5
35:06.2,147,108,442,35.26,230.09,966.73,560,-210,-245
35:06.3,144,108,442,35.38,230.09,966.61,525,-297.5,-262.5
35:06.5,140,106,459,35.5,230.09,966.73,630,-140,-280
35:06.6,137,104,425,35.62,230.21,966.61,455,-157.5,-245
35:06.7,134,104,0,35.5,230.21,966.36,525,-280,-332.5
35:06.8,132,103,423,35.5,230.09,966.24,542.5,-192.5,-332.5
35:06.9,129,103,447,35.5,229.85,966.36,525,-175,-297.5
35:07.0,127,101,452,35.38,229.85,966.48,507.5,-122.5,-262.5
35:07.1,126,101,448,35.62,230.09,966.36,455,-122.5,-227.5
35:07.2,124,100,460,35.5,230.09,966.61,577.5,-280,-280
35:07.3,123,100,465,35.5,230.09,966.73,682.5,-262.5,-297.5
35:07.4,122,98,450,35.5,229.97,966.48,490,-245,-280
35:07.5,122,93,0,35.38,230.09,966.36,945,-157.5,-315
35:07.6,122,97,442,35.38,230.09,966.36,472.5,-175,-227.5
35:07.7,122,97,453,35.5,230.09,966.48,595,-245,-297.5
35:07.8,123,97,458,35.62,230.09,966.61,350,-210,-262.5
35:07.9,124,96,441,35.75,230.21,966.48,315,-210,-210
35:08.0,125,97,447,35.26,230.09,966.61,595,-210,-315
35:08.1,128,97,465,35.62,230.21,966.48,227.5,-192.5,-332.5
35:08.2,130,97,466,35.26,230.09,966.48,665,-157.5,-332.5
35:08.4,133,97,481,35.62,230.34,966.36,367.5,-122.5,-280
35:08.5,137,96,490,35.38,230.09,966.61,630,-262.5,-262.5
35:08.6,141,96,520,35.62,230.34,966.48,385,-227.5,-315
35:08.7,145,96,505,35.38,230.21,966.48,472.5,-175,-280
35:08.8,149,83,0,35.87,230.34,966.48,525,-140,-262.5
35:08.9,152,95,596,35.38,230.21,966.61,560,-210,-297.5
35:09.0,-46,115,0,35.62,230.34,966.36,437.5,-262.5,-245
35:09.1,-46,186,0,35.26,230.09,966.36,560,-157.5,-332.5
35:09.2,-46,126,0,35.5,230.21,966.24,420,-210,-245
35:09.3,-46,183,0,35.38,230.09,966.24,560,-210,-350
35:09.4,-46,180,0,35.26,230.34,966.12,490,-210,-350
35:09.5,-46,188,0,35.14,230.21,966.12,542.5,-157.5,-315
35:09.6,-46,183,0,35.5,230.21,966.24,560,-280,-262.5
35:09.7,-46,188,0,35.26,230.09,966.24,577.5,-140,-245
35:09.8,-46,181,0,35.38,230.34,966.36,560,-122.5,-280
35:09.9,-46,187,0,35.26,230.21,966.48,542.5,-210,-262.5
35:10.0,-46,182,0,35.38,230.21,966.48,560,-192.5,-297.5
35:10.1,-46,177,0,35.26,230.21,966.48,577.5,-175,-262.5
35:10.2,-46,177,0,35.38,230.09,966.24,490,-210,-332.5
35:10.3,-46,188,0,35.38,230.21,966.36,630,-245,-245
35:10.5,-46,182,0,35.38,230.21,966.48,525,-210,-262.5
35:10.6,177,87,1071,35.38,230.34,966.48,525,-192.5,-315
35:10.7,176,87,846,35.38,230.46,966.61,525,-227.5,-350
35:10.8,174,84,0,35.5,230.34,966.48,490,-245,-227.5
35:10.9,172,85,496,35.38,230.58,966.48,577.5,-245,-280
35:11.0,171,84,482,35.38,230.34,966.48,507.5,-192.5,-350
35:11.1,168,84,499,35.38,230.34,966.61,542.5,-157.5,-280
35:11.2,165,85,467,35.26,230.34,966.48,472.5,-262.5,-297.5
35:11.3,162,85,488,35.38,230.34,966.36,455,-175,-315
35:11.4,158,84,460,35.38,230.34,966.24,612.5,-87.5,-280
35:11.5,153,85,460,35.38,230.46,966.24,455,-140,-280
35:11.6,148,86,0,35.26,230.34,966.24,507.5,-122.5,-315
35:11.7,145,84,447,35.38,230.34,966.12,507.5,-210,-245
35:11.8,139,84,453,35.26,230.46,966.36,542.5,-192.5,-245
35:11.9,135,84,459,35.38,230.34,966.24,525,-157.5,-315
35:12.0,131,84,446,35.26,230.21,966.36,507.5,-122.5,-280
35:12.1,126,84,438,35.14,230.34,966.24,472.5,-192.5,-280
35:12.2,121,84,445,35.26,230.46,966.24,542.5,-175,-350
35:12.3,116,84,458,35.38,230.58,966.24,595,-227.5,-297.5
35:12.4,110,84,460,35.26,230.34,966.24,507.5,-175,-297.5
35:12.6,106,83,447,35.38,230.46,966.24,525,-140,-315
35:12.7,100,83,460,35.26,230.58,966.48,577.5,-245,-245
35:12.8,95,82,0,35.26,230.34,966.36,472.5,-210,-245
35:12.9,91,82,485,35.26,230.34,966.24,630,-175,-227.5
35:13.0,86,81,480,35.38,230.58,966.24,490,-175,-210
35:13.1,82,80,453,35.38,230.46,966.36,595,-175,-262.5
35:13.2,79,80,0,35.38,230.34,966.48,542.5,-175,-315
35:13.3,76,78,473,35.38,230.46,966.36,595,-210,-297.5
35:13.4,73,78,486,35.5,230.46,966.24,577.5,-210,-332.5
35:13.5,70,80,451,35.38,230.46,966.48,577.5,-262.5,-297.5
35:13.6,69,79,476,35.38,230.46,966.36,507.5,-122.5,-280
35:13.7,68,79,549,35.5,230.46,966.24,577.5,-140,-315
35:13.8,-46,185,0,35.5,230.58,966.24,490,-262.5,-262.5
35:13.9,-46,199,0,35.5,230.58,966.36,595,-210,-297.5
35:14.0,-46,200,0,35.5,230.7,966.36,437.5,-122.5,-297.5
35:14.1,-46,204,0,35.38,230.7,966.24,595,-192.5,-175
35:14.2,-46,195,0,35.38,230.7,966.24,560,-157.5,-245
35:14.3,-46,213,0,35.38,230.58,966.24,612.5,-245,-297.5
35:14.4,-46,201,0,35.38,230.58,966.36,490,-140,-332.5
35:14.6,-46,201,0,35.38,230.58,966.48,507.5,-210,-315
35:14.7,-46,199,0,35.38,230.7,966.36,437.5,-192.5,-280
35:14.8,-46,206,0,35.38,230.7,966.24,577.5,-175,-227.5
35:14.9,-46,202,0,35.26,230.58,966.36,455,-192.5,-262.5
35:15.0,-46,195,0,35.38,230.58,966.24,350,-210,-332.5
35:15.1,-46,202,0,35.5,230.58,966.36,455,-192.5,-262.5
35:15.2,-46,232,0,35.62,230.46,966.36,525,-140,-280
35:15.3,-46,199,0,35.5,230.58,966.24,542.5,-157.5,-297.5
35:15.4,-46,259,0,35.38,230.82,966.12,420,-140,-297.5
35:15.5,-46,198,0,35.38,230.7,966,507.5,-175,-245
35:15.6,-46,202,0,35.5,230.7,965.87,507.5,-227.5,-245
35:15.7,-46,225,0,35.38,230.58,966,490,-122.5,-332.5
35:15.8,-46,191,0,35.38,230.58,966,595,-280,-332.5
35:15.9,-46,198,0,35.5,230.58,966.12,542.5,-122.5,-332.5
35:16.0,-46,124,0,35.38,230.82,966,560,-227.5,-280
35:16.1,-46,200,0,35.38,230.7,966,490,-140,-315
35:16.2,-46,158,0,35.38,230.82,966,560,-175,-280
35:16.3,-46,196,0,35.26,230.82,966,35,-262.5,-297.5
35:16.4,-46,205,0,35.26,231.07,966,-315,-227.5,-280
35:16.5,-46,193,0,35.5,230.7,966.12,665,-175,-245
35:16.7,-46,120,0,35.38,230.82,966.12,595,-175,-280
35:16.8,-46,198,0,35.38,230.7,966,315,-157.5,-262.5
35:16.9,-46,199,0,35.62,230.58,966,630,-140,-280
35:17.0,-46,197,0,35.38,230.7,966,385,-140,-262.5
35:17.1,-46,198,0,35.38,230.82,966,385,-280,-297.5
35:17.2,-46,197,0,35.38,230.82,966.12,385,-122.5,-332.5
35:17.3,-46,203,0,35.5,230.82,966.12,490,-140,-367.5
35:17.4,-46,200,0,35.38,230.82,966.24,542.5,-245,-297.5
35:17.5,-46,203,0,35.38,230.7,966.24,402.5,-157.5,-280
35:17.6,-46,259,0,35.38,230.7,966,595,-192.5,-227.5
35:17.7,-46,200,0,35.5,230.7,966.24,595,-210,-297.5
35:17.8,-46,198,0,35.62,230.7,966,472.5,-227.5,-280
35:17.9,-46,192,0,35.62,230.82,966,-332.5,-227.5,-227.5
35:18.0,-46,202,0,35.14,230.82,966.12,665,-140,-245
35:18.1,-46,200,0,35.5,230.82,966.24,385,-157.5,-315
35:18.2,-46,196,0,35.38,230.58,966.24,682.5,-175,-262.5
35:18.3,158,113,534,35.62,230.82,966,472.5,-175,-332.5
35:18.4,160,113,506,35.26,230.82,966.24,507.5,-122.5,-280
35:18.6,163,114,496,35.26,230.82,966.12,577.5,-140,-297.5
35:18.7,165,114,470,35.26,230.82,966.24,577.5,-175,-315
35:18.8,166,116,472,35.38,230.95,966.24,612.5,-192.5,-280
35:18.9,167,117,476,35.14,230.95,966.24,490,-192.5,-367.5
35:19.0,168,118,486,35.38,230.82,966.36,595,-140,-280
35:19.1,168,121,470,35.38,230.82,966,665,-227.5,-210
35:19.2,168,122,0,35.62,230.82,966,542.5,-192.5,-350
35:19.3,168,127,472,35.38,230.82,966,630,-245,-315
35:19.4,168,129,463,35.62,230.82,966,612.5,-192.5,-280
35:19.5,168,132,0,35.99,230.34,966.36,875,-280,-192.5
35:19.6,168,135,461,34.89,230.95,966,1050,-105,-297.5
35:19.7,168,138,469,35.5,230.82,966.24,1417.5,-122.5,-332.5
35:19.8,168,141,464,35.14,230.82,966.12,350,-227.5,-315
35:19.9,168,145,462,35.5,230.82,966.12,577.5,-245,-262.5
35:20.0,167,147,460,35.38,230.82,966.12,437.5,-210,-280
35:20.1,167,150,469,35.38,230.95,966.24,630,-175,-280
35:20.2,167,152,468,35.75,230.95,966,402.5,-210,-262.5
35:20.3,167,154,478,35.26,230.82,966,490,-192.5,-297.5
35:20.4,167,156,504,35.75,230.82,966,735,-175,-332.5
35:20.5,168,158,0,35.14,230.82,966,630,-262.5,-280
35:20.7,168,159,510,35.62,230.95,966,507.5,-192.5,-367.5
35:20.8,168,160,542,35.14,230.58,966,612.5,-157.5,-315
35:20.9,-46,191,0,35.75,230.95,966,402.5,-192.5,-210
35:21.0,-46,195,0,35.38,230.58,966,630,-210,-315
35:21.1,-46,193,0,35.38,230.82,966.24,315,-192.5,-227.5
35:21.2,-46,202,0,35.26,230.82,966.12,490,-175,-245
35:21.3,-46,197,0,35.38,230.95,966.12,472.5,-175,-315
35:21.4,-46,198,0,35.14,230.82,966.24,560,-192.5,-367.5
35:21.5,-46,192,0,35.5,230.95,966.24,455,-140,-262.5
35:21.6,-46,202,0,35.26,230.95,966.24,560,-175,-262.5
35:21.7,-46,263,0,35.62,231.07,966.24,630,-227.5,-280
35:21.8,-46,120,0,35.62,230.95,966.24,595,-227.5,-350
35:21.9,-46,194,0,35.62,231.07,966,3185,-280,-507.5
35:22.0,-46,204,0,35.14,231.31,966,70,-192.5,-332.5
35:22.1,-46,181,0,35.62,231.07,966.24,717.5,-35,-280
35:22.2,-46,258,0,35.14,231.19,966.36,490,-105,-280
35:22.3,-46,197,0,35.26,231.07,966.48,962.5,-52.5,-350
35:22.4,-46,206,0,35.38,231.19,966.24,157.5,-350,-262.5
35:22.6,-46,128,0,35.5,231.31,966.24,752.5,-52.5,-227.5
35:22.7,-46,117,0,35.26,231.07,966.24,875,-52.5,-367.5
35:22.8,-46,196,0,35.38,231.19,966,507.5,-297.5,-385
35:22.9,-46,197,0,35.38,231.07,966.12,647.5,-262.5,-350
35:23.0,-46,124,0,35.5,231.31,966,542.5,-122.5,-367.5
35:23.1,-46,194,0,35.38,231.07,966.12,665,-122.5,-297.5
35:23.2,-46,194,0,35.87,231.31,966,472.5,-227.5,-315
35:23.3,-46,201,0,35.38,231.31,966,542.5,-210,-280
35:23.4,-46,232,0,35.75,231.07,966,577.5,-175,-262.5
35:23.5,-46,194,0,35.26,231.19,965.87,665,-122.5,-332.5
35:23.6,-46,117,0,35.38,231.31,966.24,367.5,-227.5,-280
35:23.7,143,115,500,35.14,231.07,966.24,560,-175,-297.5
35:23.8,144,116,464,35.5,231.31,966,525,-227.5,-350
35:23.9,145,109,0,35.5,231.19,965.87,630,-105,-262.5
35:24.0,145,106,0,35.5,231.31,965.87,507.5,-210,-262.5
35:24.1,145,118,470,35.26,231.19,966,682.5,-227.5,-297.5
