Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 14:46:10.515462,114,103,519,-547.78,560.71,612.56,-6685.00,32515.00,10867.50
2024-03-01 14:46:10.519464,115,102,508,-548.02,573.40,605.36,-12530.00,30502.50,2012.50
2024-03-01 14:46:10.523463,115,99,0,-550.10,587.31,591.70,-14175.00,26582.50,-4585.00
2024-03-01 14:46:10.527462,115,97,0,-548.88,605.61,564.37,-17780.00,16800.00,-14122.50
2024-03-01 14:46:10.536463,116,99,456,-547.05,628.42,519.84,-19022.50,-6020.00,-29015.00
2024-03-01 14:46:10.539462,117,98,439,-548.27,650.50,462.26,-14717.50,-42105.00,-46375.00
2024-03-01 14:46:10.544463,119,97,451,-550.34,664.17,405.53,-3937.50,-85960.00,-60987.50
2024-03-01 14:46:10.552462,120,96,447,-550.83,659.78,396.74,-8015.00,-117250.00,-66482.50
2024-03-01 14:46:10.556469,120,92,0,-546.32,627.57,497.88,-9800.00,-82267.50,-55457.50
2024-03-01 14:46:10.560463,121,94,445,-541.92,575.84,630.74,-14665.00,21175.00,-24972.50
2024-03-01 14:46:10.564462,122,92,0,-544.12,531.55,654.77,1732.50,62352.50,7840.00
2024-03-01 14:46:10.568462,122,91,433,-549.24,516.18,597.68,10342.50,22627.50,23782.50
2024-03-01 14:46:10.576459,122,89,449,-552.17,528.14,570.59,8750.00,-12635.00,17657.50
2024-03-01 14:46:10.580481,121,88,451,-552.54,547.29,594.38,2065.00,-1942.50,542.50
2024-03-01 14:46:10.585460,120,86,0,-553.76,552.29,607.80,2870.00,14822.50,-8627.50
2024-03-01 14:46:10.589460,120,84,451,-555.59,543.63,592.80,11077.50,3692.50,-3097.50
2024-03-01 14:46:10.593460,117,83,0,-556.56,537.90,587.67,11620.00,-6072.50,3517.50
2024-03-01 14:46:10.601459,114,69,0,-558.52,541.68,597.31,7717.50,2205.00,3500.00
2024-03-01 14:46:10.605464,110,80,0,-561.20,549.24,600.00,5197.50,8312.50,-385.00
2024-03-01 14:46:10.613464,107,79,431,-562.66,554.12,597.43,4515.00,6807.50,-4112.50
2024-03-01 14:46:10.618460,103,78,436,-562.66,554.61,598.04,5512.50,7280.00,-6300.00
2024-03-01 14:46:10.621468,100,78,428,-562.42,552.54,597.80,4795.00,7717.50,-6737.50
2024-03-01 14:46:10.629465,96,78,435,-563.15,549.24,595.73,2555.00,5967.50,-5600.00
