Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 13:36:58.151241,145,71,606,-788.73,-452.38,431.64,1925.00,5390.00,10500.00
2024-03-01 13:36:58.164001,144,71,549,-790.07,-462.50,427.24,9817.50,-2520.00,25725.00
2024-03-01 13:36:58.170018,144,70,534,-792.88,-464.58,425.90,10290.00,-5705.00,32672.50
2024-03-01 13:36:58.180564,144,69,519,-797.88,-469.09,423.95,13107.50,-5477.50,36767.50
2024-03-01 13:36:58.187606,143,67,526,-799.95,-468.48,421.39,21927.50,-2625.00,37520.00
2024-03-01 13:36:58.198778,142,65,533,-799.47,-456.52,417.36,27230.00,3482.50,18900.00
2024-03-01 13:36:58.204076,140,64,490,-797.88,-445.91,412.73,35892.50,8225.00,2625.00
2024-03-01 13:36:58.216200,138,62,488,-796.42,-430.42,409.92,36750.00,14297.50,-17132.50
2024-03-01 13:36:58.221341,135,60,535,-796.78,-422.12,412.12,28962.50,15942.50,-34492.50
2024-03-01 13:36:58.234897,132,67,0,-793.24,-429.93,418.70,20965.00,19355.00,-29557.50
2024-03-01 13:36:58.241558,129,56,481,-785.68,-438.47,425.41,11742.50,19390.00,-18392.50
2024-03-01 13:36:58.253733,124,53,486,-778.48,-439.32,432.12,8680.00,18357.50,-9625.00
2024-03-01 13:36:58.258867,120,51,479,-773.36,-436.03,437.37,3412.50,16730.00,-5652.50
2024-03-01 13:36:58.271814,114,48,478,-774.58,-426.39,436.03,-4200.00,10902.50,-3990.00
2024-03-01 13:36:58.278147,110,47,477,-780.31,-416.02,432.73,-13562.50,3202.50,-6405.00
2024-03-01 13:36:58.290348,105,46,474,-784.34,-413.95,429.56,-19880.00,-3710.00,-1295.00
2024-03-01 13:36:58.299275,101,43,0,-786.78,-420.41,426.63,-20475.00,-11602.50,9730.00
2024-03-01 13:36:58.303782,97,42,0,-790.56,-432.73,430.17,-16590.00,-12022.50,24377.50
2024-03-01 13:36:58.315160,95,46,462,-797.76,-443.96,432.73,-8715.00,-5915.00,30852.50
2024-03-01 13:36:58.321281,93,48,0,-805.32,-462.26,426.39,5390.00,-3517.50,39672.50
2024-03-01 13:36:58.332994,92,49,459,-807.64,-472.99,417.73,20317.50,-4095.00,47967.50
2024-03-01 13:36:58.339502,91,51,454,-805.69,-461.89,411.87,28350.00,-927.50,34335.00
2024-03-01 13:36:58.351960,91,55,463,-804.22,-450.18,408.58,33530.00,2957.50,18410.00
2024-03-01 13:36:58.357849,92,58,450,-803.00,-432.86,405.28,35280.00,6020.00,3815.00
2024-03-01 13:36:58.369622,94,62,463,-801.30,-407.11,403.33,30450.00,6177.50,-20265.00
2024-03-01 13:36:58.374937,96,65,468,-797.88,-393.33,412.60,18917.50,8785.00,-34160.00
2024-03-01 13:36:58.388466,98,69,490,-793.73,-390.16,426.27,1032.50,17097.50,-33775.00
2024-03-01 13:36:58.395322,99,72,505,-793.85,-389.18,429.20,-8662.50,15452.50,-29207.50
2024-03-01 13:36:58.407464,102,83,0,-796.42,-389.42,431.15,-8732.50,9660.00,-22400.00
2024-03-01 13:36:58.413976,-46,214,0,-796.90,-388.20,438.35,-10745.00,9432.50,-13440.00
2024-03-01 13:36:58.425316,-46,255,0,-798.86,-391.13,440.05,-16660.00,9940.00,-10692.50
