Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 14:55:06.099112,181,181,519,-613.90,-436.76,666.61,-3710.00,7245.00,2555.00
2024-03-01 14:55:06.103111,182,180,565,-612.68,-439.57,669.29,-2432.50,11795.00,3797.50
2024-03-01 14:55:06.107114,183,180,507,-611.34,-442.49,671.37,-52.50,16765.00,5145.00
2024-03-01 14:55:06.115115,184,180,493,-609.76,-445.30,673.44,1120.00,21157.50,7070.00
2024-03-01 14:55:06.119111,185,180,474,-607.80,-447.98,677.10,1837.50,27335.00,9782.50
2024-03-01 14:55:06.123115,186,179,467,-605.24,-449.33,680.03,4777.50,34265.00,12372.50
2024-03-01 14:55:06.131114,186,177,470,-601.09,-447.62,683.44,8260.00,41387.50,12285.00
2024-03-01 14:55:06.135110,187,176,0,-595.36,-444.08,688.81,6370.00,51572.50,10430.00
2024-03-01 14:55:06.140112,188,177,468,-602.68,-416.87,653.55,-1137.50,45500.00,2082.50
2024-03-01 14:55:06.148114,189,176,489,-616.59,-405.53,635.13,-9082.50,-3097.50,-28017.50
2024-03-01 14:55:06.152116,190,175,484,-621.10,-431.39,657.58,-4235.00,13615.00,-12337.50
2024-03-01 14:55:06.156110,192,173,477,-619.15,-432.49,651.24,-9275.00,9100.00,-5530.00
2024-03-01 14:55:06.161116,192,172,469,-616.10,-418.70,641.48,-26005.00,3045.00,-16905.00
2024-03-01 14:55:06.164114,192,158,0,-614.76,-415.65,638.79,-40092.50,752.50,-20422.50
2024-03-01 14:55:06.172115,192,169,467,-614.88,-413.58,638.79,-67427.50,122.50,-24587.50
2024-03-01 14:55:06.177115,192,160,0,-615.86,-417.12,636.84,-56070.00,-1120.00,-21875.00
2024-03-01 14:55:06.185117,192,165,477,-616.83,-427.00,631.35,-64750.00,-8435.00,-12880.00
2024-03-01 14:55:06.190113,191,174,0,-619.52,-434.93,629.03,-64015.00,-12285.00,-5302.50
2024-03-01 14:55:06.202113,188,160,480,-622.81,-443.71,626.10,-65152.50,-17027.50,4007.50
2024-03-01 14:55:06.210115,186,157,472,-626.84,-455.18,620.00,-64050.00,-24325.00,16695.00
2024-03-01 14:55:06.216117,182,154,476,-631.84,-467.99,613.29,-56105.00,-33652.50,32147.50
2024-03-01 14:55:06.227113,179,151,470,-637.08,-478.61,609.76,-41737.50,-39830.00,46375.00
2024-03-01 14:55:06.234115,174,149,458,-641.72,-484.22,609.27,-25480.00,-41965.00,56070.00
2024-03-01 14:55:06.246111,171,144,0,-646.84,-489.22,613.17,-15190.00,-38010.00,59605.00
2024-03-01 14:55:06.253116,166,144,459,-652.21,-496.54,616.59,-3272.50,-29050.00,61267.50
2024-03-01 14:55:06.265114,161,142,0,-657.21,-503.25,614.88,13842.50,-21735.00,61337.50
