Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 18:18:09.501870,145,10,577,-761.28,513.38,-251.56,-92855.00,-138040.00,32882.50
2024-02-29 18:18:09.513166,145,7,0,-756.52,524.60,-231.31,-82145.00,-126875.00,25882.50
2024-02-29 18:18:09.519935,146,9,0,-752.37,532.04,-198.86,-56455.00,-107275.00,19635.00
2024-02-29 18:18:09.530758,145,8,430,-748.84,536.56,-158.84,-18095.00,-73360.00,15872.50
2024-02-29 18:18:09.537757,145,10,409,-747.49,539.97,-139.32,4672.50,-51065.00,15995.00
2024-02-29 18:18:09.548632,146,8,414,-747.13,542.66,-135.18,12635.00,-47967.50,17535.00
2024-02-29 18:18:09.554256,146,8,0,-744.69,545.58,-119.07,32200.00,-35052.50,18707.50
2024-02-29 18:18:09.567466,147,8,419,-740.42,549.98,-92.72,58590.00,-8785.00,19845.00
2024-02-29 18:18:09.573289,147,7,420,-737.61,560.22,-62.71,85452.50,17850.00,19425.00
2024-02-29 18:18:09.585856,147,7,417,-736.51,579.01,-15.98,133962.50,58835.00,7490.00
2024-02-29 18:18:09.591321,147,7,429,-733.46,598.65,34.40,201722.50,113330.00,-11830.00
2024-02-29 18:18:09.603550,147,7,456,-728.10,616.10,61.61,248535.00,152512.50,-31430.00
2024-02-29 18:18:09.610318,147,8,483,-724.07,628.91,55.02,258755.00,166705.00,-49542.50
2024-02-29 18:18:09.620459,147,8,0,-725.05,636.35,22.45,243810.00,157482.50,-64417.50
2024-02-29 18:18:09.628026,147,8,604,-729.80,636.60,-24.40,214970.00,137270.00,-77437.50
2024-02-29 18:18:09.639956,82,183,-6760,-734.93,627.69,-76.62,174317.50,109200.00,-79310.00
2024-02-29 18:18:09.646464,-46,189,0,-737.49,615.61,-123.22,140647.50,84822.50,-76492.50
2024-02-29 18:18:09.658144,-46,129,0,-738.59,607.44,-167.87,117512.50,62475.00,-71190.00
2024-02-29 18:18:09.665307,-46,190,0,-741.76,606.34,-215.82,89075.00,39515.00,-71382.50
2024-02-29 18:18:09.676251,-46,184,0,-745.66,596.34,-264.98,47005.00,12897.50,-69300.00
2024-02-29 18:18:09.682475,-46,208,0,-749.20,569.13,-307.93,9240.00,-12477.50,-53427.50
2024-02-29 18:18:09.693912,-46,234,0,-755.42,529.85,-351.24,-14735.00,-37082.50,-29120.00
2024-02-29 18:18:09.700724,-46,206,0,-767.75,472.38,-397.23,-25410.00,-66692.50,9432.50
2024-02-29 18:18:09.712202,-46,140,0,-787.75,416.26,-403.82,-30607.50,-81410.00,57715.00
2024-02-29 18:18:09.719481,-46,206,0,-806.91,393.82,-382.96,-31115.00,-57872.50,85487.50
2024-02-29 18:18:09.731083,-46,204,0,-813.98,391.50,-380.88,-35980.00,-57015.00,89162.50
2024-02-29 18:18:09.737374,-46,209,0,-813.74,383.81,-382.10,-47162.50,-64487.50,98875.00
2024-02-29 18:18:09.748548,-46,204,0,-815.94,370.64,-385.15,-59622.50,-66185.00,117057.50
2024-02-29 18:18:09.755974,-46,205,0,-818.13,361.36,-400.65,-75005.00,-80850.00,133507.50
