Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-03-01 14:19:34.096213,152,85,446,-618.78,496.05,-655.02,997.50,5390.00,-30082.50
2024-03-01 14:19:34.100814,151,83,440,-627.69,504.96,-652.82,6457.50,8855.00,-45867.50
2024-03-01 14:19:34.112771,150,82,410,-635.25,506.79,-655.14,8452.50,10692.50,-60812.50
2024-03-01 14:19:34.118925,149,81,416,-639.04,507.15,-657.46,14052.50,12075.00,-71610.00
2024-03-01 14:19:34.129975,148,80,418,-639.77,506.42,-660.51,26285.00,13912.50,-81025.00
2024-03-01 14:19:34.136127,147,79,408,-637.57,497.03,-667.95,38097.50,9100.00,-81567.50
2024-03-01 14:19:34.148644,145,79,391,-632.45,480.19,-672.10,40355.00,2152.50,-68792.50
2024-03-01 14:19:34.155036,143,78,408,-628.06,464.58,-670.88,26897.50,-2170.00,-52412.50
2024-03-01 14:19:34.167263,140,77,397,-626.47,455.18,-667.83,24097.50,-6825.00,-38325.00
2024-03-01 14:19:34.174263,137,78,387,-626.10,447.98,-663.68,20125.00,-12162.50,-23240.00
2024-03-01 14:19:34.186217,133,76,0,-628.06,447.98,-658.56,19425.00,-16852.50,-11235.00
2024-03-01 14:19:34.192840,129,76,399,-632.20,452.86,-658.19,27107.50,-21752.50,-7192.50
2024-03-01 14:19:34.204694,124,76,403,-635.74,453.11,-663.92,31815.00,-31710.00,-1032.50
2024-03-01 14:19:34.211032,120,75,388,-638.06,452.25,-669.05,34055.00,-40932.50,6405.00
2024-03-01 14:19:34.222613,113,74,380,-639.65,453.84,-672.46,38325.00,-48580.00,11620.00
2024-03-01 14:19:34.228715,106,74,384,-640.99,451.16,-679.05,47740.00,-56192.50,16310.00
2024-03-01 14:19:34.240371,100,72,386,-641.72,444.08,-686.37,52867.50,-66167.50,25497.50
2024-03-01 14:19:34.245816,93,72,358,-641.23,437.61,-687.84,52150.00,-70997.50,31640.00
2024-03-01 14:19:34.258479,87,72,368,-638.67,430.17,-681.00,51432.50,-69650.00,35997.50
2024-03-01 14:19:34.265218,81,71,375,-633.06,421.39,-665.39,46777.50,-59920.00,37747.50
2024-03-01 14:19:34.277036,77,72,370,-625.62,407.72,-646.84,39777.50,-45027.50,40845.00
2024-03-01 14:19:34.286315,74,71,357,-618.78,388.94,-631.72,24710.00,-31412.50,49472.50
2024-03-01 14:19:34.290047,70,71,379,-614.51,372.10,-623.05,6072.50,-20930.00,57575.00
2024-03-01 14:19:34.302291,67,71,0,-612.20,363.07,-620.13,-10605.00,-13895.00,60217.50
2024-03-01 14:19:34.309254,65,72,372,-610.37,359.05,-618.17,-23555.00,-7892.50,59290.00
2024-03-01 14:19:34.320366,63,74,0,-607.56,357.58,-614.39,-36627.50,-2450.00,59867.50
2024-03-01 14:19:34.325819,62,75,377,-605.85,366.61,-606.58,-49280.00,4340.00,57890.00
