Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 18:13:00.089406,178,5,676,-587.92,-565.23,585.60,62790.00,13090.00,-38797.50
2024-02-29 18:13:00.095864,178,4,592,-587.43,-570.11,581.57,67690.00,8872.50,-35227.50
2024-02-29 18:13:00.107108,178,2,0,-584.38,-579.99,581.94,82792.50,5932.50,-24447.50
2024-02-29 18:13:00.116199,178,-4,0,-579.26,-586.94,590.36,88112.50,8435.00,-11585.00
2024-02-29 18:13:00.120908,-46,189,0,-574.13,-585.11,604.88,70735.00,17850.00,-4252.50
2024-02-29 18:13:00.131795,-46,146,0,-569.13,-574.86,619.27,30310.00,28752.50,-5950.00
2024-02-29 18:13:00.143939,-46,254,0,-564.13,-565.23,629.03,52.50,35822.50,-10867.50
2024-02-29 18:13:00.151781,-46,275,0,-553.88,-581.94,631.84,108097.50,36680.00,-6125.00
2024-02-29 18:13:00.157072,-46,194,0,-544.97,-605.49,624.52,312655.00,23520.00,21577.50
2024-02-29 18:13:00.169180,-46,199,0,-543.39,-603.66,625.74,160282.50,22190.00,30992.50
2024-02-29 18:13:00.175639,-46,202,0,-543.88,-585.97,631.59,110845.00,30187.50,27825.00
2024-02-29 18:13:00.187099,-46,205,0,-544.24,-565.59,623.30,74480.00,19757.50,15715.00
2024-02-29 18:13:00.193961,-46,198,0,-540.09,-557.78,616.10,82180.00,3360.00,11672.50
2024-02-29 18:13:00.206534,-46,203,0,-531.92,-558.88,620.00,94115.00,-420.00,20142.50
2024-02-29 18:13:00.212428,-46,117,0,-524.72,-555.34,626.23,63770.00,2467.50,27195.00
2024-02-29 18:13:00.223772,-46,179,0,-522.40,-545.58,627.81,45832.50,-892.50,26407.50
2024-02-29 18:13:00.229900,-46,203,0,-523.87,-534.12,629.76,51940.00,-7035.00,22225.00
2024-02-29 18:13:00.241058,-46,199,0,-525.21,-522.16,636.60,44992.50,-7910.00,18095.00
2024-02-29 18:13:00.247927,-46,127,0,-524.97,-509.47,646.60,23292.50,-1837.50,14665.00
2024-02-29 18:13:00.259107,-46,214,0,-526.43,-498.74,654.90,-1155.00,6107.50,11567.50
2024-02-29 18:13:00.264203,-46,203,0,-533.63,-489.59,659.29,-5215.00,8225.00,8365.00
