Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:19:44.505884,153,75,691,-693.45,-78.08,709.43,-15610.00,19057.50,-5635.00
2024-02-29 16:19:44.510437,153,72,0,-693.45,-79.54,710.04,-16100.00,20860.00,-5075.00
2024-02-29 16:19:44.514232,153,74,0,-693.20,-80.52,711.02,-17062.50,23450.00,-4287.50
2024-02-29 16:19:44.518839,153,75,601,-692.72,-81.37,712.11,-19635.00,26355.00,-3990.00
2024-02-29 16:19:44.526499,154,75,640,-692.11,-82.11,712.97,-21437.50,30012.50,-4445.00
2024-02-29 16:19:44.531055,154,76,620,-692.11,-82.23,714.07,-23485.00,34947.50,-5985.00
2024-02-29 16:19:44.535014,155,77,625,-703.33,-76.13,684.91,-13090.00,27335.00,-10587.50
2024-02-29 16:19:44.543476,156,79,548,-718.70,-75.76,664.78,-3640.00,-5617.50,-20720.00
2024-02-29 16:19:44.547189,157,83,0,-726.63,-94.92,676.00,5442.50,3237.50,-13055.00
2024-02-29 16:19:44.551399,158,83,515,-732.49,-105.41,673.81,8872.50,5215.00,-3412.50
2024-02-29 16:19:44.555537,159,85,0,-736.88,-102.48,665.51,9520.00,6422.50,-11637.50
2024-02-29 16:19:44.563310,161,88,534,-741.64,-106.63,657.70,11095.00,6247.50,-15837.50
2024-02-29 16:19:44.567533,163,94,0,-747.25,-113.46,654.90,17622.50,8067.50,-17115.00
2024-02-29 16:19:44.575799,164,94,0,-751.76,-118.34,655.26,23222.50,11620.00,-19565.00
2024-02-29 16:19:44.579752,166,96,0,-753.59,-123.34,655.26,27352.50,13912.50,-21070.00
2024-02-29 16:19:44.587710,168,101,546,-752.98,-128.59,653.80,38097.50,14017.50,-20300.00
2024-02-29 16:19:44.594301,169,102,509,-750.30,-131.03,651.97,43522.50,12495.00,-18725.00
2024-02-29 16:19:44.605323,170,104,534,-746.03,-128.34,650.50,39585.00,9677.50,-18200.00
2024-02-29 16:19:44.612130,172,106,540,-741.64,-126.15,651.48,31220.00,6737.50,-16275.00
2024-02-29 16:19:44.624777,173,111,0,-737.37,-126.03,654.53,23940.00,4462.50,-9485.00
2024-02-29 16:19:44.630079,174,108,566,-733.22,-123.34,658.19,16590.00,2520.00,-3850.00
2024-02-29 16:19:44.641865,175,110,0,-729.07,-116.63,661.73,7647.50,192.50,455.00
2024-02-29 16:19:44.647410,175,112,525,-725.17,-108.58,663.92,1505.00,-245.00,-1680.00
2024-02-29 16:19:44.658864,175,97,0,-722.24,-107.73,664.66,-2940.00,-2957.50,1645.00
2024-02-29 16:19:44.665217,175,111,517,-720.65,-112.24,664.41,-6475.00,-5827.50,10762.50
