Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 14:46:12.260257,143,153,512,-688.08,-211.18,-698.82,7245.00,5442.50,22242.50
2024-02-29 14:46:12.267211,141,153,573,-688.45,-217.04,-692.23,2940.00,11427.50,33810.00
2024-02-29 14:46:12.278850,139,153,0,-687.10,-213.13,-691.13,-3097.50,13090.00,34265.00
2024-02-29 14:46:12.285993,-46,191,0,-685.64,-203.25,-692.84,-9817.50,13002.50,25987.50
2024-02-29 14:46:12.296257,-46,185,0,-685.15,-193.13,-697.23,-12810.00,10272.50,12985.00
2024-02-29 14:46:12.303572,-46,,446,-685.40,-191.66,-701.01,-9170.00,5932.50,1365.00
2024-02-29 14:46:12.312886,152,153,448,-686.62,-193.37,-704.55,-10727.50,3815.00,752.50
2024-02-29 14:46:12.319893,151,153,0,-688.81,-187.51,-711.99,-2485.00,-2030.00,-4987.50
2024-02-29 14:46:12.330401,149,152,465,-691.62,-185.20,-717.48,3885.00,-8225.00,-9905.00
2024-02-29 14:46:12.342202,147,151,0,-694.79,-188.73,-718.70,6072.50,-11252.50,-6440.00
2024-02-29 14:46:12.349468,145,153,0,-696.38,-186.66,-719.31,4707.50,-12705.00,-5652.50
2024-02-29 14:46:12.359709,143,153,512,-696.38,-181.54,-719.31,4287.50,-12740.00,-7000.00
2024-02-29 14:46:12.367046,141,153,573,-696.38,-176.29,-719.31,4077.50,-11917.50,-7052.50
2024-02-29 14:46:12.377149,139,153,0,-696.86,-171.29,-720.04,6912.50,-11830.00,-7087.50
2024-02-29 14:46:12.384459,-46,191,0,-697.47,-166.90,-719.07,9765.00,-11392.50,-5722.50
2024-02-29 14:46:12.394691,-46,185,0,-696.86,-169.34,-714.68,12110.00,-9975.00,-4147.50
2024-02-29 14:46:12.401867,-46,1926,-696.62,-181.54,-704.92,13265.00,-3465.00,6457.50
2024-02-29 14:46:12.412217,152,153,448,-698.94,-191.17,-695.28,6440.00,3080.00,18287.50
2024-02-29 14:46:12.418736,151,153,0,-701.62,-192.52,-691.37,420.00,4445.00,21052.50
2024-02-29 14:46:12.429734,149,152,465,-702.11,-190.93,-690.28,-7297.50,4672.50,18777.50
2024-02-29 14:46:12.440508,147,151,0,-700.04,-189.71,-689.91,-9555.00,5337.50,14542.50
