Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:18:52.611564,165,66,707,-714.92,486.05,478.24,6090.00,-4060.00,-10097.50
2024-02-29 16:18:52.616042,164,67,667,-713.82,487.02,479.83,6510.00,-3622.50,-11410.00
2024-02-29 16:18:52.624882,163,66,587,-713.21,488.49,480.92,5967.50,-3150.00,-12652.50
2024-02-29 16:18:52.628124,161,66,548,-712.48,490.44,481.90,3780.00,-2590.00,-13825.00
2024-02-29 16:18:52.630995,159,65,548,-711.38,492.88,483.85,1400.00,-875.00,-15505.00
2024-02-29 16:18:52.641137,157,65,519,-710.28,493.98,486.66,-245.00,2607.50,-17027.50
2024-02-29 16:18:52.644699,154,65,538,-711.38,489.83,486.90,-332.50,7297.50,-15522.50
2024-02-29 16:18:52.648800,151,65,0,-716.26,482.75,481.29,5040.00,3797.50,-6825.00
2024-02-29 16:18:52.653184,148,66,521,-722.61,478.61,478.24,5460.00,-595.00,-350.00
2024-02-29 16:18:52.656816,143,66,0,-727.24,475.56,480.44,4147.50,3010.00,2047.50
2024-02-29 16:18:52.665427,139,67,511,-730.54,469.82,484.34,5162.50,8610.00,5285.00
2024-02-29 16:18:52.669687,135,67,503,-734.68,462.38,492.15,9607.50,19320.00,12232.50
2024-02-29 16:18:52.673471,130,68,488,-739.81,458.11,501.54,15312.50,34247.50,19232.50
2024-02-29 16:18:52.677622,125,69,463,-744.69,456.40,508.62,21700.00,46725.00,22505.00
2024-02-29 16:18:52.685475,119,70,489,-748.23,454.82,513.62,29767.50,57942.50,25690.00
2024-02-29 16:18:52.690244,115,71,506,-750.42,453.84,516.06,36242.50,67952.50,28192.50
2024-02-29 16:18:52.694479,110,72,498,-751.76,454.08,514.84,41475.00,74270.00,29662.50
2024-02-29 16:18:52.698149,105,73,491,-752.50,455.06,513.50,42717.50,79572.50,30327.50
2024-02-29 16:18:52.702151,100,74,0,-752.37,456.52,512.28,44957.50,85575.00,31237.50
2024-02-29 16:18:52.713586,94,75,0,-751.28,460.43,508.25,47075.00,91262.50,31360.00
2024-02-29 16:18:52.719093,88,77,0,-750.54,467.87,497.27,47547.50,90702.50,27737.50
2024-02-29 16:18:52.732554,84,78,492,-751.03,477.14,480.19,49385.00,81515.00,19495.00
2024-02-29 16:18:52.737617,80,81,485,-752.25,484.22,459.70,52850.00,68215.00,9905.00
2024-02-29 16:18:52.750316,76,82,0,-752.86,488.98,441.40,53620.00,54320.00,3080.00
2024-02-29 16:18:52.755931,74,84,478,-752.13,492.64,427.37,52132.50,43785.00,-1155.00
2024-02-29 16:18:52.767678,71,86,492,-750.91,495.32,414.68,49910.00,33477.50,-3850.00
2024-02-29 16:18:52.775062,68,88,468,-749.81,496.91,403.21,44957.50,25077.50,-5075.00
2024-02-29 16:18:52.786845,66,90,477,-749.32,498.49,392.72,39847.50,15417.50,-6177.50
2024-02-29 16:18:52.792143,63,96,0,-749.08,501.42,382.35,34597.50,5845.00,-7910.00
2024-02-29 16:18:52.804388,62,94,475,-748.59,505.93,369.66,27772.50,-5792.50,-10570.00
2024-02-29 16:18:52.810287,61,111,0,-747.62,510.69,357.22,22470.00,-18130.00,-13562.50
2024-02-29 16:18:52.822376,60,98,485,-746.40,514.60,348.43,20580.00,-27790.00,-15855.00
2024-02-29 16:18:52.828793,60,102,0,-745.42,517.89,341.97,22330.00,-34895.00,-17237.50
2024-02-29 16:18:52.841412,60,101,485,-744.81,522.16,338.92,25025.00,-40460.00,-19005.00
2024-02-29 16:18:52.849483,60,103,475,-744.44,525.82,337.94,24955.00,-42822.50,-20370.00
2024-02-29 16:18:52.854436,61,108,0,-744.32,527.16,342.21,22522.50,-40022.50,-19740.00
2024-02-29 16:18:52.864409,62,107,471,-744.08,526.67,349.90,17622.50,-29050.00,-15820.00
2024-02-29 16:18:52.876800,64,108,528,-743.71,525.58,353.31,15312.50,-23100.00,-11742.50
2024-02-29 16:18:52.883474,66,110,460,-744.32,524.60,355.26,15242.50,-18217.50,-8522.50
2024-02-29 16:18:52.894586,68,113,0,-746.15,525.21,356.48,13965.00,-12757.50,-6422.50
2024-02-29 16:18:52.900570,70,112,491,-748.47,527.04,357.09,11970.00,-6702.50,-5110.00
2024-02-29 16:18:52.911597,73,113,0,-750.54,528.99,357.58,10867.50,35.00,-3955.00
2024-02-29 16:18:52.916046,76,114,0,-752.50,530.58,355.26,11427.50,4970.00,-2555.00
2024-02-29 16:18:52.928276,80,115,485,-755.30,530.82,356.00,13335.00,10255.00,-1067.50
2024-02-29 16:18:52.940131,82,116,0,-758.11,529.85,362.71,15067.50,23940.00,2607.50
2024-02-29 16:18:52.945851,86,117,0,-759.69,529.85,366.24,15750.00,35595.00,6317.50
2024-02-29 16:18:52.957392,88,118,0,-759.94,531.19,363.68,14735.00,41037.50,7735.00
