Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 14:27:19.934575,173,60,491,-768.97,-635.62,-89.55,-61775.00,13842.50,11182.50
2024-02-29 14:27:19.942716,173,58,483,-764.94,-640.74,-78.81,-81690.00,24657.50,14140.00
2024-02-29 14:27:19.946797,173,57,476,-763.60,-642.09,-76.37,-79992.50,30992.50,13142.50
2024-02-29 14:27:19.950888,173,56,480,-764.09,-639.65,-81.13,-81707.50,32637.50,9012.50
2024-02-29 14:27:19.954999,173,55,477,-767.87,-634.89,-89.18,-59867.50,32585.00,4252.50
2024-02-29 14:27:19.963144,172,53,489,-772.63,-628.06,-98.58,-67270.00,28297.50,945.00
2024-02-29 14:27:19.967425,169,53,501,-771.53,-623.42,-108.58,-65205.00,24850.00,-2205.00
2024-02-29 14:27:19.971394,167,52,520,-764.33,-623.79,-120.41,-63665.00,19145.00,1960.00
2024-02-29 14:27:19.979562,162,51,578,-751.89,-629.64,-130.78,-130305.00,10552.50,15627.50
2024-02-29 14:27:19.983695,154,77,0,-757.74,-627.69,-131.15,-162557.50,6230.00,30432.50
2024-02-29 14:27:19.987857,-46,132,0,-774.94,-615.00,-126.39,39515.00,16397.50,-3692.50
2024-02-29 14:27:19.991848,-46,203,0,-780.56,-616.71,-142.25,90545.00,10850.00,-10832.50
2024-02-29 14:27:19.995949,-46,202,0,-785.07,-620.49,-176.78,110670.00,-10815.00,-8697.50
2024-02-29 14:27:20.000060,-46,201,0,-791.29,-624.03,-201.18,112315.00,-35472.50,-8855.00
2024-02-29 14:27:20.008203,108,47,890,-797.39,-640.87,-219.36,193725.00,-65537.50,-2135.00
2024-02-29 14:27:20.012317,97,45,538,-799.71,-658.19,-242.17,268327.50,-108430.00,6405.00
2024-02-29 14:27:20.020467,89,45,536,-798.25,-674.17,-255.22,333340.00,-147840.00,19827.50
2024-02-29 14:27:20.024680,82,46,524,-793.49,-686.74,-250.59,381535.00,-168175.00,39847.50
2024-02-29 14:27:20.028755,78,46,503,-787.39,-683.08,-227.65,378297.50,-165445.00,57417.50
2024-02-29 14:27:20.036924,74,46,509,-783.48,-657.95,-177.63,242130.00,-129255.00,60375.00
2024-02-29 14:27:20.043362,73,47,506,-783.00,-627.08,-109.56,66097.50,-71050.00,48457.50
2024-02-29 14:27:20.052002,72,47,509,-785.07,-605.24,-52.22,-42192.50,-16275.00,35385.00
2024-02-29 14:27:20.058217,72,48,516,-788.36,-594.14,-23.42,-111825.00,20562.50,27562.50
