Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 15:15:43.688215,155,89,556,-721.14,-353.80,592.68,-2415.00,9397.50,-157.50
2024-02-29 15:15:43.692390,155,89,0,-720.04,-353.43,594.99,-2117.50,12040.00,-1382.50
2024-02-29 15:15:43.700627,156,89,505,-718.58,-354.29,597.80,-2170.00,15330.00,-1085.00
2024-02-29 15:15:43.704630,156,88,494,-716.87,-355.14,600.12,-2310.00,17867.50,-175.00
2024-02-29 15:15:43.708818,156,88,480,-714.92,-356.24,602.68,-3657.50,20457.50,1295.00
2024-02-29 15:15:43.716977,156,89,472,-716.75,-353.19,600.61,-2450.00,20580.00,1190.00
2024-02-29 15:15:43.720946,156,80,0,-723.22,-346.60,595.60,4007.50,13982.50,-6492.50
2024-02-29 15:15:43.725156,156,89,452,-728.71,-346.24,592.55,9782.50,13037.50,-9170.00
2024-02-29 15:15:43.729257,157,88,0,-731.39,-350.14,588.89,10815.00,12687.50,-6002.50
2024-02-29 15:15:43.737398,157,84,0,-732.61,-350.26,585.11,5530.00,11812.50,-5075.00
2024-02-29 15:15:43.741553,156,88,0,-733.95,-348.43,582.43,2625.00,11077.50,-5635.00
2024-02-29 15:15:43.745619,156,88,450,-736.15,-348.31,579.87,332.50,9957.50,-5372.50
2024-02-29 15:15:43.749733,156,89,0,-737.61,-349.04,576.45,-87.50,8645.00,-4672.50
2024-02-29 15:15:43.757893,156,89,446,-738.59,-350.14,572.30,455.00,7157.50,-4410.00
2024-02-29 15:15:43.763046,156,87,0,-739.32,-351.12,568.40,857.50,5337.50,-4025.00
2024-02-29 15:15:43.769436,156,89,444,-740.05,-351.73,566.08,3027.50,4270.00,-3745.00
2024-02-29 15:15:43.781331,156,89,0,-740.54,-351.85,565.23,5127.50,3867.50,-3815.00
2024-02-29 15:15:43.789985,156,89,441,-741.03,-351.60,564.62,3342.50,3535.00,-4252.50
2024-02-29 15:15:43.794617,156,90,441,-741.52,-352.21,563.64,1907.50,3220.00,-4532.50
2024-02-29 15:15:43.806182,156,88,0,-742.00,-353.92,560.96,1732.50,2082.50,-4112.50
2024-02-29 15:15:43.812504,156,89,440,-742.61,-355.26,556.56,-525.00,-175.00,-3290.00
2024-02-29 15:15:43.824389,156,88,0,-743.96,-356.36,552.42,-7297.50,-2992.50,-3325.00
2024-02-29 15:15:43.831339,156,89,433,-746.15,-360.75,547.54,-11480.00,-5180.00,-770.00
2024-02-29 15:15:43.842738,156,89,440,-748.59,-367.46,540.58,-12232.50,-9362.50,3955.00
2024-02-29 15:15:43.850151,156,89,444,-751.03,-375.52,533.14,-10885.00,-14717.50,10587.50
2024-02-29 15:15:43.861305,156,88,0,-754.45,-378.69,525.58,-8855.00,-20527.50,16957.50
2024-02-29 15:15:43.868633,156,89,478,-759.57,-372.71,520.57,-3902.50,-28245.00,14332.50
2024-02-29 15:15:43.879849,156,89,0,-765.92,-360.39,516.67,4882.50,-36680.00,6037.50
2024-02-29 15:15:43.886882,156,89,0,-771.65,-351.73,515.08,14280.00,-44152.50,-3447.50
2024-02-29 15:15:43.897401,-46,122,0,-771.28,-353.07,519.72,19320.00,-44362.50,-3290.00
2024-02-29 15:15:43.904473,-46,242,0,-764.57,-355.75,527.77,16502.50,-39410.00,-87.50
2024-02-29 15:15:43.914858,-46,191,0,-753.35,-357.58,539.12,11060.00,-30870.00,1557.50
2024-02-29 15:15:43.921710,-46,185,0,-740.42,-361.12,553.76,4970.00,-19442.50,5600.00
2024-02-29 15:15:43.932383,-46,268,0,-728.34,-364.05,569.74,-6265.00,-7210.00,9992.50
2024-02-29 15:15:43.939329,-46,193,0,-718.46,-365.51,583.65,-12215.00,3290.00,12495.00
2024-02-29 15:15:43.950085,-46,197,0,-710.77,-367.22,594.63,-16625.00,9905.00,14227.50
2024-02-29 15:15:43.961839,-46,202,0,-704.31,-369.05,604.39,-18637.50,15067.50,16292.50
2024-02-29 15:15:43.970445,-46,200,0,-698.82,-370.39,614.15,-20055.00,21297.50,18742.50
2024-02-29 15:15:43.976205,-46,219,0,-693.94,-370.51,623.42,-23730.00,29610.00,20020.00
2024-02-29 15:15:43.987100,-46,110,0,-692.84,-367.22,626.47,-26845.00,38307.50,20090.00
2024-02-29 15:15:43.994246,-46,199,0,-705.89,-347.82,613.42,-9537.50,23625.00,4567.50
2024-02-29 15:15:44.005681,-46,195,0,-723.83,-340.62,601.46,-682.50,12075.00,-10535.00
2024-02-29 15:15:44.012643,-46,199,0,-732.85,-349.53,595.85,8575.00,14105.00,-1750.00
2024-02-29 15:15:44.024155,-46,200,0,-735.66,-347.09,583.89,4725.00,11795.00,-2030.00
2024-02-29 15:15:44.030772,-46,197,0,-737.00,-341.36,574.62,-192.50,7367.50,-4847.50
2024-02-29 15:15:44.042548,-46,202,0,-741.03,-340.62,573.28,-4690.00,7052.50,-5460.00
2024-02-29 15:15:44.049016,-46,119,0,-746.27,-346.60,573.40,-2922.50,8260.00,770.00
2024-02-29 15:15:44.060822,-46,199,0,-749.69,-353.07,570.23,-3710.00,6650.00,8225.00
2024-02-29 15:15:44.067464,-46,199,0,-750.42,-357.22,566.81,-2572.50,4427.50,14892.50
2024-02-29 15:15:44.079282,-46,226,0,-749.32,-355.51,564.62,-4515.00,2030.00,15855.00
2024-02-29 15:15:44.087873,-46,200,0,-748.23,-352.70,563.27,-3762.50,962.50,13422.50
2024-02-29 15:15:44.092595,-46,198,0,-747.37,-355.63,560.83,577.50,-1137.50,15452.50
2024-02-29 15:15:44.104174,-46,204,0,-745.66,-358.07,558.03,4830.00,-4515.00,19162.50
2024-02-29 15:15:44.110958,-46,201,0,-743.47,-359.17,556.44,6737.50,-7385.00,19232.50
2024-02-29 15:15:44.122630,-46,138,0,-741.27,-359.66,556.32,10657.50,-9152.50,20457.50
2024-02-29 15:15:44.129724,-46,133,0,-739.08,-358.31,557.05,12530.00,-9572.50,17500.00
2024-02-29 15:15:44.139525,-46,115,0,-736.88,-360.02,556.81,13825.00,-10920.00,17955.00
2024-02-29 15:15:44.151252,137,91,0,-734.32,-362.83,555.83,12845.00,-14000.00,19967.50
2024-02-29 15:15:44.158418,137,90,0,-731.51,-363.93,554.61,7490.00,-17832.50,22435.00
2024-02-29 15:15:44.168844,137,90,514,-729.32,-359.53,554.98,-612.50,-20055.00,20422.50
2024-02-29 15:15:44.176178,138,90,507,-728.10,-353.56,555.95,-12180.00,-20020.00,14140.00
2024-02-29 15:15:44.186463,138,81,0,-727.61,-350.02,556.20,-27090.00,-19915.00,9012.50
2024-02-29 15:15:44.193729,137,89,485,-727.61,-345.75,555.47,-44415.00,-19372.50,3045.00
2024-02-29 15:15:44.205010,137,89,474,-728.22,-342.09,554.25,-47057.50,-19320.00,-3062.50
2024-02-29 15:15:44.212718,138,89,0,-730.90,-339.28,555.59,-43890.00,-17202.50,-8172.50
2024-02-29 15:15:44.222630,137,89,466,-736.39,-335.50,559.00,-35892.50,-11025.00,-14367.50
2024-02-29 15:15:44.230341,137,89,0,-744.08,-334.04,561.57,-20597.50,-3692.50,-19005.00
2024-02-29 15:15:44.241229,137,90,455,-752.50,-333.43,562.30,-7455.00,2572.50,-20440.00
2024-02-29 15:15:44.248374,136,90,475,-760.79,-335.26,561.08,-3815.00,6422.50,-19285.00
2024-02-29 15:15:44.259787,135,91,465,-768.36,-338.92,555.83,2992.50,6352.50,-12635.00
2024-02-29 15:15:44.266383,134,93,468,-775.19,-337.70,550.22,5880.00,367.50,-11357.50
2024-02-29 15:15:44.278221,132,93,451,-783.73,-332.33,541.68,10080.00,-7175.00,-14035.00
