Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 14:31:04.463336,110,56,504,-756.40,522.89,406.50,9292.50,31955.00,10605.00
2024-02-29 14:31:04.468142,111,56,502,-760.43,523.62,410.90,11830.00,42892.50,11427.50
2024-02-29 14:31:04.478519,111,67,0,-763.72,527.65,407.85,5337.50,45325.00,8172.50
2024-02-29 14:31:04.489759,112,56,507,-763.96,529.97,405.04,4042.50,47687.50,6125.00
2024-02-29 14:31:04.494169,112,57,505,-762.62,530.21,399.67,2660.00,45395.00,5057.50
2024-02-29 14:31:04.508195,113,57,503,-761.40,529.48,390.64,3185.00,39410.00,3832.50
2024-02-29 14:31:04.512535,112,58,506,-760.55,529.11,382.23,4077.50,32130.00,2187.50
2024-02-29 14:31:04.526650,112,58,0,-759.82,529.48,373.93,1785.00,25077.50,315.00
2024-02-29 14:31:04.533112,112,58,519,-759.33,529.85,366.24,-1155.00,16957.50,-1470.00
2024-02-29 14:31:04.544983,112,60,520,-759.45,529.72,363.56,-140.00,12320.00,-2887.50
2024-02-29 14:31:04.551353,112,60,509,-759.45,529.85,361.73,2467.50,9537.50,-4025.00
2024-02-29 14:31:04.563320,111,60,501,-759.82,531.80,355.39,1890.00,3447.50,-6247.50
2024-02-29 14:31:04.571954,110,60,504,-760.79,535.82,345.50,-1190.00,-5670.00,-10832.50
2024-02-29 14:31:04.576843,109,60,0,-764.21,535.58,330.50,315.00,-18847.50,-13247.50
2024-02-29 14:31:04.588232,107,58,0,-770.55,530.82,314.03,3692.50,-35210.00,-10237.50
2024-02-29 14:31:04.595295,105,61,539,-778.12,521.06,303.17,17535.00,-47477.50,-2555.00
2024-02-29 14:31:04.605764,103,61,507,-785.56,513.13,302.68,27107.50,-51432.50,8102.50
2024-02-29 14:31:04.612640,100,62,505,-790.07,513.38,312.32,25375.00,-43767.50,11165.00
2024-02-29 14:31:04.623580,97,62,486,-791.17,514.96,324.52,21770.00,-32550.00,11865.00
2024-02-29 14:31:04.634410,94,62,509,-789.22,517.65,333.06,20055.00,-25357.50,9590.00
2024-02-29 14:31:04.641111,91,62,507,-784.70,520.45,340.38,17202.50,-21000.00,4900.00
2024-02-29 14:31:04.651991,90,59,0,-777.51,519.35,351.97,13982.50,-13790.00,892.50
2024-02-29 14:31:04.658516,87,62,0,-764.09,527.41,357.46,18182.50,-6790.00,-2712.50
2024-02-29 14:31:04.669419,85,59,0,-747.13,539.48,352.09,14665.00,-10167.50,-16782.50
2024-02-29 14:31:04.676643,83,62,519,-732.00,546.07,353.07,4462.50,-11357.50,-23450.00
2024-02-29 14:31:04.687252,81,59,0,-718.09,552.17,364.78,-1890.00,-2135.00,-30345.00
2024-02-29 14:31:04.697911,80,53,0,-706.01,556.93,376.74,-892.50,9870.00,-33897.50
2024-02-29 14:31:04.704841,77,60,495,-696.62,564.13,381.98,-3167.50,17797.50,-38657.50
2024-02-29 14:31:04.715523,76,60,512,-692.23,571.20,380.64,-11567.50,19845.00,-43312.50
2024-02-29 14:31:04.722708,75,60,532,-710.28,541.44,355.02,-1610.00,11742.50,-34195.00
2024-02-29 14:31:04.733176,74,58,540,-736.39,530.21,328.91,5722.50,-24080.00,4637.50
2024-02-29 14:31:04.739942,74,59,511,-745.05,552.54,343.80,-4690.00,-18917.50,-8067.50
2024-02-29 14:31:04.750609,73,58,497,-746.15,551.44,366.24,10920.00,-1837.50,-10517.50
2024-02-29 14:31:04.757248,73,57,509,-744.20,543.51,364.54,10937.50,542.50,-6510.00
2024-02-29 14:31:04.767897,73,57,503,-741.03,531.80,357.22,11812.50,-5442.50,3132.50
2024-02-29 14:31:04.778962,73,57,511,-739.93,525.82,357.58,17307.50,-4952.50,11025.00
2024-02-29 14:31:04.785684,74,56,498,-742.49,528.50,357.34,12722.50,-2520.00,11847.50
