Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 15:04:15.524768,119,70,722,-740.54,94.67,678.08,595.00,14227.50,32515.00
2024-02-29 15:04:15.529090,119,67,0,-741.03,82.47,685.40,11060.00,23135.00,52027.50
2024-02-29 15:04:15.543100,119,84,0,-738.34,73.69,690.28,13457.50,28700.00,67182.50
2024-02-29 15:04:15.549545,120,69,0,-735.42,68.56,692.59,11182.50,32340.00,78960.00
2024-02-29 15:04:15.560508,120,69,0,-732.73,65.88,691.98,15592.50,34807.50,85995.00
2024-02-29 15:04:15.567071,121,69,496,-730.05,69.54,687.10,21560.00,34212.50,86957.50
2024-02-29 15:04:15.579052,121,69,491,-728.83,84.67,677.10,19110.00,28945.00,74760.00
2024-02-29 15:04:15.585700,121,69,452,-729.68,103.46,665.88,18287.50,20650.00,53760.00
2024-02-29 15:04:15.596618,121,70,477,-731.51,117.12,658.43,25025.00,14315.00,35070.00
2024-02-29 15:04:15.603481,121,67,0,-733.59,126.39,655.63,31727.50,10517.50,21315.00
2024-02-29 15:04:15.614223,121,69,472,-735.42,135.54,655.87,35157.50,9695.00,11165.00
2024-02-29 15:04:15.620657,121,69,471,-737.25,148.84,654.41,32322.50,8260.00,-1960.00
2024-02-29 15:04:15.631792,121,67,0,-738.34,166.77,646.11,33967.50,2292.50,-21350.00
2024-02-29 15:04:15.642760,121,69,459,-740.05,184.59,634.77,40880.00,-8242.50,-44467.50
2024-02-29 15:04:15.649943,120,69,468,-742.98,199.35,626.47,49227.50,-15522.50,-65765.00
2024-02-29 15:04:15.660450,119,69,475,-744.81,214.96,618.05,58940.00,-22137.50,-86030.00
2024-02-29 15:04:15.667907,118,70,0,-746.27,223.38,613.42,62387.50,-27685.00,-102270.00
2024-02-29 15:04:15.679223,115,71,477,-746.40,212.40,621.47,64295.00,-21210.00,-93240.00
2024-02-29 15:04:15.686307,112,71,473,-743.59,195.69,633.06,51082.50,-9012.50,-64085.00
2024-02-29 15:04:15.697729,109,73,0,-739.44,183.12,640.26,29522.50,-647.50,-36627.50
2024-02-29 15:04:15.704205,105,71,479,-734.68,174.09,642.45,7350.00,5057.50,-9520.00
2024-02-29 15:04:15.716097,100,70,474,-730.54,161.77,647.82,-5915.00,8715.00,12442.50
2024-02-29 15:04:15.724706,95,69,0,-727.61,146.89,658.19,-5285.00,19477.50,40390.00
2024-02-29 15:04:15.729626,90,71,476,-725.41,138.84,665.51,-8540.00,26477.50,58782.50
2024-02-29 15:04:15.740194,84,71,476,-722.73,134.57,671.24,-8732.50,34247.50,74865.00
2024-02-29 15:04:15.752273,80,66,0,-720.04,139.20,669.54,-8855.00,36505.00,81095.00
2024-02-29 15:04:15.760865,76,70,474,-719.68,149.08,661.48,-2975.00,32112.50,74480.00
2024-02-29 15:04:15.765700,71,73,0,-722.61,159.45,651.72,6457.50,26477.50,61565.00
2024-02-29 15:04:15.776382,67,70,464,-727.12,173.85,639.40,13755.00,19040.00,43277.50
2024-02-29 15:04:15.787374,64,70,0,-731.27,186.17,628.79,13930.00,9327.50,21910.00
2024-02-29 15:04:15.793775,62,68,0,-733.83,188.49,628.06,17570.00,5162.50,11952.50
2024-02-29 15:04:15.804864,60,74,0,-735.66,188.37,633.42,23800.00,7542.50,10202.50
2024-02-29 15:04:15.809244,59,72,448,-737.98,201.79,629.64,26845.00,6562.50,647.50
2024-02-29 15:04:15.822332,59,74,446,-741.15,227.53,614.39,24517.50,-5215.00,-25795.00
2024-02-29 15:04:15.829480,59,74,446,-744.57,248.39,600.24,28175.00,-18410.00,-54075.00
2024-02-29 15:04:15.840909,59,74,442,-747.49,258.64,591.58,35857.50,-26460.00,-74182.50
2024-02-29 15:04:15.848257,60,75,445,-751.28,267.67,583.89,41055.00,-33110.00,-90177.50
2024-02-29 15:04:15.858562,61,77,435,-756.16,274.26,583.77,43732.50,-33932.50,-102270.00
2024-02-29 15:04:15.866024,64,78,439,-758.47,268.77,597.92,41895.00,-21770.00,-97772.50
2024-02-29 15:04:15.876277,67,81,436,-754.94,252.78,609.76,38745.00,-8155.00,-76440.00
2024-02-29 15:04:15.883233,72,84,0,-747.74,236.44,612.20,20947.50,-4445.00,-49542.50
2024-02-29 15:04:15.893867,76,84,455,-741.76,223.50,613.78,7910.00,-2170.00,-28612.50
2024-02-29 15:04:15.904767,81,87,454,-736.88,215.57,612.81,35.00,-1872.50,-13072.50
2024-02-29 15:04:15.911201,87,89,0,-733.71,215.21,611.22,-4007.50,-3412.50,-5337.50
2024-02-29 15:04:15.923134,93,92,450,-732.73,218.99,611.34,-6527.50,-4742.50,-4707.50
2024-02-29 15:04:15.929832,100,94,438,-733.71,220.94,613.66,-8050.00,-4060.00,-6790.00
2024-02-29 15:04:15.941500,107,98,0,-735.42,218.62,616.10,-6230.00,-2415.00,-6737.50
2024-02-29 15:04:15.948235,111,101,450,-736.76,214.35,616.59,-3937.50,-1610.00,-5302.50
2024-02-29 15:04:15.959874,116,103,0,-737.86,210.21,615.73,-2870.00,-1750.00,-3745.00
2024-02-29 15:04:15.966676,118,106,441,-739.08,207.28,614.76,-2957.50,-2065.00,-2397.50
2024-02-29 15:04:15.978260,120,108,443,-740.30,205.20,615.00,-2922.50,-1907.50,-1557.50
2024-02-29 15:04:15.986883,120,110,436,-741.52,203.01,615.98,-1015.00,-1295.00,-927.50
2024-02-29 15:04:15.990980,120,111,437,-742.37,200.32,616.71,892.50,-770.00,245.00
2024-02-29 15:04:16.002848,119,112,441,-743.10,198.74,616.59,1802.50,-560.00,1225.00
2024-02-29 15:04:16.008775,117,112,0,-743.96,198.62,616.22,717.50,-700.00,1452.50
2024-02-29 15:04:16.021020,113,112,444,-744.69,199.35,615.73,-490.00,-542.50,1190.00
2024-02-29 15:04:16.027179,110,112,445,-745.66,201.54,614.15,-2625.00,-1032.50,402.50
2024-02-29 15:04:16.038204,105,111,434,-746.88,203.01,614.15,-5075.00,-1172.50,-787.50
2024-02-29 15:04:16.050086,102,111,448,-748.23,199.59,617.44,-6842.50,1942.50,2642.50
2024-02-29 15:04:16.054467,96,110,0,-749.57,194.35,620.49,-9292.50,6055.00,9730.00
2024-02-29 15:04:16.068466,91,109,430,-750.42,187.15,624.76,-10132.50,10955.00,19810.00
2024-02-29 15:04:16.076989,86,108,429,-750.79,179.71,630.01,-10377.50,17412.50,32760.00
2024-02-29 15:04:16.082486,81,107,426,-750.54,173.73,634.64,-11305.00,23082.50,44012.50
