Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-26 17:29:58.701462,140,56,532,-702.72,-727.85,-88.21,39970.00,-43645.00,16992.50
2024-02-26 17:29:58.707462,138,56,523,-697.84,-720.65,-73.20,25742.50,-27965.00,11182.50
2024-02-26 17:29:58.719466,134,59,0,-694.42,-715.77,-62.71,16222.50,-15820.00,6160.00
2024-02-26 17:29:58.725464,131,57,493,-692.47,-714.07,-58.19,11462.50,-10517.50,3290.00
2024-02-26 17:29:58.737461,126,58,0,-691.01,-713.46,-56.00,10832.50,-7245.00,1190.00
2024-02-26 17:29:58.743463,120,60,467,-691.74,-714.92,-56.85,15645.00,-6300.00,175.00
2024-02-26 17:29:58.755463,115,61,463,-693.20,-713.33,-48.43,19845.00,-2117.50,595.00
2024-02-26 17:29:58.760461,109,63,450,-693.20,-704.92,-23.67,8837.50,24080.00,-4392.50
2024-02-26 17:29:58.773462,104,62,0,-692.72,-697.60,-4.88,-7437.50,52622.50,-9730.00
2024-02-26 17:29:58.779464,99,66,453,-692.11,-694.42,0.24,-20615.00,66482.50,-12425.00
2024-02-26 17:29:58.791462,94,67,471,-692.47,-694.79,1.59,-33845.00,71365.00,-12425.00
2024-02-26 17:29:58.798462,90,68,468,-695.64,-698.08,-1.22,-53760.00,70402.50,-8890.00
2024-02-26 17:29:58.810464,86,69,0,-700.04,-702.96,-14.40,-48002.50,54845.00,-3990.00
2024-02-26 17:29:58.816463,83,67,0,-702.96,-707.84,-29.04,-24272.50,32497.50,-490.00
2024-02-26 17:29:58.828463,81,71,452,-704.18,-709.67,-32.21,-16135.00,21752.50,665.00
2024-02-26 17:29:58.834462,80,71,451,-704.55,-711.14,-32.94,-11725.00,15190.00,630.00
2024-02-26 17:29:58.846462,78,72,454,-704.55,-713.21,-30.99,-1207.50,5005.00,875.00
2024-02-26 17:29:58.851463,77,73,462,-707.11,-716.14,-27.33,-4462.50,2730.00,1960.00
2024-02-26 17:29:58.863465,76,73,457,-712.97,-722.24,-41.11,7315.00,-14542.50,6790.00
2024-02-26 17:29:58.869463,76,74,0,-717.36,-728.22,-60.63,36260.00,-44940.00,11935.00
2024-02-26 17:29:58.880465,76,74,0,-719.07,-730.78,-66.86,57312.50,-60357.50,15365.00
2024-02-26 17:29:58.887270,76,73,444,-720.04,-734.20,-74.42,64260.00,-67777.50,19477.50
2024-02-26 17:29:58.899273,76,74,455,-717.36,-732.24,-75.15,70367.50,-74182.50,22067.50
2024-02-26 17:29:58.905274,76,74,454,-713.09,-723.09,-58.32,52255.00,-57242.50,16887.50
2024-02-26 17:29:58.917845,77,74,456,-711.87,-714.31,-41.97,34282.50,-35945.00,12600.00
2024-02-26 17:29:58.923690,78,63,0,-711.99,-707.72,-34.16,21752.50,-19740.00,8417.50
2024-02-26 17:29:58.936554,81,75,449,-712.60,-703.82,-33.06,19722.50,-11445.00,6037.50
2024-02-26 17:29:58.942553,85,76,456,-712.97,-700.40,-29.65,19582.50,-4042.50,3902.50
2024-02-26 17:29:58.954555,89,77,445,-713.70,-694.06,-11.96,10062.50,14262.50,402.50
2024-02-26 17:29:58.960554,94,77,435,-714.43,-686.62,14.15,-10132.50,47897.50,-4515.00
2024-02-26 17:29:58.973554,100,78,445,-714.68,-683.44,26.35,-24885.00,72187.50,-7105.00
2024-02-26 17:29:58.979555,106,79,452,-715.29,-685.15,27.08,-31902.50,77997.50,-6055.00
2024-02-26 17:29:58.991553,111,80,480,-716.75,-688.57,29.16,-56612.50,80307.50,-1645.00
2024-02-26 17:29:59.000559,114,80,0,-717.36,-691.74,25.01,-82512.50,77402.50,2835.00
2024-02-26 17:29:59.004565,117,82,460,-716.26,-693.57,8.30,-63770.00,57872.50,3815.00
2024-02-26 17:29:59.014556,120,83,449,-714.43,-695.40,-8.66,-39917.50,33355.00,2590.00
2024-02-26 17:29:59.027557,122,83,443,-711.99,-697.60,-14.27,-30240.00,20370.00,1487.50
2024-02-26 17:29:59.033554,124,84,446,-709.80,-700.52,-12.44,-14892.50,9590.00,87.50
2024-02-26 17:29:59.045555,126,85,442,-709.43,-704.18,-6.10,-15540.00,7595.00,192.50
2024-02-26 17:29:59.051552,127,85,430,-711.63,-711.02,-23.30,-2065.00,-9030.00,2205.00
2024-02-26 17:29:59.063555,127,85,429,-712.72,-717.73,-54.05,32917.50,-48282.50,4585.00
2024-02-26 17:29:59.069553,127,85,429,-711.50,-719.07,-58.68,48370.00,-65327.50,5600.00
2024-02-26 17:29:59.081551,127,86,434,-713.46,-718.95,-55.51,47582.50,-65415.00,6475.00
2024-02-26 17:29:59.087553,127,86,429,-714.92,-720.53,-63.20,54320.00,-72660.00,11060.00
2024-02-26 17:29:59.100552,126,87,433,-712.85,-718.21,-67.59,66220.00,-77175.00,11200.00
2024-02-26 17:29:59.106556,123,87,441,-712.60,-710.53,-59.66,57347.50,-68302.50,8750.00
2024-02-26 17:29:59.118554,120,87,435,-715.53,-702.96,-48.43,38010.00,-50960.00,6440.00
2024-02-26 17:29:59.127555,115,87,437,-719.56,-694.30,-33.92,26215.00,-33320.00,4515.00
2024-02-26 17:29:59.131553,110,88,443,-721.63,-688.08,-24.52,16712.50,-15837.50,980.00
2024-02-26 17:29:59.143554,105,88,452,-723.70,-687.84,-24.77,16992.50,-10045.00,1102.50
2024-02-26 17:29:59.148554,102,88,443,-726.63,-685.27,-12.81,8067.50,315.00,1610.00
2024-02-26 17:29:59.161552,96,89,0,-729.80,-680.27,11.83,-12512.50,26950.00,-315.00
2024-02-26 17:29:59.167553,91,78,0,-731.76,-678.08,27.33,-32357.50,50767.50,-840.00
2024-02-26 17:29:59.180553,88,90,432,-731.51,-677.10,30.38,-36015.00,60585.00,-927.50
2024-02-26 17:29:59.186555,84,90,442,-731.76,-675.88,34.04,-44135.00,68407.50,-682.50
2024-02-26 17:29:59.198554,83,89,434,-733.71,-674.42,40.26,-65590.00,80097.50,1242.50
2024-02-26 17:29:59.204554,81,91,432,-735.54,-672.95,42.58,-94185.00,89005.00,4270.00
2024-02-26 17:29:59.217553,81,92,0,-735.54,-671.49,32.45,-102742.50,86992.50,6055.00
2024-02-26 17:29:59.222555,80,92,433,-734.32,-672.22,8.91,-73237.50,64295.00,5600.00
2024-02-26 17:29:59.235556,80,93,437,-731.15,-674.90,-12.93,-36837.50,38132.50,3482.50
2024-02-26 17:29:59.241556,80,94,431,-727.12,-680.15,-22.57,-5197.50,19390.00,1347.50
2024-02-26 17:29:59.254555,81,95,431,-723.22,-687.23,-20.25,6825.00,9800.00,1190.00
2024-02-26 17:29:59.260556,83,96,420,-720.53,-694.91,-10.00,437.50,8732.50,1295.00
2024-02-26 17:29:59.272554,87,97,438,-719.68,-703.57,-21.84,5425.00,-1697.50,3535.00
2024-02-26 17:29:59.280554,91,100,401,-718.46,-710.28,-48.80,37712.50,-37100.00,4147.50
