Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:38:36.477491,139,81,649,-715.16,210.33,647.58,-4112.50,-1260.00,-6370.00
2024-02-29 16:38:36.481701,140,77,0,-714.43,208.86,648.43,-4532.50,-490.00,-6072.50
2024-02-29 16:38:36.486134,140,79,523,-714.55,207.40,648.43,-4200.00,-1120.00,-5530.00
2024-02-29 16:38:36.493229,140,80,539,-714.92,206.18,648.67,-3115.00,-2117.50,-5145.00
2024-02-29 16:38:36.497357,139,96,0,-715.16,205.45,648.92,-2467.50,-2852.50,-5215.00
2024-02-29 16:38:36.501548,137,81,0,-715.29,205.45,648.43,-2030.00,-4480.00,-6125.00
2024-02-29 16:38:36.505943,135,83,490,-715.04,206.06,648.43,-2205.00,-6247.50,-7525.00
2024-02-29 16:38:36.514279,131,85,443,-713.46,208.01,648.31,-3080.00,-7455.00,-9992.50
2024-02-29 16:38:36.518325,127,88,465,-710.28,209.47,648.43,-3325.00,-10115.00,-12582.50
2024-02-29 16:38:36.522561,122,91,457,-705.53,209.47,649.77,-3570.00,-10727.50,-13597.50
2024-02-29 16:38:36.526453,118,92,0,-699.18,210.82,652.82,-4637.50,-10062.50,-15557.50
2024-02-29 16:38:36.534999,113,97,447,-692.96,213.99,657.58,-4882.50,-7000.00,-18882.50
2024-02-29 16:38:36.539166,109,100,435,-687.35,218.26,662.46,-6317.50,-2922.50,-23292.50
2024-02-29 16:38:36.542670,105,104,396,-683.93,223.14,669.41,-11690.00,4882.50,-26932.50
2024-02-29 16:38:36.546995,102,107,409,-683.57,228.38,677.95,-17675.00,17080.00,-29820.00
2024-02-29 16:38:36.555266,98,112,430,-695.52,227.29,654.41,-8855.00,19215.00,-30782.50
2024-02-29 16:38:36.559487,94,116,400,-716.63,227.16,636.60,3797.50,-16765.00,-28980.00
2024-02-29 16:38:36.562881,92,118,437,-733.34,224.85,649.53,3990.00,-3955.00,-28647.50
2024-02-29 16:38:36.567578,88,122,439,-748.59,203.98,661.73,13877.50,9590.00,-19127.50
2024-02-29 16:38:36.571915,84,128,0,-764.33,173.97,674.29,45027.50,32515.00,140.00
2024-02-29 16:38:36.579900,80,129,462,-777.51,145.79,685.27,73482.50,49542.50,20440.00
2024-02-29 16:38:36.584131,77,132,0,-786.41,123.95,696.25,95882.50,67235.00,37642.50
2024-02-29 16:38:36.591669,73,135,0,-788.61,110.53,695.77,108780.00,78172.50,48195.00
2024-02-29 16:38:36.596382,72,136,514,-783.48,103.94,681.98,121590.00,75722.50,51292.50
2024-02-29 16:38:36.599909,70,140,536,-779.46,103.94,671.73,112560.00,67970.00,49612.50
2024-02-29 16:38:36.602595,69,140,0,-774.46,110.04,663.68,94570.00,67392.50,49332.50
2024-02-29 16:38:36.608210,68,156,0,-767.01,118.46,655.87,90230.00,60812.50,50400.00
2024-02-29 16:38:36.612694,67,142,0,-760.79,132.98,648.06,59972.50,57260.00,48247.50
2024-02-29 16:38:36.620706,-46,204,0,-752.25,154.82,631.96,42472.50,45815.00,39987.50
2024-02-29 16:38:36.624994,-46,195,0,-744.69,179.95,616.10,28612.50,31780.00,28437.50
2024-02-29 16:38:36.629401,-46,200,0,-737.86,205.08,603.90,16660.00,18935.00,16590.00
2024-02-29 16:38:36.637159,-46,198,0,-731.88,229.73,592.07,4217.50,5705.00,3465.00
2024-02-29 16:38:36.641662,-46,136,0,-728.71,251.81,575.84,-385.00,-10552.50,-9992.50
2024-02-29 16:38:36.646999,-46,198,0,-726.39,269.38,561.44,-6230.00,-30677.50,-22837.50
2024-02-29 16:38:36.656180,-46,140,0,-722.97,279.38,550.95,-7000.00,-46952.50,-33757.50
2024-02-29 16:38:36.661393,-46,203,0,-719.19,281.45,543.88,-367.50,-65415.00,-39112.50
2024-02-29 16:38:36.671332,-46,110,0,-713.58,281.70,544.49,3552.50,-76002.50,-41475.00
2024-02-29 16:38:36.684074,-46,180,0,-706.26,285.97,550.83,3150.00,-78907.50,-48125.00
2024-02-29 16:38:36.692328,-46,199,0,-699.30,292.07,562.42,-7157.50,-73710.00,-59062.50
2024-02-29 16:38:36.697526,-46,117,0,-693.81,294.51,576.82,-19285.00,-59762.50,-67620.00
2024-02-29 16:38:36.708500,-46,196,0,-690.28,291.21,588.53,-31885.00,-47477.50,-73535.00
2024-02-29 16:38:36.715821,-46,116,0,-690.76,276.94,605.85,-26652.50,-32252.50,-69685.00
2024-02-29 16:38:36.726998,-46,212,0,-696.38,254.86,626.47,-11497.50,-7787.50,-52377.50
2024-02-29 16:38:36.733267,-46,198,0,-711.02,232.04,624.64,10570.00,787.50,-28857.50
2024-02-29 16:38:36.746369,-46,194,0,-728.34,213.99,622.69,21665.00,-4725.00,-3815.00
2024-02-29 16:38:36.751921,-46,197,0,-737.12,209.11,626.84,22540.00,6440.00,12005.00
2024-02-29 16:38:36.764189,-46,199,0,-740.05,204.96,624.03,16800.00,9747.50,20860.00
2024-02-29 16:38:36.770320,-46,115,0,-741.76,193.00,630.50,17062.50,22137.50,43977.50
2024-02-29 16:38:36.781346,-46,110,0,-742.37,186.90,641.60,14262.50,37642.50,69807.50
2024-02-29 16:38:36.787274,148,137,0,-739.81,198.37,644.04,11077.50,48370.00,81182.50
2024-02-29 16:38:36.798338,147,111,0,-735.29,220.82,636.60,9030.00,46672.50,75617.50
2024-02-29 16:38:36.804360,147,131,593,-731.76,238.27,630.01,7035.00,44765.00,69825.00
2024-02-29 16:38:36.815927,147,130,0,-730.05,250.10,625.01,-2922.50,43015.00,66990.00
