Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:32:39.856884,141,8,488,-532.65,-109.07,-794.10,-107100.00,16712.50,-6825.00
2024-02-29 16:32:39.864035,141,8,488,-511.79,-125.17,-795.56,-163450.00,3920.00,2905.00
2024-02-29 16:32:39.874698,140,20,0,-495.81,-142.01,-797.64,-165357.50,-5215.00,12320.00
2024-02-29 16:32:39.885109,138,8,0,-483.36,-156.04,-806.91,-180477.50,-18200.00,22470.00
2024-02-29 16:32:39.892713,136,8,543,-474.09,-161.77,-819.35,-181755.00,-32637.50,27125.00
2024-02-29 16:32:39.904724,-46,186,0,-468.97,-155.43,-827.40,-164185.00,-42787.50,22487.50
2024-02-29 16:32:39.913092,-46,189,0,-467.26,-139.08,-829.60,-133385.00,-46007.50,10325.00
2024-02-29 16:32:39.918360,-46,192,0,-466.65,-117.61,-829.48,-98280.00,-45500.00,-4882.50
2024-02-29 16:32:39.928517,-46,200,0,-464.94,-99.80,-825.45,-144777.50,-38500.00,-20737.50
2024-02-29 16:32:39.940806,-46,228,0,-462.50,-93.94,-816.91,-206745.00,-27370.00,-28227.50
2024-02-29 16:32:39.949571,-46,204,0,-460.43,-98.09,-808.62,-254642.50,-14910.00,-25462.50
2024-02-29 16:32:39.955044,-46,200,0,-460.06,-104.68,-805.69,-289730.00,-5477.50,-16257.50
2024-02-29 16:32:39.966065,-46,113,0,-456.65,-103.58,-813.62,-330190.00,-6965.00,-10570.00
2024-02-29 16:32:39.973883,-46,204,0,-451.89,-94.31,-829.97,-353535.00,-16555.00,-12022.50
2024-02-29 16:32:39.984691,-46,204,0,-450.30,-84.18,-844.85,-296782.50,-26757.50,-9432.50
2024-02-29 16:32:39.991675,-46,106,0,-452.13,-71.00,-852.78,-209825.00,-32357.50,-6650.00
2024-02-29 16:32:40.002552,-46,203,0,-458.11,-52.95,-853.02,-141085.00,-32742.50,-6335.00
2024-02-29 16:32:40.009433,-46,205,0,-466.77,-35.87,-847.41,-83527.50,-28402.50,-4287.50
2024-02-29 16:32:40.018412,-46,206,0,-484.71,-21.11,-838.14,-32532.50,-19862.50,-175.00
2024-02-29 16:32:40.030079,-46,201,0,-504.59,-8.05,-827.40,7052.50,-8960.00,735.00
2024-02-29 16:32:40.035876,-46,203,0,-510.08,7.56,-818.86,79730.00,-385.00,3622.50
2024-02-29 16:32:40.049170,-46,205,0,-510.94,27.21,-815.45,75215.00,6055.00,4900.00
2024-02-29 16:32:40.053378,-46,225,0,-515.08,43.43,-815.94,45202.50,6510.00,3710.00
2024-02-29 16:32:40.065917,-46,213,0,-518.01,54.53,-818.74,42087.50,3447.50,4147.50
2024-02-29 16:32:40.071849,-46,202,0,-520.09,65.39,-823.13,25322.50,-3955.00,5197.50
2024-02-29 16:32:40.082860,-46,206,0,-525.09,80.89,-826.67,32567.50,-13580.00,4777.50
2024-02-29 16:32:40.089389,-46,204,0,-531.19,101.02,-828.01,87675.00,-19897.50,-2397.50
2024-02-29 16:32:40.102263,-46,202,0,-534.12,122.00,-832.53,180897.50,-25777.50,-10692.50
2024-02-29 16:32:40.108316,-46,203,0,-542.78,143.35,-843.51,204960.00,-36715.00,-19967.50
2024-02-29 16:32:40.120519,-46,206,0,-554.61,161.04,-855.83,195580.00,-46917.50,-31167.50
2024-02-29 16:32:40.127190,-46,204,0,-564.86,174.95,-864.49,225207.50,-52185.00,-41177.50
2024-02-29 16:32:40.138615,-46,202,0,-573.40,185.56,-868.40,233187.50,-55142.50,-51152.50
2024-02-29 16:32:40.145001,-46,136,0,-576.08,188.61,-868.27,236967.50,-55807.50,-56175.00
2024-02-29 16:32:40.155990,-46,197,0,-574.62,185.07,-864.13,209807.50,-53410.00,-56630.00
2024-02-29 16:32:40.163368,-46,203,0,-570.59,180.32,-854.85,183190.00,-44205.00,-61617.50
2024-02-29 16:32:40.175236,-46,205,0,-564.74,175.19,-843.39,167387.50,-33005.00,-72502.50
2024-02-29 16:32:40.181925,-46,213,0,-557.54,166.41,-834.85,138827.50,-22627.50,-82460.00
2024-02-29 16:32:40.193963,-46,231,0,-549.49,150.55,-831.55,107030.00,-15715.00,-88235.00
2024-02-29 16:32:40.201965,-46,202,0,-541.68,127.37,-832.53,85680.00,-12670.00,-89302.50
2024-02-29 16:32:40.206091,-46,199,0,-535.09,100.28,-835.21,61687.50,-12652.50,-85260.00
2024-02-29 16:32:40.218918,-46,203,0,-528.63,73.32,-838.14,32077.50,-15155.00,-78592.50
2024-02-29 16:32:40.224986,-46,237,0,-519.84,48.07,-841.31,13230.00,-19880.00,-71890.00
2024-02-29 16:32:40.236953,-46,204,0,-509.23,23.18,-843.87,-7105.00,-25987.50,-64750.00
2024-02-29 16:32:40.243290,-46,199,0,-499.71,-3.66,-844.85,-28262.50,-32357.50,-55387.50
2024-02-29 16:32:40.255523,-46,205,0,-493.61,-34.77,-843.75,-51152.50,-37432.50,-40407.50
2024-02-29 16:32:40.262773,-46,203,0,-493.49,-70.03,-840.34,-71260.00,-40232.50,-17692.50
2024-02-29 16:32:40.272997,-46,203,0,-500.20,-103.46,-833.63,-76020.00,-38885.00,8820.00
2024-02-29 16:32:40.279340,-46,202,0,-510.33,-123.22,-822.04,-72502.50,-31780.00,28717.50
2024-02-29 16:32:40.291332,-46,204,0,-520.82,-122.00,-805.69,-65415.00,-20527.50,32655.00
2024-02-29 16:32:40.298420,-46,206,0,-530.82,-104.68,-789.10,-54162.50,-8085.00,22260.00
2024-02-29 16:32:40.309602,-46,204,0,-539.12,-82.96,-777.75,-42560.00,2030.00,5862.50
2024-02-29 16:32:40.316160,-46,203,0,-545.71,-67.59,-774.94,-33862.50,6282.50,-7017.50
2024-02-29 16:32:40.328091,-46,204,0,-552.17,-62.71,-779.70,-17237.50,5127.50,-13667.50
2024-02-29 16:32:40.334297,-46,203,0,-558.52,-65.27,-787.02,2625.00,1697.50,-16782.50
2024-02-29 16:32:40.346217,-46,146,0,-563.52,-72.35,-791.66,11882.50,-140.00,-18480.00
2024-02-29 16:32:40.352872,-46,199,0,-566.08,-82.96,-792.27,16782.50,210.00,-18252.50
2024-02-29 16:32:40.365429,-46,206,0,-567.06,-96.38,-789.95,20405.00,2712.50,-15277.50
2024-02-29 16:32:40.371592,-46,205,0,-567.79,-114.07,-786.17,22557.50,5075.00,-9712.50
2024-02-29 16:32:40.383496,-46,200,0,-572.18,-134.93,-782.39,11760.00,6597.50,927.50
2024-02-29 16:32:40.392256,-46,202,0,-577.79,-150.43,-782.87,-9450.00,5792.50,12670.00
2024-02-29 16:32:40.395927,-46,142,0,-582.55,-156.77,-788.12,-15592.50,2047.50,20965.00
2024-02-29 16:32:40.406956,-46,204,0,-587.80,-157.38,-792.76,-13860.00,-1855.00,25952.50
2024-02-29 16:32:40.419987,-46,206,0,-590.60,-155.92,-792.88,-9030.00,-2747.50,29050.00
2024-02-29 16:32:40.428313,-46,202,0,-592.92,-152.74,-788.61,-11882.50,-857.50,31237.50
2024-02-29 16:32:40.432460,-46,204,0,-595.85,-144.45,-785.44,-17500.00,612.50,30537.50
2024-02-29 16:32:40.442555,-46,205,0,-599.63,-131.52,-788.00,-17815.00,-927.50,25760.00
2024-02-29 16:32:40.454994,-46,204,0,-605.36,-118.83,-795.93,-12530.00,-6580.00,19075.00
2024-02-29 16:32:40.458878,-46,200,0,-611.71,-109.56,-803.86,-980.00,-11935.00,13020.00
2024-02-29 16:32:40.472188,-46,206,0,-617.81,-103.09,-805.08,8435.00,-12512.50,9205.00
2024-02-29 16:32:40.478463,-46,202,0,-623.42,-97.97,-798.37,20002.50,-7385.00,6702.50
2024-02-29 16:32:40.488304,-46,204,0,-627.32,-92.96,-788.12,34177.50,1277.50,4812.50
2024-02-29 16:32:40.500818,-46,203,0,-628.54,-89.18,-780.31,45150.00,8522.50,4340.00
2024-02-29 16:32:40.505801,-46,181,0,-626.84,-89.18,-778.12,47705.00,11165.00,5547.50
2024-02-29 16:32:40.519021,-46,207,0,-622.20,-94.55,-781.65,40390.00,8750.00,8032.50
2024-02-29 16:32:40.525824,-46,204,0,-616.59,-103.33,-789.22,24377.50,2817.50,11112.50
2024-02-29 16:32:40.532322,-46,132,0,-611.83,-111.87,-797.51,9765.00,-4445.00,13037.50
2024-02-29 16:32:40.542844,-46,297,0,-608.17,-118.10,-802.76,-472.50,-10045.00,14052.50
2024-02-29 16:32:40.554753,-46,204,0,-605.85,-122.24,-804.71,-8277.50,-13930.00,14980.00
2024-02-29 16:32:40.563222,-46,123,0,-604.63,-125.54,-806.66,-12565.00,-18200.00,17727.50
2024-02-29 16:32:40.568488,-46,183,0,-602.92,-128.71,-812.28,-14682.50,-25987.50,22575.00
2024-02-29 16:32:40.579959,-46,206,0,-603.78,-132.13,-810.32,-17430.00,-35840.00,29452.50
