Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-08 17:07:34.096717,176,59,604,-77.84,179.95,974.29,-35.00,-245.00,-280.00
2024-02-08 17:07:34.199338,177,55,0,-79.91,180.19,974.29,472.50,-210.00,-245.00
2024-02-08 17:07:34.302399,179,55,458,-77.84,180.68,973.68,-3587.50,-157.50,-280.00
2024-02-08 17:07:34.407393,179,56,485,-79.18,179.71,973.80,927.50,-192.50,-280.00
2024-02-08 17:07:34.514326,179,56,487,-78.20,180.32,973.44,-140.00,-192.50,-367.50
2024-02-08 17:07:34.620770,180,58,488,-78.69,179.83,973.68,787.50,-175.00,-245.00
2024-02-08 17:07:34.718161,180,60,490,-78.57,180.32,973.68,17.50,-140.00,-315.00
2024-02-08 17:07:34.828763,180,60,491,-78.81,180.19,973.68,595.00,-105.00,-262.50
2024-02-08 17:07:34.938293,180,62,465,-78.57,180.19,973.80,280.00,-192.50,-262.50
2024-02-08 17:07:35.045162,180,64,457,-79.18,179.71,975.02,560.00,-595.00,-157.50
2024-02-08 17:07:35.149999,180,65,449,-78.57,181.05,973.68,-1575.00,-157.50,-315.00
2024-02-08 17:07:35.255251,180,68,395,-78.69,181.05,974.05,805.00,-140.00,-280.00
2024-02-08 17:07:35.351789,181,70,403,-78.57,181.05,974.05,892.50,-175.00,-280.00
2024-02-08 17:07:35.457205,181,71,0,-78.81,181.29,973.56,-157.50,-227.50,-315.00
2024-02-08 17:07:35.568533,181,72,0,-78.57,181.05,973.32,-157.50,-245.00,-280.00
2024-02-08 17:07:35.676809,182,74,407,-79.06,181.41,973.56,-1522.50,-140.00,-315.00
2024-02-08 17:07:35.778610,182,76,417,-78.57,181.05,973.68,752.50,-210.00,-367.50
2024-02-08 17:07:35.886655,182,77,445,-78.93,181.05,973.44,122.50,-210.00,-245.00
2024-02-08 17:07:35.991392,182,78,431,-78.32,181.29,973.80,367.50,-227.50,-280.00
2024-02-08 17:07:36.097023,182,81,389,-79.06,180.80,974.29,927.50,-175.00,-262.50
2024-02-08 17:07:36.202013,181,94,0,-78.45,180.80,974.05,1190.00,-122.50,-297.50
2024-02-08 17:07:36.294890,181,83,381,-78.69,181.05,973.80,-507.50,-122.50,-315.00
2024-02-08 17:07:36.413067,180,84,380,-78.20,180.68,973.68,1312.50,-157.50,-280.00
2024-02-08 17:07:36.517905,179,85,375,-78.81,180.93,973.80,280.00,-175.00,-315.00
2024-02-08 17:07:36.623061,177,86,363,-78.32,181.05,973.56,-1120.00,-315.00,-297.50
2024-02-08 17:07:36.727653,175,87,359,-78.69,181.05,973.80,-997.50,-157.50,-297.50
2024-02-08 17:07:36.833627,173,88,344,-79.06,180.19,973.80,2485.00,-105.00,-227.50
2024-02-08 17:07:36.939058,171,88,348,-78.45,180.93,973.44,-630.00,-245.00,-280.00
2024-02-08 17:07:37.044600,167,88,350,-79.06,180.44,973.93,857.50,-140.00,-245.00
2024-02-08 17:07:37.149002,164,87,347,-78.08,180.56,974.05,1365.00,-227.50,-297.50
2024-02-08 17:07:37.252088,160,88,352,-79.18,180.80,973.93,-105.00,-140.00,-332.50
2024-02-08 17:07:37.359855,157,88,0,-77.96,180.32,974.29,1190.00,-245.00,-245.00
2024-02-08 17:07:37.464083,153,88,393,-79.30,180.80,973.80,-105.00,-245.00,-262.50
2024-02-08 17:07:37.569623,147,88,423,-77.59,180.56,974.05,910.00,-140.00,-280.00
2024-02-08 17:07:37.673273,143,87,451,-79.06,180.68,973.80,927.50,-140.00,-297.50
2024-02-08 17:07:37.771961,139,87,428,-77.84,180.68,974.05,175.00,-192.50,-280.00
2024-02-08 17:07:37.885323,134,84,0,-79.18,180.56,973.80,1872.50,-87.50,-245.00
2024-02-08 17:07:37.991083,129,87,449,-78.20,180.80,973.93,-455.00,-175.00,-262.50
2024-02-08 17:07:38.095592,123,85,447,-78.81,180.32,974.05,1102.50,-210.00,-332.50
2024-02-08 17:07:38.201384,119,85,443,-78.32,180.80,974.17,437.50,-122.50,-315.00
2024-02-08 17:07:38.305833,113,85,436,-78.69,180.80,974.17,-105.00,-175.00,-297.50
2024-02-08 17:07:38.411195,108,84,449,-78.69,180.56,973.80,927.50,-140.00,-210.00
2024-02-08 17:07:38.516513,105,84,429,-78.57,180.80,973.68,122.50,-227.50,-297.50
2024-02-08 17:07:38.622039,102,92,0,-78.08,180.56,973.80,665.00,-192.50,-245.00
2024-02-08 17:07:38.726799,100,85,417,-78.69,180.68,973.80,560.00,-210.00,-315.00
2024-02-08 17:07:38.832265,99,85,448,-78.57,180.44,973.93,227.50,-192.50,-245.00
2024-02-08 17:07:38.932732,98,85,452,-78.57,180.80,973.93,437.50,-262.50,-315.00
2024-02-08 17:07:39.043079,97,84,452,-78.08,180.68,974.17,332.50,-210.00,-332.50
2024-02-08 17:07:39.148122,98,84,463,-78.57,180.56,974.29,822.50,-175.00,-315.00
2024-02-08 17:07:39.253566,97,87,0,-78.32,180.68,974.05,822.50,-175.00,-280.00
2024-02-08 17:07:39.343374,97,85,450,-78.81,180.93,973.80,455.00,-157.50,-280.00
