Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-08 15:14:26.797128,167,43,667,-211.55,427.73,-881.08,542.50,-175.00,-280.00
2024-02-08 15:14:26.907463,167,43,517,-211.55,427.73,-880.84,507.50,-210.00,-315.00
2024-02-08 15:14:27.016917,166,43,500,-211.55,427.73,-880.84,560.00,-192.50,-297.50
2024-02-08 15:14:27.108443,165,43,473,-211.55,427.85,-880.84,490.00,-140.00,-332.50
2024-02-08 15:14:27.225100,166,42,476,-211.43,427.98,-880.60,507.50,-140.00,-315.00
2024-02-08 15:14:27.319820,166,44,465,-211.55,427.61,-880.72,542.50,-140.00,-315.00
2024-02-08 15:14:27.434271,166,42,455,-211.43,427.85,-880.72,577.50,-210.00,-262.50
2024-02-08 15:14:27.542959,166,43,443,-211.43,427.61,-881.08,437.50,-210.00,-402.50
2024-02-08 15:14:27.647413,166,43,440,-211.55,427.73,-880.84,542.50,-87.50,-350.00
2024-02-08 15:14:27.739632,166,42,432,-211.55,427.73,-880.84,507.50,-175.00,-280.00
2024-02-08 15:14:27.857134,166,43,427,-211.43,427.73,-880.84,525.00,-105.00,-367.50
2024-02-08 15:14:27.948658,166,43,418,-211.55,427.73,-880.84,490.00,-210.00,-332.50
2024-02-08 15:14:28.068887,167,43,422,-211.67,427.98,-880.96,560.00,-210.00,-332.50
2024-02-08 15:14:28.169079,167,44,420,-211.55,427.73,-880.84,455.00,-227.50,-332.50
2024-02-08 15:14:28.275686,167,44,413,-211.55,427.85,-880.84,542.50,-245.00,-367.50
2024-02-08 15:14:28.384932,167,44,405,-211.55,427.85,-880.96,612.50,-157.50,-297.50
2024-02-08 15:14:28.488859,167,44,0,-211.30,427.98,-880.96,525.00,-245.00,-245.00
2024-02-08 15:14:28.592945,167,45,406,-211.18,427.98,-880.72,507.50,-210.00,-297.50
2024-02-08 15:14:28.700040,168,46,0,-211.30,427.85,-880.72,507.50,-192.50,-420.00
2024-02-08 15:14:28.799299,168,47,407,-211.30,427.98,-880.96,577.50,-280.00,-402.50
2024-02-08 15:14:28.906422,169,48,410,-211.30,427.61,-880.60,490.00,-157.50,-280.00
2024-02-08 15:14:29.015680,170,50,398,-211.30,427.98,-880.96,472.50,-122.50,-315.00
2024-02-08 15:14:29.121647,171,52,395,-211.30,427.49,-880.84,315.00,-210.00,-315.00
2024-02-08 15:14:29.223706,172,53,0,-211.43,427.73,-880.60,542.50,-192.50,-332.50
2024-02-08 15:14:29.330858,172,53,0,-211.30,427.49,-880.72,490.00,-122.50,-297.50
2024-02-08 15:14:29.423651,174,56,395,-211.55,427.73,-880.84,560.00,-157.50,-332.50
2024-02-08 15:14:29.540837,174,59,390,-211.43,427.73,-880.84,525.00,-227.50,-280.00
2024-02-08 15:14:29.646831,175,62,392,-211.30,427.73,-880.84,560.00,-157.50,-297.50
2024-02-08 15:14:29.751174,176,63,387,-211.18,427.73,-880.96,490.00,-262.50,-350.00
2024-02-08 15:14:29.849535,177,66,398,-211.30,427.98,-880.96,490.00,-227.50,-350.00
2024-02-08 15:14:29.953916,178,69,389,-211.55,427.85,-880.60,542.50,-157.50,-350.00
2024-02-08 15:14:30.063252,179,71,381,-211.30,427.73,-880.60,472.50,-175.00,-280.00
2024-02-08 15:14:30.160700,180,73,391,-211.30,427.98,-880.84,577.50,-262.50,-315.00
2024-02-08 15:14:30.272348,180,76,0,-211.55,427.73,-880.84,542.50,-227.50,-262.50
2024-02-08 15:14:30.381508,181,78,387,-211.18,427.98,-880.84,455.00,-140.00,-332.50
2024-02-08 15:14:30.476530,181,80,393,-211.30,427.85,-880.84,560.00,-227.50,-367.50
2024-02-08 15:14:30.587399,181,81,0,-211.43,427.98,-880.72,472.50,-227.50,-332.50
2024-02-08 15:14:30.694447,181,83,381,-211.55,427.73,-880.84,595.00,-157.50,-280.00
2024-02-08 15:14:30.799711,181,80,0,-211.30,427.98,-880.96,577.50,-157.50,-367.50
2024-02-08 15:14:30.902153,181,86,387,-211.18,427.73,-880.96,577.50,-157.50,-297.50
2024-02-08 15:14:31.013355,180,87,381,-211.30,427.85,-881.08,507.50,-157.50,-350.00
2024-02-08 15:14:31.118251,180,87,377,-211.30,427.98,-880.96,455.00,-157.50,-350.00
2024-02-08 15:14:31.213034,180,88,378,-211.06,427.98,-880.84,560.00,-175.00,-262.50
2024-02-08 15:14:31.323144,180,88,383,-211.30,427.85,-881.08,507.50,-192.50,-315.00
2024-02-08 15:14:31.433999,179,88,389,-211.30,427.98,-880.96,420.00,-227.50,-402.50
2024-02-08 15:14:31.528782,177,87,392,-211.06,427.73,-880.84,490.00,-122.50,-262.50
2024-02-08 15:14:31.634966,176,87,388,-211.06,427.98,-881.08,472.50,-227.50,-367.50
2024-02-08 15:14:31.747057,174,85,391,-211.30,427.85,-880.60,542.50,-105.00,-350.00
2024-02-08 15:14:31.849193,173,84,380,-211.06,428.10,-880.96,350.00,-262.50,-385.00
2024-02-08 15:14:31.956482,172,83,0,-211.18,427.73,-880.84,490.00,-52.50,-262.50
2024-02-08 15:14:32.069286,171,82,419,-211.06,428.10,-880.84,490.00,-87.50,-297.50
2024-02-08 15:14:32.170548,170,80,0,-211.30,427.73,-880.84,472.50,-192.50,-350.00
2024-02-08 15:14:32.265578,169,82,375,-211.06,428.10,-880.84,455.00,-227.50,-350.00
2024-02-08 15:14:32.376032,168,81,372,-211.43,427.98,-881.08,577.50,-297.50,-350.00
2024-02-08 15:14:32.475496,168,83,375,-211.30,427.98,-880.84,455.00,-192.50,-262.50
2024-02-08 15:14:32.586737,166,82,373,-211.30,427.61,-880.84,525.00,-140.00,-367.50
2024-02-08 15:14:32.693779,165,95,0,-211.06,427.98,-880.84,525.00,-315.00,-350.00
2024-02-08 15:14:32.796412,164,84,375,-211.18,427.61,-880.72,455.00,-122.50,-245.00
2024-02-08 15:14:32.909995,163,85,376,-211.06,427.85,-880.84,507.50,-227.50,-437.50
2024-02-08 15:14:33.005995,162,85,365,-211.06,427.98,-880.84,542.50,-210.00,-385.00
2024-02-08 15:14:33.115593,161,86,369,-211.43,427.73,-881.08,595.00,-245.00,-332.50
2024-02-08 15:14:33.217468,159,87,373,-211.30,427.98,-880.84,455.00,-192.50,-367.50
2024-02-08 15:14:33.328778,158,88,374,-211.43,427.98,-880.84,525.00,-280.00,-350.00
2024-02-08 15:14:33.436501,158,87,368,-211.30,428.10,-880.72,437.50,-280.00,-332.50
2024-02-08 15:14:33.527816,157,88,365,-211.18,427.61,-880.60,472.50,-122.50,-297.50
2024-02-08 15:14:33.635064,155,88,364,-211.30,427.98,-880.84,612.50,-192.50,-315.00
2024-02-08 15:14:33.750705,154,88,0,-211.30,427.98,-880.96,472.50,-227.50,-315.00
2024-02-08 15:14:33.846856,154,87,376,-210.94,427.73,-880.84,385.00,-175.00,-385.00
2024-02-08 15:14:33.949392,153,87,0,-211.30,427.98,-880.84,420.00,-157.50,-262.50
2024-02-08 15:14:34.068094,153,99,0,-211.30,427.73,-880.60,385.00,-192.50,-262.50
2024-02-08 15:14:34.160709,152,87,388,-211.18,428.22,-881.08,595.00,-245.00,-332.50
2024-02-08 15:14:34.264721,151,82,0,-211.30,427.85,-880.84,420.00,-192.50,-297.50
2024-02-08 15:14:34.372120,151,85,391,-211.30,427.85,-880.96,560.00,-245.00,-332.50
2024-02-08 15:14:34.477587,151,83,389,-211.30,427.98,-880.84,525.00,-192.50,-297.50
2024-02-08 15:14:34.591984,151,81,396,-211.43,428.10,-880.84,542.50,-175.00,-332.50
2024-02-08 15:14:34.698344,151,78,398,-211.30,427.73,-880.84,542.50,-157.50,-350.00
2024-02-08 15:14:34.791716,152,77,400,-211.43,427.85,-880.84,542.50,-227.50,-315.00
2024-02-08 15:14:34.903322,153,74,0,-211.55,427.98,-881.08,577.50,-280.00,-385.00
2024-02-08 15:14:35.011715,155,71,394,-211.30,427.98,-880.84,507.50,-175.00,-350.00
2024-02-08 15:14:35.118420,157,69,391,-211.55,427.61,-880.72,367.50,-245.00,-280.00
2024-02-08 15:14:35.222135,160,67,397,-211.43,427.98,-880.96,472.50,-192.50,-280.00
2024-02-08 15:14:35.329830,163,62,0,-211.30,427.61,-880.84,490.00,-175.00,-280.00
2024-02-08 15:14:35.437124,165,62,402,-211.18,427.98,-880.84,542.50,-210.00,-367.50
2024-02-08 15:14:35.536753,167,58,0,-211.67,427.61,-880.96,612.50,-157.50,-350.00
2024-02-08 15:14:35.647318,168,59,0,-211.43,428.22,-880.60,420.00,-210.00,-332.50
2024-02-08 15:14:35.743406,168,66,0,-211.06,427.73,-881.08,507.50,-262.50,-332.50
2024-02-08 15:14:35.859031,168,59,381,-211.06,428.22,-880.84,542.50,-175.00,-297.50
2024-02-08 15:14:35.962473,168,59,382,-211.30,427.61,-880.96,595.00,-192.50,-402.50
2024-02-08 15:14:36.068155,168,58,393,-210.94,428.22,-880.96,525.00,-262.50,-332.50
2024-02-08 15:14:36.173136,166,59,380,-211.43,427.85,-880.96,560.00,-175.00,-367.50
2024-02-08 15:14:36.278575,163,55,0,-211.06,428.22,-880.84,507.50,-192.50,-315.00
2024-02-08 15:14:36.370348,160,60,371,-211.06,427.73,-880.96,560.00,-157.50,-210.00
2024-02-08 15:14:36.480849,156,61,378,-211.06,428.22,-880.96,472.50,-245.00,-350.00
2024-02-08 15:14:36.581533,152,63,380,-211.30,428.10,-881.08,367.50,-175.00,-367.50
2024-02-08 15:14:36.697182,148,64,371,-210.94,427.85,-880.72,490.00,-192.50,-315.00
2024-02-08 15:14:36.799426,144,65,0,-211.43,428.10,-880.96,437.50,-175.00,-315.00
2024-02-08 15:14:36.904364,139,66,374,-211.18,427.73,-880.84,490.00,-52.50,-280.00
2024-02-08 15:14:37.010207,134,69,377,-211.06,428.22,-880.84,455.00,-262.50,-297.50
2024-02-08 15:14:37.114831,131,69,0,-211.18,427.61,-881.08,507.50,-245.00,-315.00
2024-02-08 15:14:37.222898,126,71,372,-211.30,428.22,-880.96,560.00,-192.50,-280.00
2024-02-08 15:14:37.328854,122,71,370,-211.30,427.85,-881.08,437.50,-105.00,-350.00
2024-02-08 15:14:37.433191,116,72,362,-211.06,427.98,-881.08,525.00,-157.50,-315.00
2024-02-08 15:14:37.538650,112,72,374,-211.18,428.22,-880.84,577.50,-210.00,-315.00
2024-02-08 15:14:37.644281,106,72,375,-211.06,428.10,-880.96,437.50,-157.50,-315.00
2024-02-08 15:14:37.745809,101,73,367,-210.94,428.34,-880.84,542.50,-87.50,-332.50
2024-02-08 15:14:37.847609,96,73,370,-211.30,427.98,-880.96,542.50,-122.50,-297.50
2024-02-08 15:14:37.953916,91,72,371,-210.94,428.22,-880.72,542.50,-192.50,-332.50
2024-02-08 15:14:38.061096,86,72,0,-211.43,427.98,-881.08,472.50,-157.50,-332.50
2024-02-08 15:14:38.168289,80,72,371,-211.18,428.22,-880.84,455.00,-122.50,-297.50
2024-02-08 15:14:38.271873,76,72,375,-211.18,428.10,-880.72,455.00,-192.50,-332.50
2024-02-08 15:14:38.379748,73,71,0,-211.18,428.10,-880.84,630.00,-262.50,-332.50
2024-02-08 15:14:38.482760,70,72,387,-211.30,428.22,-880.72,560.00,-175.00,-315.00
2024-02-08 15:14:38.580890,68,73,378,-210.94,427.98,-880.60,525.00,-192.50,-350.00
2024-02-08 15:14:38.697232,66,70,0,-211.43,427.73,-880.60,560.00,-157.50,-350.00
2024-02-08 15:14:38.804721,65,73,381,-211.30,427.73,-880.60,507.50,-140.00,-367.50
2024-02-08 15:14:38.896469,63,71,0,-211.30,427.49,-880.84,525.00,-140.00,-245.00
2024-02-08 15:14:39.014833,62,73,382,-211.06,428.34,-880.84,542.50,-210.00,-367.50
2024-02-08 15:14:39.106859,61,72,0,-211.43,427.61,-881.08,472.50,-140.00,-280.00
2024-02-08 15:14:39.212771,60,73,381,-211.06,427.98,-880.84,402.50,-262.50,-367.50
2024-02-08 15:14:39.328366,60,73,372,-211.30,427.98,-880.84,525.00,-192.50,-315.00
2024-02-08 15:14:39.432129,60,73,389,-211.18,428.22,-880.60,612.50,-87.50,-262.50
2024-02-08 15:14:39.535074,60,73,374,-211.43,427.61,-880.96,525.00,-315.00,-315.00
2024-02-08 15:14:39.644171,60,73,391,-211.06,427.98,-880.84,525.00,-245.00,-297.50
2024-02-08 15:14:39.745051,61,73,402,-211.18,427.61,-880.96,507.50,-105.00,-350.00
2024-02-08 15:14:39.849353,64,74,412,-211.06,427.98,-880.84,542.50,-227.50,-315.00
2024-02-08 15:14:39.963041,64,74,438,-211.18,428.10,-882.30,157.50,-560.00,-595.00
2024-02-08 15:14:40.064890,67,74,451,-211.06,428.46,-881.33,245.00,-315.00,-437.50
2024-02-08 15:14:40.168990,-46,188,0,-211.43,427.49,-880.35,245.00,87.50,-210.00
2024-02-08 15:14:40.274192,-46,192,0,-211.06,428.22,-880.96,507.50,-210.00,-367.50
2024-02-08 15:14:40.374531,-46,195,0,-211.06,427.98,-880.96,455.00,-175.00,-280.00
2024-02-08 15:14:40.481900,-46,192,0,-211.30,428.22,-880.96,507.50,-157.50,-245.00
2024-02-08 15:14:40.580343,-46,200,0,-211.43,428.10,-880.96,560.00,-175.00,-262.50
2024-02-08 15:14:40.686466,-46,195,0,-210.82,428.46,-880.84,542.50,-122.50,-315.00
2024-02-08 15:14:40.803490,-46,216,0,-211.30,427.98,-880.84,490.00,-122.50,-297.50
2024-02-08 15:14:40.909564,-46,191,0,-211.18,428.22,-880.96,577.50,-192.50,-262.50
2024-02-08 15:14:41.012546,-46,194,0,-211.06,428.22,-881.08,507.50,-175.00,-402.50
2024-02-08 15:14:41.115259,-46,196,0,-211.06,428.22,-880.72,525.00,-140.00,-297.50
2024-02-08 15:14:41.210490,-46,195,0,-211.43,428.22,-880.84,507.50,-192.50,-210.00
2024-02-08 15:14:41.325561,-46,190,0,-211.18,428.59,-880.60,577.50,-262.50,-280.00
2024-02-08 15:14:41.432234,-46,200,0,-211.18,427.98,-881.08,560.00,-262.50,-332.50
2024-02-08 15:14:41.535743,-46,195,0,-211.06,428.71,-880.96,472.50,-175.00,-315.00
2024-02-08 15:14:41.646576,-46,192,0,-211.18,427.98,-880.72,472.50,-192.50,-315.00
2024-02-08 15:14:41.745252,-46,191,0,-211.06,428.71,-880.84,507.50,-245.00,-297.50
2024-02-08 15:14:41.857321,-46,200,0,-211.18,428.22,-880.96,420.00,-210.00,-297.50
2024-02-08 15:14:41.962308,-46,140,0,-211.18,428.22,-880.96,507.50,-245.00,-385.00
2024-02-08 15:14:42.067073,-46,182,0,-211.18,428.10,-880.72,490.00,-140.00,-280.00
2024-02-08 15:14:42.159631,-46,208,0,-211.30,428.10,-880.60,525.00,-157.50,-262.50
2024-02-08 15:14:42.275451,-46,144,0,-211.06,428.22,-880.84,560.00,-192.50,-385.00
2024-02-08 15:14:42.384143,-46,195,0,-211.18,428.22,-880.72,542.50,-52.50,-297.50
2024-02-08 15:14:42.476565,-46,198,0,-210.94,428.34,-880.60,595.00,-210.00,-297.50
2024-02-08 15:14:42.583458,-46,189,0,-211.06,428.22,-880.84,525.00,-227.50,-350.00
2024-02-08 15:14:42.686613,-46,200,0,-211.06,428.34,-880.84,630.00,-227.50,-332.50
2024-02-08 15:14:42.793634,-46,202,0,-211.18,428.10,-880.96,560.00,-210.00,-332.50
2024-02-08 15:14:42.910183,-46,194,0,-211.06,428.34,-880.84,350.00,-157.50,-367.50
2024-02-08 15:14:43.016043,-46,190,0,-211.30,428.10,-881.08,560.00,-227.50,-332.50
2024-02-08 15:14:43.109830,-46,199,0,-211.18,428.22,-881.08,437.50,-262.50,-385.00
2024-02-08 15:14:43.218818,-46,114,0,-211.43,428.10,-880.96,455.00,-262.50,-297.50
2024-02-08 15:14:43.319322,-46,192,0,-211.06,428.22,-880.84,560.00,-210.00,-297.50
