Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:05:19.711724,163,88,536,-590.36,-0.61,626.10,27317.50,3762.50,-228060.00
2024-02-29 16:05:19.716124,163,105,0,-582.55,-24.64,594.14,30152.50,-17010.00,-254187.50
2024-02-29 16:05:19.720123,164,85,489,-572.67,-211.79,584.62,27580.00,-36505.00,-207917.50
2024-02-29 16:05:19.724584,164,81,0,-572.67,-495.81,598.41,-17902.50,-24255.00,-9310.00
2024-02-29 16:05:19.732096,165,83,0,-578.16,-595.48,576.21,19985.00,-29225.00,117022.50
2024-02-29 16:05:19.736555,165,82,464,-580.48,-493.61,534.73,33617.50,-65572.50,60270.00
2024-02-29 16:05:19.740739,165,82,443,-582.18,-404.19,547.05,25392.50,-75845.00,-25935.00
2024-02-29 16:05:19.744907,165,82,439,-581.70,-423.71,611.83,5197.50,-36697.50,-32060.00
2024-02-29 16:05:19.751734,165,82,425,-581.94,-469.09,653.19,-945.00,4830.00,11672.50
2024-02-29 16:05:19.756549,166,83,374,-582.31,-461.89,637.57,175.00,367.50,15155.00
2024-02-29 16:05:19.761408,166,85,348,-583.89,-445.54,611.71,-2100.00,-23677.50,-3307.50
2024-02-29 16:05:19.765113,168,88,0,-586.33,-452.74,609.76,-4707.50,-32375.00,-2975.00
2024-02-29 16:05:19.773317,168,92,342,-587.67,-458.96,623.66,-2555.00,-25095.00,4077.50
2024-02-29 16:05:19.777351,168,86,0,-587.43,-450.67,636.11,-1540.00,-15872.50,-1312.50
2024-02-29 16:05:19.781509,168,98,340,-585.72,-445.06,641.35,-4777.50,-10010.00,-8225.00
2024-02-29 16:05:19.786389,167,102,334,-583.65,-449.45,642.70,-5845.00,-7717.50,-6457.50
2024-02-29 16:05:19.794060,167,106,367,-582.31,-454.08,644.89,-1662.50,-6212.50,-2940.00
2024-02-29 16:05:19.798536,167,109,340,-582.79,-455.55,650.99,857.50,-2870.00,-2362.50
2024-02-29 16:05:19.806209,168,113,337,-584.99,-458.48,660.26,2310.00,4322.50,-577.50
2024-02-29 16:05:19.809889,168,118,350,-587.19,-462.62,670.27,2835.00,14525.00,3535.00
2024-02-29 16:05:19.814056,171,109,0,-586.45,-463.72,679.91,-455.00,26652.50,7717.50
2024-02-29 16:05:19.818625,169,120,471,-581.57,-461.89,688.81,-7262.50,38027.50,9887.50
2024-02-29 16:05:19.826424,169,121,509,-574.86,-460.18,697.72,-18392.50,48877.50,13842.50
2024-02-29 16:05:19.830899,169,119,0,-582.43,-427.73,664.29,-29312.50,51887.50,13667.50
2024-02-29 16:05:19.835110,-46,202,0,-597.80,-417.97,633.18,-38990.00,-12705.00,-28752.50
2024-02-29 16:05:19.838660,-46,208,0,-610.49,-451.28,657.95,-23362.50,-1557.50,-7385.00
2024-02-29 16:05:19.843174,-46,210,0,-621.47,-465.31,659.53,4480.00,13055.00,2537.50
2024-02-29 16:05:19.851532,-46,206,0,-627.45,-472.87,630.01,-1662.50,647.50,6562.50
2024-02-29 16:05:19.855021,-46,210,0,-639.52,-475.80,628.06,-2345.00,-2257.50,8732.50
2024-02-29 16:05:19.859506,-46,208,0,-658.80,-485.93,651.36,21857.50,25620.00,4725.00
2024-02-29 16:05:19.863270,-46,209,0,-674.05,-513.50,652.21,59867.50,41072.50,18532.50
2024-02-29 16:05:19.867991,-46,204,0,-679.17,-526.55,637.08,85540.00,34212.50,36120.00
2024-02-29 16:05:19.875463,-46,208,0,-677.34,-512.40,634.52,84980.00,32340.00,34527.50
2024-02-29 16:05:19.878294,-46,110,0,-672.95,-488.37,640.50,77402.50,34090.00,23835.00
2024-02-29 16:05:19.884215,-46,217,0,-666.12,-458.72,651.60,86117.50,41072.50,8680.00
2024-02-29 16:05:19.888185,-46,205,0,-653.92,-429.93,650.02,34247.50,38482.50,-8960.00
2024-02-29 16:05:19.896598,-46,118,0,-642.09,-413.70,645.38,-10570.00,22662.50,-12582.50
2024-02-29 16:05:19.900704,-46,211,0,-635.01,-403.70,655.99,-24430.00,18165.00,-9660.00
2024-02-29 16:05:19.904884,-46,209,0,-630.13,-394.30,645.38,-30030.00,8645.00,-11305.00
2024-02-29 16:05:19.908353,-46,203,0,-628.54,-390.64,603.78,-26880.00,-27212.50,-12810.00
2024-02-29 16:05:19.912695,-46,208,0,-626.59,-389.18,569.01,-22995.00,-66465.00,-17255.00
2024-02-29 16:05:19.920792,-46,209,0,-622.20,-391.50,569.25,-25007.50,-78890.00,-19827.50
2024-02-29 16:05:19.925329,86,100,0,-615.12,-396.50,593.41,-27370.00,-61302.50,-17027.50
2024-02-29 16:05:19.928921,153,99,0,-608.05,-404.31,614.15,-23800.00,-36540.00,-14525.00
2024-02-29 16:05:19.937508,152,94,0,-603.05,-420.78,628.18,-13090.00,-15277.50,-4497.50
2024-02-29 16:05:19.940710,149,96,486,-599.87,-438.22,643.67,-5285.00,4725.00,9170.00
2024-02-29 16:05:19.945137,146,95,0,-597.92,-451.77,663.19,-822.50,27737.50,22417.50
2024-02-29 16:05:19.949077,144,94,468,-607.56,-436.03,649.28,-1855.00,43592.50,33810.00
2024-02-29 16:05:19.954073,140,93,479,-626.10,-439.81,618.30,-7070.00,-13860.00,717.50
2024-02-29 16:05:19.961382,137,91,466,-640.87,-478.12,621.96,15120.00,-19915.00,40652.50
2024-02-29 16:05:19.965553,132,90,458,-645.14,-485.07,624.03,29960.00,-17045.00,61075.00
2024-02-29 16:05:19.972103,128,88,461,-643.06,-475.56,611.71,18760.00,-28647.50,60812.50
2024-02-29 16:05:19.978309,124,86,466,-645.14,-471.41,615.73,14735.00,-31605.00,64540.00
2024-02-29 16:05:19.990902,120,86,0,-648.92,-467.63,627.57,14192.50,-23782.50,66062.50
2024-02-29 16:05:19.996830,116,85,457,-651.48,-460.18,633.91,8557.50,-18795.00,65047.50
2024-02-29 16:05:20.009395,112,83,459,-653.43,-452.01,640.99,7717.50,-13072.50,61810.00
2024-02-29 16:05:20.015215,108,76,0,-655.51,-441.03,649.28,7472.50,-4497.50,53865.00
2024-02-29 16:05:20.027508,105,84,428,-656.36,-430.54,653.43,11270.00,4077.50,42262.50
2024-02-29 16:05:20.033696,102,83,460,-656.73,-424.80,651.60,24272.50,9607.50,29085.00
2024-02-29 16:05:20.044882,98,86,0,-658.07,-422.12,651.72,39322.50,13755.00,20842.50
2024-02-29 16:05:20.054895,96,86,461,-659.78,-417.85,655.63,51502.50,20055.00,13842.50
2024-02-29 16:05:20.059448,94,86,453,-660.75,-409.68,659.65,57592.50,27002.50,3237.50
2024-02-29 16:05:20.071439,93,88,447,-660.87,-400.53,662.70,59395.00,31325.00,-4690.00
2024-02-29 16:05:20.077642,92,86,0,-660.63,-388.94,668.44,54967.50,32165.00,-6965.00
2024-02-29 16:05:20.089386,91,90,444,-660.63,-376.74,679.54,46497.50,35350.00,-8155.00
2024-02-29 16:05:20.095175,91,92,469,-659.53,-364.90,689.91,31902.50,40040.00,-9660.00
2024-02-29 16:05:20.108335,92,93,0,-655.87,-354.78,688.57,15015.00,39130.00,-12075.00
2024-02-29 16:05:20.115133,92,96,444,-651.60,-346.85,676.98,1242.50,31342.50,-14997.50
2024-02-29 16:05:20.125684,93,98,492,-649.53,-337.45,654.65,-11515.00,16957.50,-23030.00
2024-02-29 16:05:20.132988,94,101,454,-647.82,-330.62,622.20,-17762.50,-6090.00,-32795.00
2024-02-29 16:05:20.144101,95,102,459,-644.16,-324.64,585.36,-22960.00,-35385.00,-43960.00
2024-02-29 16:05:20.150827,96,104,461,-638.30,-322.45,563.76,-31377.50,-59395.00,-54302.50
2024-02-29 16:05:20.162439,96,106,450,-629.15,-326.11,569.01,-37187.50,-59832.50,-54635.00
2024-02-29 16:05:20.169705,96,107,470,-619.15,-328.42,578.65,-42210.00,-53725.00,-54092.50
2024-02-29 16:05:20.180974,96,111,0,-613.05,-341.11,596.95,-48772.50,-43645.00,-47827.50
2024-02-29 16:05:20.187987,96,108,689,-610.24,-364.90,638.79,-41527.50,-12232.50,-24465.00
2024-02-29 16:05:20.198294,-46,109,0,-607.56,-376.74,682.96,-35682.50,29470.00,-5267.50
2024-02-29 16:05:20.205315,-46,187,0,-613.05,-375.03,696.99,-34282.50,56997.50,-507.50
2024-02-29 16:05:20.216539,-46,202,0,-633.91,-384.67,655.63,-27475.00,13265.00,-17552.50
2024-02-29 16:05:20.222706,-46,210,0,-660.26,-411.87,647.70,227.50,-3115.00,8907.50
2024-02-29 16:05:20.233414,-46,282,0,-676.73,-427.61,684.05,23432.50,26845.00,20825.00
2024-02-29 16:05:20.239635,-46,211,0,-683.81,-427.61,683.20,29785.00,38080.00,19617.50
