Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:23:58.655870,152,67,1011,-675.51,-128.59,730.41,-1295.00,15505.00,-5005.00
2024-02-29 16:23:58.667556,152,67,0,-675.27,-125.05,731.27,-3465.00,17325.00,-5215.00
2024-02-29 16:23:58.679379,152,68,686,-675.03,-121.76,732.61,-7385.00,20072.50,-5355.00
2024-02-29 16:23:58.686193,152,68,626,-675.39,-118.71,731.51,-10972.50,20667.50,-5425.00
2024-02-29 16:23:58.697045,152,67,531,-676.37,-115.90,730.05,-13702.50,20212.50,-6020.00
2024-02-29 16:23:58.704329,152,69,510,-677.34,-114.68,731.63,-16467.50,22067.50,-6282.50
2024-02-29 16:23:58.713778,153,69,533,-677.95,-114.68,734.68,-19390.00,25830.00,-5355.00
2024-02-29 16:23:58.722049,153,71,0,-678.20,-114.44,735.90,-22487.50,28612.50,-4917.50
2024-02-29 16:23:58.732577,153,74,0,-679.42,-113.22,733.46,-24990.00,30030.00,-5040.00
2024-02-29 16:23:58.739805,155,74,0,-685.15,-108.21,711.26,-19600.00,18112.50,-9047.50
2024-02-29 16:23:58.750505,155,76,520,-691.86,-110.90,696.01,-11550.00,-1260.00,-12915.00
2024-02-29 16:23:58.757112,156,74,0,-696.38,-122.73,704.18,-6912.50,4287.50,-6037.50
2024-02-29 16:23:58.769176,156,79,0,-699.91,-132.25,707.48,-3167.50,8365.00,-910.00
2024-02-29 16:23:58.774560,157,81,505,-703.82,-142.37,708.33,-5285.00,9905.00,6002.50
2024-02-29 16:23:58.786416,157,82,492,-709.80,-153.96,712.36,-6930.00,13947.50,16117.50
2024-02-29 16:23:58.792180,157,85,503,-715.90,-164.94,718.09,-5495.00,19705.00,28315.00
2024-02-29 16:23:58.805198,158,87,500,-720.29,-173.48,725.41,-7420.00,26057.50,40775.00
2024-02-29 16:23:58.810681,157,89,497,-722.48,-176.29,732.85,-9625.00,33040.00,50785.00
2024-02-29 16:23:58.823210,157,91,543,-722.73,-174.70,735.54,-11235.00,37082.50,56350.00
2024-02-29 16:23:58.829346,158,94,0,-721.75,-172.75,733.22,-9800.00,37590.00,60375.00
2024-02-29 16:23:58.841638,157,96,534,-719.92,-170.56,727.97,-6265.00,36680.00,61757.50
2024-02-29 16:23:58.847080,157,97,538,-717.97,-165.55,720.41,-3535.00,34230.00,58345.00
2024-02-29 16:23:58.860657,157,98,584,-716.87,-158.36,711.87,-507.50,31675.00,50680.00
2024-02-29 16:23:58.866741,157,99,0,-715.77,-151.28,702.11,1995.00,28087.50,42647.50
2024-02-29 16:23:58.879459,-46,258,0,-714.55,-145.18,691.37,1225.00,22680.00,34457.50
2024-02-29 16:23:58.887718,-46,190,0,-714.43,-141.28,684.42,1627.50,18725.00,28175.00
2024-02-29 16:23:58.892230,-46,208,0,-714.92,-137.13,682.22,3237.50,18305.00,22382.50
2024-02-29 16:23:58.904310,-46,190,0,-715.41,-132.49,681.13,5320.00,18200.00,14630.00
2024-02-29 16:23:58.909754,-46,198,0,-715.77,-126.88,677.83,9555.00,17780.00,6615.00
2024-02-29 16:23:58.923097,-46,199,0,-714.68,-115.53,666.61,17377.50,9660.00,-6335.00
2024-02-29 16:23:58.928523,-46,113,0,-711.26,-99.19,652.70,23485.00,-1662.50,-23852.50
2024-02-29 16:23:58.940427,-46,202,0,-707.60,-83.57,638.91,27335.00,-10972.50,-41177.50
2024-02-29 16:23:58.947813,-46,205,0,-704.43,-72.71,616.83,33022.50,-27807.50,-54215.00
2024-02-29 16:23:58.959470,-46,140,0,-700.52,-65.64,591.21,35315.00,-51030.00,-62702.50
2024-02-29 16:23:58.966411,-46,113,0,-696.99,-61.49,575.60,30765.00,-68915.00,-69230.00
2024-02-29 16:23:58.977527,-46,200,0,-695.89,-65.88,578.28,20790.00,-72922.50,-69860.00
2024-02-29 16:23:58.983740,-46,206,0,-695.03,-81.86,601.22,13072.50,-60620.00,-59447.50
2024-02-29 16:23:58.994341,-46,202,0,-693.08,-95.89,632.08,7052.50,-39672.50,-46392.50
2024-02-29 16:23:59.001230,-46,181,0,-691.01,-96.14,653.43,2835.00,-23327.50,-43207.50
2024-02-29 16:23:59.012866,-46,201,0,-689.06,-91.13,663.19,-262.50,-16100.00,-46795.00
2024-02-29 16:23:59.018550,-46,117,0,-688.32,-91.74,672.34,-4602.50,-10885.00,-46742.50
2024-02-29 16:23:59.029744,-46,140,0,-689.30,-96.14,686.74,-8697.50,-997.50,-41195.00
2024-02-29 16:23:59.041994,-46,118,0,-691.74,-98.21,702.72,-13877.50,11900.00,-35437.50
2024-02-29 16:23:59.049907,-46,111,0,-696.01,-98.45,712.72,-17675.00,22802.50,-31167.50
2024-02-29 16:23:59.055223,-46,205,0,-704.18,-99.55,697.47,-10482.50,17535.00,-26687.50
2024-02-29 16:23:59.065290,-46,204,0,-711.50,-103.70,684.91,-105.00,-682.50,-22207.50
2024-02-29 16:23:59.078176,-46,199,0,-716.26,-105.16,690.40,-1120.00,4532.50,-18567.50
2024-02-29 16:23:59.083629,-46,201,0,-721.51,-109.56,693.20,-3115.00,7087.50,-17850.00
2024-02-29 16:23:59.096938,-46,200,0,-726.39,-125.90,699.06,-6562.50,13090.00,-6860.00
2024-02-29 16:23:59.104857,-46,199,0,-732.24,-145.67,705.65,-6457.50,19897.50,7385.00
2024-02-29 16:23:59.109370,-46,211,0,-738.71,-164.33,712.97,-5145.00,27300.00,23187.50
2024-02-29 16:23:59.120021,-46,204,0,-743.83,-181.54,720.29,-1785.00,35647.50,38990.00
2024-02-29 16:23:59.131275,-46,206,0,-746.15,-194.71,724.19,-1085.00,41422.50,53900.00
2024-02-29 16:23:59.137077,-46,199,0,-745.91,-201.06,724.44,-5110.00,44485.00,64470.00
2024-02-29 16:23:59.147768,-46,185,0,-743.83,-199.23,722.85,-10360.00,45657.50,68950.00
2024-02-29 16:23:59.154522,-46,289,0,-742.13,-192.64,723.46,-13142.50,47267.50,67672.50
2024-02-29 16:23:59.166518,-46,205,0,-741.52,-185.07,725.41,-14717.50,51485.00,64557.50
2024-02-29 16:23:59.173365,-46,200,0,-740.91,-178.12,724.80,-12985.00,54495.00,60917.50
2024-02-29 16:23:59.185261,-46,202,0,-739.08,-172.02,719.92,-10622.50,55667.50,57295.00
2024-02-29 16:23:59.191518,-46,105,0,-735.17,-164.58,706.87,-7350.00,51327.50,51082.50
2024-02-29 16:23:59.203848,-46,187,0,-731.51,-157.62,689.79,-7227.50,42070.00,43050.00
2024-02-29 16:23:59.209861,137,84,0,-730.05,-154.45,677.47,-7280.00,35087.50,38115.00
2024-02-29 16:23:59.221267,137,71,699,-730.41,-153.96,669.90,-6772.50,31342.50,35910.00
2024-02-29 16:23:59.227787,133,71,577,-731.63,-150.55,662.58,-6142.50,28455.00,32200.00
2024-02-29 16:23:59.239030,130,67,0,-733.95,-143.47,648.80,507.50,22277.50,23677.50
2024-02-29 16:23:59.243859,127,69,502,-734.93,-133.59,630.98,13527.50,8592.50,12302.50
2024-02-29 16:23:59.256627,123,69,505,-734.68,-115.66,611.95,24535.00,-3377.50,-5950.00
2024-02-29 16:23:59.263058,119,84,0,-736.15,-96.99,581.70,38202.50,-23345.00,-27632.50
2024-02-29 16:23:59.273861,114,82,0,-738.10,-87.47,548.76,48055.00,-50260.00,-40215.00
2024-02-29 16:23:59.285288,110,68,516,-738.47,-85.64,535.46,49350.00,-66307.50,-44065.00
2024-02-29 16:23:59.291210,106,67,0,-737.61,-90.52,546.07,43417.50,-64085.00,-38500.00
2024-02-29 16:23:59.302741,102,66,518,-736.03,-94.92,569.98,34142.50,-50662.50,-29277.50
2024-02-29 16:23:59.308874,97,66,487,-733.71,-91.13,594.14,25200.00,-34965.00,-26162.50
2024-02-29 16:23:59.319875,93,65,461,-731.88,-83.08,612.07,17325.00,-22645.00,-27615.00
2024-02-29 16:23:59.326511,91,65,420,-730.54,-77.84,626.96,11025.00,-12810.00,-27930.00
2024-02-29 16:23:59.338106,87,76,0,-728.71,-76.25,642.94,4777.50,-2292.50,-25305.00
2024-02-29 16:23:59.344106,86,63,0,-727.12,-75.15,656.97,-1855.00,8085.00,-22137.50
2024-02-29 16:23:59.357100,82,64,547,-727.61,-73.44,661.85,-6212.50,13440.00,-21105.00
2024-02-29 16:23:59.363280,82,61,0,-731.27,-74.18,653.92,-5005.00,9117.50,-20265.00
2024-02-29 16:23:59.374565,78,66,552,-736.51,-78.32,641.35,-1225.00,-525.00,-18200.00
2024-02-29 16:23:59.381272,76,67,568,-740.54,-84.67,634.52,1347.50,-6825.00,-15452.50
2024-02-29 16:23:59.393198,75,67,552,-742.74,-93.21,634.40,1050.00,-6912.50,-11322.50
2024-02-29 16:23:59.399859,74,69,588,-744.69,-101.02,634.77,-385.00,-5792.50,-6580.00
2024-02-29 16:23:59.411865,73,70,645,-746.88,-105.77,632.81,682.50,-6912.50,-3710.00
2024-02-29 16:23:59.417875,72,70,1061,-747.98,-110.17,633.30,1837.50,-7455.00,-1172.50
2024-02-29 16:23:59.429725,-46,186,0,-747.74,-113.95,638.79,1592.50,-3955.00,2852.50
2024-02-29 16:23:59.435144,-46,186,0,-747.62,-113.46,645.38,-350.00,1137.50,5145.00
2024-02-29 16:23:59.445143,-46,112,0,-747.62,-110.53,649.65,-3605.00,4707.50,5460.00
