Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-08 16:10:21.452902,142,65,534,-16.23,3.17,-1006.13,577.50,-210.00,-332.50
2024-02-08 16:10:21.562906,143,67,524,-16.35,3.29,-1006.01,472.50,-192.50,-350.00
2024-02-08 16:10:21.673486,143,69,542,-16.10,3.29,-1006.13,525.00,-192.50,-350.00
2024-02-08 16:10:21.776241,143,71,502,-16.23,3.17,-1006.26,577.50,-157.50,-262.50
2024-02-08 16:10:21.883432,143,74,499,-16.10,3.29,-1006.26,490.00,-192.50,-262.50
2024-02-08 16:10:21.986088,143,76,522,-16.10,3.29,-1006.26,577.50,-157.50,-280.00
2024-02-08 16:10:22.091019,143,74,0,-16.10,3.42,-1006.13,542.50,-192.50,-280.00
2024-02-08 16:10:22.197932,143,80,493,-16.23,3.29,-1006.26,437.50,-227.50,-367.50
2024-02-08 16:10:22.289645,144,82,519,-16.10,3.42,-1006.13,595.00,-175.00,-315.00
2024-02-08 16:10:22.396618,144,84,471,-16.23,3.42,-1006.26,595.00,-175.00,-297.50
2024-02-08 16:10:22.506415,145,86,467,-16.10,3.17,-1006.26,525.00,-227.50,-315.00
2024-02-08 16:10:22.611893,145,89,0,-16.35,3.42,-1006.01,542.50,-140.00,-262.50
2024-02-08 16:10:22.720163,146,90,467,-15.98,3.29,-1006.26,490.00,-227.50,-332.50
2024-02-08 16:10:22.829477,147,92,494,-16.10,3.42,-1006.26,490.00,-157.50,-315.00
2024-02-08 16:10:22.924508,148,96,497,-16.10,3.42,-1006.13,542.50,-140.00,-297.50
2024-02-08 16:10:23.032698,149,97,514,-16.10,3.42,-1006.38,437.50,-70.00,-332.50
2024-02-08 16:10:23.141025,151,181,0,-15.98,3.29,-1006.38,560.00,-157.50,-297.50
2024-02-08 16:10:23.248063,-46,179,0,-16.10,3.29,-1006.26,507.50,-140.00,-280.00
2024-02-08 16:10:23.342021,-46,191,0,-15.86,3.17,-1006.50,525.00,-262.50,-280.00
2024-02-08 16:10:23.451551,-46,187,0,-16.10,3.42,-1006.38,437.50,-192.50,-297.50
2024-02-08 16:10:23.566315,-46,193,0,-15.98,3.29,-1006.50,472.50,-87.50,-332.50
2024-02-08 16:10:23.667743,-46,195,0,-15.86,3.54,-1006.26,525.00,-140.00,-315.00
2024-02-08 16:10:23.774316,-46,185,0,-15.98,3.42,-1006.38,560.00,-280.00,-315.00
2024-02-08 16:10:23.877015,-46,199,0,-15.98,3.42,-1006.26,490.00,-227.50,-280.00
2024-02-08 16:10:23.983517,-46,200,0,-16.10,3.42,-1006.26,595.00,-140.00,-280.00
2024-02-08 16:10:24.079525,-46,195,0,-15.86,3.29,-1006.26,595.00,-122.50,-297.50
2024-02-08 16:10:24.197822,-46,204,0,-16.10,3.29,-1006.13,525.00,-175.00,-262.50
2024-02-08 16:10:24.289448,-46,201,0,-16.10,3.29,-1006.26,455.00,-210.00,-280.00
2024-02-08 16:10:24.399233,-46,197,0,-15.98,3.42,-1006.13,630.00,-157.50,-297.50
