Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-26 16:44:48.928082,163,67,536,-671.98,435.78,623.30,20790.00,51712.50,12600.00
2024-02-26 16:44:48.933681,163,64,541,-671.98,432.25,616.71,26460.00,48912.50,12127.50
2024-02-26 16:44:48.946688,164,64,483,-670.39,431.03,605.73,26845.00,41597.50,8837.50
2024-02-26 16:44:48.952682,163,63,466,-666.85,431.15,589.26,20212.50,29312.50,5512.50
2024-02-26 16:44:48.965682,163,62,0,-662.46,431.03,571.45,11130.00,15102.50,4042.50
2024-02-26 16:44:48.969681,163,63,455,-658.68,432.49,558.39,2485.00,2450.00,3797.50
2024-02-26 16:44:48.983680,163,63,0,-655.26,434.08,552.17,-1155.00,-3675.00,3395.00
2024-02-26 16:44:48.989679,163,63,448,-649.41,433.10,540.70,-6615.00,-10045.00,8155.00
2024-02-26 16:44:49.001682,163,63,0,-640.99,434.20,520.33,-23240.00,-25970.00,11602.50
2024-02-26 16:44:49.007682,164,65,439,-632.20,436.88,502.64,-42035.00,-43365.00,12862.50
2024-02-26 16:44:49.019680,164,68,435,-624.64,437.98,491.29,-51852.50,-57872.50,13685.00
2024-02-26 16:44:49.026684,165,71,425,-622.57,437.74,487.88,-54285.00,-68530.00,12915.00
2024-02-26 16:44:49.038679,167,75,427,-631.23,441.40,503.86,-43767.50,-66867.50,8767.50
2024-02-26 16:44:49.044682,168,81,430,-647.58,449.69,540.46,-15067.50,-45762.50,-1680.00
2024-02-26 16:44:49.055680,170,86,433,-664.29,456.89,577.43,11970.00,-20632.50,-12705.00
2024-02-26 16:44:49.062683,172,91,424,-681.25,469.21,600.61,17675.00,-6755.00,-29470.00
2024-02-26 16:44:49.073683,173,97,419,-701.74,491.29,619.03,3167.50,3762.50,-55492.50
2024-02-26 16:44:49.079683,175,103,0,-720.78,512.28,641.11,-8050.00,20807.50,-82915.00
2024-02-26 16:44:49.092684,178,110,429,-733.10,517.04,657.09,-8295.00,40040.00,-96950.00
2024-02-26 16:44:49.098682,179,115,433,-737.61,510.57,662.46,-21315.00,54040.00,-97580.00
2024-02-26 16:44:49.111687,181,119,441,-734.32,518.13,650.14,-1435.00,55667.50,-100187.50
2024-02-26 16:44:49.117685,182,121,436,-727.49,537.04,629.52,7192.50,45430.00,-115622.50
2024-02-26 16:44:49.128685,184,124,0,-723.46,519.11,596.82,14945.00,31972.50,-113942.50
2024-02-26 16:44:49.134684,185,124,0,-726.39,441.88,547.78,18042.50,-4375.00,-62755.00
2024-02-26 16:44:49.145866,185,125,0,-736.76,358.19,515.57,20650.00,-43750.00,12180.00
2024-02-26 16:44:49.152381,186,128,440,-749.08,329.28,515.33,29977.50,-61425.00,51852.50
2024-02-26 16:44:49.164226,186,129,441,-757.38,342.09,527.65,30905.00,-63665.00,50102.50
2024-02-26 16:44:49.170226,187,129,445,-755.42,357.70,536.19,22015.00,-62965.00,41737.50
2024-02-26 16:44:49.182224,188,128,456,-743.10,372.59,544.49,12845.00,-56700.00,35315.00
2024-02-26 16:44:49.188225,189,128,458,-724.68,392.35,554.25,5670.00,-45237.50,22942.50
2024-02-26 16:44:49.201225,189,126,0,-702.60,415.04,563.64,1785.00,-31080.00,3885.00
2024-02-26 16:44:49.207227,191,124,440,-678.93,428.10,567.91,-2870.00,-19442.50,-14245.00
