Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:11:40.162297,45,116,546,-720.17,535.82,231.92,-13860.00,27545.00,-4025.00
2024-02-29 16:11:40.174553,44,115,609,-722.97,510.20,215.57,-10290.00,12477.50,10955.00
2024-02-29 16:11:40.180859,44,115,588,-725.17,487.27,194.96,-9240.00,-8277.50,23572.50
2024-02-29 16:11:40.193261,43,115,563,-725.41,462.38,170.07,-10430.00,-32532.50,38552.50
2024-02-29 16:11:40.199427,43,115,548,-724.19,437.49,146.03,-9310.00,-60777.50,56000.00
2024-02-29 16:11:40.212083,43,115,536,-725.17,423.71,134.08,-9677.50,-80535.00,70035.00
2024-02-29 16:11:40.220084,43,114,0,-730.54,433.95,139.57,-20125.00,-83685.00,69965.00
2024-02-29 16:11:40.226034,44,113,0,-737.73,467.75,159.82,-21875.00,-66815.00,55982.50
2024-02-29 16:11:40.236638,44,115,501,-745.54,507.40,177.39,-22242.50,-49717.50,35052.50
2024-02-29 16:11:40.243622,46,115,475,-752.50,531.31,188.12,-18025.00,-43365.00,18042.50
2024-02-29 16:11:40.255273,49,115,0,-758.35,534.73,200.81,-7735.00,-38482.50,10727.50
2024-02-29 16:11:40.261559,52,115,460,-764.33,529.97,211.67,4672.50,-34842.50,9030.00
2024-02-29 16:11:40.273958,56,117,446,-771.16,527.53,217.16,16695.00,-36172.50,6860.00
2024-02-29 16:11:40.279969,61,119,468,-779.34,533.38,223.02,28927.50,-37345.00,402.50
2024-02-29 16:11:40.292210,66,120,465,-789.22,551.68,234.00,40897.50,-34090.00,-13142.50
2024-02-29 16:11:40.301403,71,122,466,-799.71,581.21,249.00,50260.00,-24430.00,-34790.00
2024-02-29 16:11:40.305547,78,124,461,-808.13,612.44,263.52,56315.00,-11112.50,-59657.50
2024-02-29 16:11:40.317397,85,127,462,-811.91,633.79,274.99,55212.50,4147.50,-78067.50
2024-02-29 16:11:40.323388,94,129,455,-810.93,640.74,280.36,48055.00,19740.00,-84612.50
2024-02-29 16:11:40.335702,104,133,456,-806.18,635.99,277.92,32847.50,29155.00,-82740.00
2024-02-29 16:11:40.342797,115,137,463,-799.95,620.37,272.79,18795.00,32707.50,-73150.00
2024-02-29 16:11:40.355067,125,141,456,-794.71,606.95,260.35,12197.50,31045.00,-60340.00
2024-02-29 16:11:40.361578,135,144,470,-791.78,610.73,234.85,-1172.50,16782.50,-57715.00
2024-02-29 16:11:40.372731,140,146,465,-794.95,622.08,209.23,-20790.00,262.50,-64155.00
2024-02-29 16:11:40.379051,147,149,0,-812.03,594.87,187.51,-31675.00,-12285.00,-55597.50
2024-02-29 16:11:40.389390,153,152,469,-846.07,497.27,171.29,-19145.00,-29190.00,5792.50
2024-02-29 16:11:40.396387,157,154,459,-882.06,377.47,167.51,20457.50,-42770.00,96652.50
2024-02-29 16:11:40.408361,161,156,448,-902.07,301.58,170.43,57015.00,-51590.00,163327.50
2024-02-29 16:11:40.415919,164,158,464,-902.31,283.28,175.44,69422.50,-52622.50,187670.00
2024-02-29 16:11:40.427137,167,159,455,-887.67,310.37,181.17,60515.00,-46917.50,179392.50
