Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 14:52:44.252319,33,93,515,-730.41,600.36,-341.11,46462.50,12565.00,-35892.50
2024-02-29 14:52:44.259765,33,90,552,-726.02,612.20,-333.18,68092.50,32777.50,-53357.50
2024-02-29 14:52:44.271102,32,91,512,-723.46,614.03,-335.38,76615.00,41335.00,-62002.50
2024-02-29 14:52:44.278460,33,92,501,-726.88,608.05,-347.82,76527.50,30310.00,-60112.50
2024-02-29 14:52:44.289727,34,93,515,-733.46,596.21,-358.44,79187.50,11410.00,-51170.00
2024-02-29 14:52:44.297022,35,96,526,-737.61,578.52,-361.12,84472.50,-3447.50,-35822.50
2024-02-29 14:52:44.307326,38,83,0,-741.03,564.74,-354.04,83370.00,-10465.00,-21245.00
2024-02-29 14:52:44.314953,42,101,0,-744.20,556.08,-344.53,74480.00,-11077.50,-12057.50
2024-02-29 14:52:44.324915,47,104,474,-744.81,543.88,-343.06,51170.00,-11042.50,-1697.50
2024-02-29 14:52:44.332370,54,109,469,-744.44,529.11,-352.21,26757.50,-15767.50,13457.50
2024-02-29 14:52:44.342597,62,113,455,-748.96,510.20,-372.83,11375.00,-27807.50,29417.50
2024-02-29 14:52:44.349639,69,117,442,-760.06,475.19,-393.33,840.00,-39707.50,61845.00
2024-02-29 14:52:44.361139,78,120,0,-766.65,429.07,-385.76,-17745.00,-35507.50,111072.50
2024-02-29 14:52:44.368955,86,126,464,-758.35,400.16,-351.97,-45272.50,-13912.50,154262.50
2024-02-29 14:52:44.379980,97,132,481,-742.13,419.68,-328.67,-58380.00,6177.50,158725.00
2024-02-29 14:52:44.387276,106,136,441,-725.90,480.44,-332.82,-50627.50,8715.00,119805.00
2024-02-29 14:52:44.397547,117,141,468,-712.11,535.09,-348.19,-41580.00,1470.00,71260.00
2024-02-29 14:52:44.404845,127,145,471,-701.26,556.81,-369.17,-34965.00,-5337.50,46025.00
2024-02-29 14:52:44.415166,133,149,0,-690.52,560.47,-395.04,-33740.00,-16905.00,38430.00
2024-02-29 14:52:44.422789,141,149,438,-679.30,564.25,-410.41,-36715.00,-23695.00,34860.00
2024-02-29 14:52:44.433873,147,149,0,-672.10,571.20,-412.85,-34737.50,-21052.50,29015.00
2024-02-29 14:52:44.441347,152,152,461,-670.27,577.67,-414.31,-31675.00,-17972.50,25515.00
2024-02-29 14:52:44.452456,156,154,463,-670.15,581.33,-417.97,-37170.00,-20842.50,25007.50
2024-02-29 14:52:44.460085,158,155,455,-668.56,582.43,-416.51,-41405.00,-23642.50,27755.00
2024-02-29 14:52:44.470130,159,156,454,-664.53,586.21,-408.46,-36435.00,-24622.50,28245.00
2024-02-29 14:52:44.477658,159,156,454,-660.39,595.60,-400.16,-36610.00,-26390.00,22680.00
2024-02-29 14:52:44.487827,158,157,446,-655.51,609.88,-396.62,-34475.00,-32322.50,10395.00
2024-02-29 14:52:44.495422,155,158,0,-651.72,625.86,-394.91,-48422.50,-40057.50,-3902.50
2024-02-29 14:52:44.506611,150,147,0,-650.87,640.62,-390.03,-52325.00,-42472.50,-20247.50
2024-02-29 14:52:44.514334,143,159,0,-650.99,654.41,-382.84,-46707.50,-41037.50,-34895.00
2024-02-29 14:52:44.525263,134,152,0,-651.11,668.80,-378.57,-35525.00,-40337.50,-51887.50
2024-02-29 14:52:44.533793,127,159,0,-677.22,635.50,-354.78,-19810.00,-38815.00,-62685.00
2024-02-29 14:52:44.539633,117,159,455,-714.31,592.92,-350.14,5022.50,-8470.00,2607.50
2024-02-29 14:52:44.550287,108,159,0,-731.02,601.95,-370.03,27002.50,-33547.50,-1207.50
2024-02-29 14:52:44.557858,99,145,0,-736.64,618.05,-365.51,33460.00,-37800.00,-14000.00
2024-02-29 14:52:44.568962,89,160,470,-736.03,620.00,-349.16,33967.50,-33897.50,-19722.50
2024-02-29 14:52:44.576449,81,161,474,-736.64,616.95,-323.79,29172.50,-23887.50,-17990.00
2024-02-29 14:52:44.587747,75,161,474,-739.32,615.49,-292.31,29925.00,-3745.00,-15907.50
2024-02-29 14:52:44.594895,68,162,459,-742.49,609.15,-268.16,36260.00,14630.00,-10465.00
2024-02-29 14:52:44.605201,65,160,0,-745.18,602.07,-257.42,36592.50,24115.00,-4007.50
2024-02-29 14:52:44.612098,61,164,499,-756.40,590.60,-252.30,25427.50,32165.00,3885.00
2024-02-29 14:52:44.622733,57,165,506,-789.95,551.56,-243.63,25410.00,44957.50,37065.00
2024-02-29 14:52:44.629879,54,167,504,-829.11,487.27,-225.94,20230.00,61302.50,101132.50
2024-02-29 14:52:44.640484,51,166,562,-851.07,436.52,-198.86,2852.50,83247.50,164570.00
2024-02-29 14:52:44.647621,48,166,495,-861.56,429.56,-166.41,-402.50,107362.50,200830.00
2024-02-29 14:52:44.659145,46,166,540,-868.03,454.69,-134.20,10850.00,129692.50,206657.50
2024-02-29 14:52:44.666706,43,165,548,-867.42,477.87,-110.04,22365.00,149642.50,203647.50
2024-02-29 14:52:44.678000,42,165,549,-859.98,486.05,-95.04,38885.00,162837.50,209580.00
2024-02-29 14:52:44.685213,40,162,549,-845.83,485.32,-81.13,61862.50,178692.50,223685.00
2024-02-29 14:52:44.695656,40,161,542,-824.72,496.17,-82.47,83720.00,190592.50,231647.50
2024-02-29 14:52:44.703258,39,158,0,-800.32,520.70,-114.19,72415.00,182122.50,223965.00
2024-02-29 14:52:44.714384,39,154,514,-775.31,544.00,-165.80,57277.50,158392.50,212695.00
2024-02-29 14:52:44.722029,41,151,533,-747.86,572.42,-228.99,-29697.50,127855.00,200917.50
2024-02-29 14:52:44.733213,42,148,0,-713.58,602.68,-284.38,-231507.50,87342.50,187372.50
2024-02-29 14:52:44.741821,44,146,506,-668.93,638.79,-314.03,-215425.00,65397.50,163415.00
2024-02-29 14:52:44.748337,48,144,497,-611.46,689.91,-314.03,-291147.50,68162.50,122710.00
2024-02-29 14:52:44.758683,52,143,511,-549.00,736.51,-288.90,-252192.50,87132.50,75040.00
2024-02-29 14:52:44.766384,55,141,482,-493.25,761.77,-245.95,-189262.50,119437.50,39392.50
2024-02-29 14:52:44.776447,58,142,484,-449.20,760.30,-190.56,-160195.00,170572.50,26127.50
2024-02-29 14:52:44.784136,62,144,0,-407.72,739.32,-139.08,-89915.00,228182.50,32462.50
2024-02-29 14:52:44.795222,65,144,470,-360.75,719.43,-105.04,-27737.50,281715.00,46672.50
2024-02-29 14:52:44.802560,67,146,460,-308.29,716.51,-89.06,-6825.00,330715.00,52412.50
2024-02-29 14:52:44.812829,70,147,456,-249.37,731.63,-81.25,69002.50,376582.50,39952.50
2024-02-29 14:52:44.819793,73,151,480,-187.39,746.76,-66.61,74112.50,419282.50,14402.50
2024-02-29 14:52:44.831472,75,154,441,-124.68,746.15,-43.07,92190.00,467705.00,-5442.50
2024-02-29 14:52:44.838578,76,159,450,-56.24,745.91,-39.53,265405.00,515970.00,-33792.50
2024-02-29 14:52:44.849086,78,161,466,13.42,761.04,-114.92,512382.50,522305.00,-100415.00
2024-02-29 14:52:44.856668,80,166,458,65.76,780.56,-283.53,573370.00,441682.50,-216422.50
2024-02-29 14:52:44.867899,81,171,463,94.92,768.60,-469.09,573370.00,279510.00,-307090.00
2024-02-29 14:52:44.875623,82,173,436,109.43,717.60,-604.39,573370.00,122185.00,-318867.50
2024-02-29 14:52:44.886742,83,177,462,117.00,667.10,-677.59,573370.00,15470.00,-299285.00
2024-02-29 14:52:44.895319,83,179,452,116.02,631.23,-710.53,572897.50,-47250.00,-285425.00
2024-02-29 14:52:44.901693,82,183,468,106.38,606.10,-724.80,554505.00,-90930.00,-273175.00
2024-02-29 14:52:44.912132,80,184,0,100.04,590.60,-724.56,497227.50,-119647.50,-267697.50
2024-02-29 14:52:44.920365,78,186,473,101.99,572.42,-718.58,481687.50,-135992.50,-264670.00
2024-02-29 14:52:44.930029,75,186,471,102.48,544.00,-718.09,494970.00,-154420.00,-258352.50
