Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 16:07:45.186875,153,62,631,-567.54,-36.11,824.48,-43347.50,31062.50,-12897.50
2024-02-29 16:07:45.192735,153,62,0,-573.16,-33.43,791.17,-45937.50,20685.00,-17762.50
2024-02-29 16:07:45.203766,153,62,522,-586.58,-43.55,783.61,-38955.00,-10430.00,-20002.50
2024-02-29 16:07:45.210477,153,62,526,-595.60,-66.98,810.81,-12740.00,7402.50,-10045.00
2024-02-29 16:07:45.221411,153,62,514,-599.75,-80.52,806.18,2695.00,8435.00,-2572.50
2024-02-29 16:07:45.225860,154,61,508,-605.97,-84.06,804.47,5285.00,9957.50,-5687.50
2024-02-29 16:07:45.239577,154,62,493,-614.88,-91.38,810.20,9432.50,17552.50,-8662.50
2024-02-29 16:07:45.245171,155,64,467,-622.93,-106.51,814.59,20702.50,25095.00,-5530.00
2024-02-29 16:07:45.256774,155,65,470,-628.30,-121.27,813.50,36347.50,29137.50,437.50
2024-02-29 16:07:45.262708,156,67,455,-631.23,-127.98,809.59,46252.50,30590.00,4865.00
2024-02-29 16:07:45.273383,156,69,449,-632.69,-122.73,807.88,48457.50,31500.00,3517.50
2024-02-29 16:07:45.280450,157,72,473,-633.06,-110.53,808.13,41037.50,33810.00,-717.50
2024-02-29 16:07:45.290903,157,74,482,-630.50,-100.53,804.96,27912.50,33180.00,2047.50
2024-02-29 16:07:45.304461,158,77,466,-625.37,-91.38,798.12,12845.00,28052.50,10062.50
2024-02-29 16:07:45.312788,158,80,468,-620.00,-83.20,793.24,1050.00,22977.50,16502.50
2024-02-29 16:07:45.316881,158,82,462,-615.86,-83.08,790.07,-4147.50,19530.00,25865.00
2024-02-29 16:07:45.327848,159,84,465,-612.07,-91.13,785.31,-6317.50,15242.50,44170.00
2024-02-29 16:07:45.337667,159,88,458,-607.56,-98.70,780.31,-5495.00,10202.50,66745.00
2024-02-29 16:07:45.343911,159,91,461,-603.05,-99.92,777.99,-262.50,5915.00,81375.00
2024-02-29 16:07:45.354219,158,94,456,-600.36,-95.65,780.43,-2800.00,5355.00,88200.00
2024-02-29 16:07:45.367784,158,95,435,-600.24,-82.35,785.44,-7122.50,8277.50,81305.00
2024-02-29 16:07:45.373541,156,97,0,-602.92,-61.98,789.22,-11427.50,12512.50,57242.50
2024-02-29 16:07:45.385945,154,98,460,-607.93,-52.70,790.93,-8295.00,16450.00,31237.50
2024-02-29 16:07:45.394545,152,99,447,-613.90,-57.10,790.07,7385.00,19425.00,19127.50
2024-02-29 16:07:45.398921,149,99,462,-620.74,-65.64,786.90,23415.00,20930.00,13142.50
2024-02-29 16:07:45.409346,146,99,451,-629.76,-73.20,787.63,43155.00,23922.50,12775.00
2024-02-29 16:07:45.421202,142,97,441,-641.84,-66.61,797.15,59762.50,33617.50,6370.00
2024-02-29 16:07:45.430233,136,96,472,-654.77,-45.51,812.76,59482.50,49017.50,-11357.50
2024-02-29 16:07:45.435200,131,94,0,-664.78,-17.57,826.43,62562.50,64907.50,-32917.50
2024-02-29 16:07:45.447119,125,92,450,-670.39,10.74,828.62,65450.00,74252.50,-57295.00
2024-02-29 16:07:45.452525,120,89,0,-669.29,27.21,821.30,49560.00,75897.50,-77997.50
2024-02-29 16:07:45.465291,113,86,0,-661.61,25.62,806.91,29680.00,70472.50,-85085.00
2024-02-29 16:07:45.470043,108,84,464,-652.21,8.05,786.66,16817.50,58100.00,-75897.50
2024-02-29 16:07:45.483581,103,82,475,-646.23,-8.54,762.13,9695.00,42962.50,-61302.50
2024-02-29 16:07:45.490147,98,79,463,-642.70,-15.86,728.10,-1365.00,15767.50,-54127.50
2024-02-29 16:07:45.502770,94,78,463,-642.45,-24.16,685.03,-15032.50,-16275.00,-51520.00
2024-02-29 16:07:45.509246,92,77,461,-643.67,-42.33,647.58,-19792.50,-53060.00,-43085.00
2024-02-29 16:07:45.521389,89,76,0,-640.87,-59.41,638.67,-15750.00,-69282.50,-29977.50
2024-02-29 16:07:45.529198,87,76,0,-633.42,-57.83,649.77,-19250.00,-62860.00,-27702.50
2024-02-29 16:07:45.534769,87,76,0,-623.42,-44.04,660.75,-29120.00,-54337.50,-37170.00
2024-02-29 16:07:45.543824,86,77,404,-614.88,-34.89,674.54,-33950.00,-44327.50,-45937.50
2024-02-29 16:07:45.556519,85,78,449,-609.39,-34.04,690.89,-32095.00,-31465.00,-47670.00
2024-02-29 16:07:45.562759,84,81,451,-606.58,-35.62,704.79,-31010.00,-21227.50,-45500.00
2024-02-29 16:07:45.573719,84,82,433,-605.85,-36.97,720.17,-27947.50,-10307.50,-42892.50
2024-02-29 16:07:45.580073,84,85,0,-605.97,-38.55,739.56,-23852.50,6475.00,-39585.00
2024-02-29 16:07:45.590851,84,87,0,-606.83,-40.63,756.64,-22470.00,23660.00,-35787.50
2024-02-29 16:07:45.597866,85,92,414,-612.81,-44.41,763.48,-21210.00,35525.00,-31570.00
2024-02-29 16:07:45.609415,86,94,0,-630.50,-54.17,724.19,-20860.00,11375.00,-26950.00
2024-02-29 16:07:45.615863,88,101,410,-652.58,-78.69,709.19,-10097.50,-18480.00,-7210.00
2024-02-29 16:07:45.628153,91,99,0,-667.22,-99.06,744.44,-1872.50,4777.50,15102.50
2024-02-29 16:07:45.633467,91,109,454,-676.00,-108.82,751.52,2905.00,18182.50,29190.00
2024-02-29 16:07:45.646884,93,114,502,-682.47,-122.00,747.37,-875.00,18200.00,47880.00
2024-02-29 16:07:45.652851,95,119,0,-688.08,-137.62,752.74,700.00,22260.00,69282.50
2024-02-29 16:07:45.664849,97,76,0,-692.84,-144.94,764.70,5827.50,31675.00,87867.50
2024-02-29 16:07:45.671230,-46,203,0,-695.64,-142.74,776.29,8102.50,41685.00,94360.00
2024-02-29 16:07:45.683610,-46,139,0,-694.55,-139.81,781.29,19932.50,50470.00,97195.00
2024-02-29 16:07:45.692686,-46,209,0,-688.93,-131.27,774.21,31570.00,50470.00,90685.00
2024-02-29 16:07:45.697407,-46,211,0,-682.10,-114.07,758.96,32690.00,43277.50,69632.50
2024-02-29 16:07:45.709380,-46,208,0,-675.88,-92.96,740.91,27772.50,33232.50,42840.00
2024-02-29 16:07:45.715321,-46,204,0,-670.76,-77.10,723.46,20300.00,22242.50,19477.50
2024-02-29 16:07:45.727045,-46,199,0,-667.10,-74.42,708.09,20142.50,10780.00,4952.50
2024-02-29 16:07:45.733410,-46,212,0,-665.39,-79.79,698.57,37660.00,3132.50,6195.00
2024-02-29 16:07:45.746039,-46,210,0,-663.80,-53.68,687.35,36190.00,-5040.00,-14437.50
2024-02-29 16:07:45.752516,-46,208,0,-664.41,-19.03,679.66,7665.00,-13352.50,-60900.00
2024-02-29 16:07:45.764802,-46,212,0,-669.17,-17.08,683.08,1802.50,-10342.50,-74917.50
2024-02-29 16:07:45.770208,-46,138,0,-675.76,-27.33,688.20,11515.00,-5617.50,-71645.00
2024-02-29 16:07:45.783531,-46,120,0,-683.20,-44.16,693.57,24115.00,1277.50,-57662.50
2024-02-29 16:07:45.789381,-46,239,0,-690.52,-58.44,696.74,32165.00,6125.00,-36610.00
2024-02-29 16:07:45.801701,-46,212,0,-697.11,-61.12,701.74,32375.00,10990.00,-21945.00
2024-02-29 16:07:45.810155,-46,211,0,-702.96,-56.61,710.16,26740.00,18077.50,-12250.00
2024-02-29 16:07:45.813490,-46,188,0,-708.58,-54.66,719.31,15872.50,26285.00,-2117.50
2024-02-29 16:07:45.823646,-46,204,0,-715.16,-64.29,730.29,12442.50,36015.00,14665.00
2024-02-29 16:07:45.837711,-46,205,0,-717.85,-77.84,734.93,23065.00,45570.00,37730.00
2024-02-29 16:07:45.846054,-46,209,0,-716.14,-82.47,734.56,33110.00,44887.50,45062.50
2024-02-29 16:07:45.850851,-46,210,0,-715.16,-80.64,734.93,40705.00,47862.50,44292.50
2024-02-29 16:07:45.861426,-46,188,0,-713.21,-74.66,732.37,46025.00,47827.50,38692.50
2024-02-29 16:07:45.869741,-46,215,0,-711.02,-63.56,726.88,45132.50,45587.50,28630.00
2024-02-29 16:07:45.878184,-46,220,0,-708.33,-47.70,715.16,33530.00,39917.50,17150.00
2024-02-29 16:07:45.890228,-46,209,0,-704.67,-34.04,697.23,17972.50,29172.50,4812.50
2024-02-29 16:07:45.896035,-46,283,0,-701.74,-34.40,677.47,16187.50,15225.00,-1785.00
2024-02-29 16:07:45.907151,163,140,711,-700.65,-30.62,661.73,24482.50,4217.50,-595.00
2024-02-29 16:07:45.913618,163,139,523,-700.52,-0.98,646.84,8032.50,-7087.50,-25777.50
2024-02-29 16:07:45.924685,163,139,0,-702.72,19.52,638.55,-17360.00,-16012.50,-54460.00
2024-02-29 16:07:45.936021,162,138,0,-709.31,8.17,637.94,-18235.00,-13317.50,-53812.50
2024-02-29 16:07:45.942475,159,138,481,-717.48,-14.40,639.65,-3832.50,-12915.00,-39165.00
2024-02-29 16:07:45.953900,157,140,0,-723.58,-26.47,648.31,11550.00,-5460.00,-26145.00
2024-02-29 16:07:45.959236,155,137,467,-726.02,-24.28,656.73,15592.50,2450.00,-27055.00
2024-02-29 16:07:45.970803,151,136,466,-724.80,-24.52,660.02,15085.00,7980.00,-26967.50
2024-02-29 16:07:45.976851,147,136,454,-722.00,-30.01,657.46,14910.00,10307.50,-18900.00
2024-02-29 16:07:45.987760,141,135,444,-722.48,-32.82,643.55,9222.50,6737.50,-6107.50
2024-02-29 16:07:46.000292,136,133,411,-726.39,-30.50,641.23,-2082.50,-4445.00,2450.00
2024-02-29 16:07:46.008580,130,132,382,-730.05,-33.79,657.34,-7822.50,6370.00,12967.50
2024-02-29 16:07:46.012512,124,131,378,-733.34,-45.38,668.68,-5722.50,14542.50,28507.50
2024-02-29 16:07:46.022508,117,130,382,-735.78,-52.95,674.54,-455.00,19477.50,42192.50
2024-02-29 16:07:46.034774,112,128,0,-737.61,-49.65,678.20,3867.50,22067.50,43295.00
2024-02-29 16:07:46.040067,107,125,0,-738.59,-38.31,678.08,5600.00,23222.50,33932.50
2024-02-29 16:07:46.053705,101,127,454,-738.59,-23.42,670.02,5565.00,19582.50,18742.50
2024-02-29 16:07:46.058588,96,124,0,-737.86,-10.49,658.07,3062.50,11602.50,3570.00
2024-02-29 16:07:46.071621,92,128,458,-737.61,-8.91,649.04,6072.50,5670.00,-3815.00
2024-02-29 16:07:46.075851,89,127,0,-735.90,-7.32,631.23,10080.00,-2747.50,-3990.00
2024-02-29 16:07:46.090211,87,127,454,-732.49,6.95,608.41,945.00,-20982.50,-20597.50
2024-02-29 16:07:46.096032,86,128,448,-730.05,15.62,590.85,-8575.00,-34807.50,-39795.00
2024-02-29 16:07:46.106753,86,127,446,-727.49,10.61,575.72,-11112.50,-52465.00,-47425.00
2024-02-29 16:07:46.112683,86,127,0,-725.66,2.81,577.55,-15802.50,-57540.00,-49245.00
2024-02-29 16:07:46.125121,86,127,437,-726.39,-3.66,595.97,-12792.50,-43190.00,-46112.50
2024-02-29 16:07:46.131168,87,127,449,-728.71,-14.76,614.64,-1575.00,-27597.50,-33285.00
2024-02-29 16:07:46.143190,88,127,448,-733.46,-24.77,621.47,6842.50,-20790.00,-18462.50
2024-02-29 16:07:46.149218,92,129,448,-739.56,-28.06,634.89,7262.50,-20422.50,-7665.00
2024-02-29 16:07:46.161678,96,129,443,-744.44,-18.18,660.26,1942.50,-5477.50,-1680.00
2024-02-29 16:07:46.166875,100,131,452,-747.13,-1.34,676.12,-7822.50,6177.50,-9135.00
2024-02-29 16:07:46.180154,105,131,0,-748.35,7.32,681.00,-11340.00,9887.50,-15067.50
2024-02-29 16:07:46.186073,108,135,454,-750.06,14.88,684.79,-11445.00,12197.50,-21787.50
2024-02-29 16:07:46.198845,112,137,0,-754.45,21.72,686.13,-12162.50,17097.50,-31027.50
