Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-29 14:49:16.727133,146,44,513,-756.16,646.36,58.07,-7350.00,-2047.50,-2047.50
2024-02-29 14:49:16.735114,146,43,531,-755.55,646.60,57.83,-9257.50,-2170.00,-2205.00
2024-02-29 14:49:16.739345,146,42,548,-753.96,648.31,57.95,-10780.00,-2135.00,-3727.50
2024-02-29 14:49:16.743644,147,37,0,-751.52,651.24,57.83,-13160.00,-1890.00,-6632.50
2024-02-29 14:49:16.747602,147,42,511,-748.35,654.90,57.34,-17220.00,-1802.50,-10167.50
2024-02-29 14:49:16.755639,147,42,503,-745.18,658.56,55.88,-22067.50,-1522.50,-13422.50
2024-02-29 14:49:16.759713,147,42,0,-741.76,662.95,52.95,-27492.50,-2415.00,-16800.00
2024-02-29 14:49:16.763827,147,44,493,-737.61,669.05,48.31,-33162.50,-4760.00,-21752.50
2024-02-29 14:49:16.768100,146,44,489,-732.98,677.22,41.85,-37467.50,-8837.50,-29540.00
2024-02-29 14:49:16.776375,146,46,458,-727.85,687.84,34.65,-41107.50,-14577.50,-40582.50
2024-02-29 14:49:16.780189,146,48,475,-729.56,693.94,27.57,-41440.00,-20877.50,-55282.50
2024-02-29 14:49:16.784259,145,50,482,-745.66,653.31,11.22,-31290.00,-31867.50,-28910.00
2024-02-29 14:49:16.788352,146,53,0,-764.45,625.37,15.86,-18392.50,-45132.50,192.50
2024-02-29 14:49:16.792516,145,54,478,-773.72,634.52,45.51,-10150.00,-29120.00,-17815.00
2024-02-29 14:49:16.800683,145,57,465,-779.58,622.93,61.73,3097.50,-23537.50,-16887.50
2024-02-29 14:49:16.804715,145,60,460,-786.41,609.02,80.89,24307.50,-21577.50,-16240.00
2024-02-29 14:49:16.808787,144,63,466,-793.37,597.56,110.04,48965.00,-9257.50,-15837.50
2024-02-29 14:49:16.817080,143,65,505,-799.71,589.26,134.93,72100.00,3517.50,-15662.50
2024-02-29 14:49:16.821105,143,68,458,-803.37,583.53,153.72,87027.50,13247.50,-16555.00
2024-02-29 14:49:16.825294,142,69,436,-803.25,577.18,168.85,93940.00,23222.50,-14980.00
2024-02-29 14:49:16.833489,140,71,516,-800.81,571.94,177.63,90352.50,34562.50,-9887.50
2024-02-29 14:49:16.837482,139,72,463,-797.51,572.67,175.19,82425.00,42630.00,-6510.00
2024-02-29 14:49:16.842793,137,74,461,-794.71,580.72,159.33,70525.00,44870.00,-6807.50
2024-02-29 14:49:16.850296,134,77,0,-792.63,594.87,135.91,61232.50,42717.50,-11952.50
2024-02-29 14:49:16.861803,132,75,0,-790.32,612.07,111.26,48230.00,40985.00,-19215.00
2024-02-29 14:49:16.868236,130,75,0,-786.66,628.30,89.06,31325.00,40687.50,-25952.50
2024-02-29 14:49:16.878958,126,74,470,-780.92,643.67,74.42,11357.50,45902.50,-30555.00
2024-02-29 14:49:16.885608,121,73,475,-774.21,654.90,60.63,-9222.50,53340.00,-34475.00
2024-02-29 14:49:16.896688,118,71,0,-768.11,654.16,39.89,-25287.50,49577.50,-32602.50
2024-02-29 14:49:16.903363,114,69,486,-763.96,648.06,21.47,-35402.50,42052.50,-26092.50
2024-02-29 14:49:16.914065,110,67,472,-762.38,640.50,8.30,-45080.00,34650.00,-21122.50
2024-02-29 14:49:16.924021,105,64,488,-764.70,630.98,-1.95,-48615.00,24832.50,-15907.50
2024-02-29 14:49:16.931096,101,60,484,-771.89,618.91,-11.71,-42630.00,9047.50,-13982.50
2024-02-29 14:49:16.941463,98,57,0,-782.39,602.19,-15.62,-24360.00,-12897.50,-12442.50
2024-02-29 14:49:16.948462,93,54,483,-790.93,581.94,2.07,2152.50,-24167.50,-10622.50
2024-02-29 14:49:16.958953,91,53,0,-798.86,566.81,35.62,29732.50,-12075.00,-4935.00
2024-02-29 14:49:16.969890,88,47,487,-808.13,556.32,67.95,50190.00,1592.50,-8137.50
2024-02-29 14:49:16.976259,86,45,480,-816.55,544.49,90.16,76195.00,10587.50,-7647.50
2024-02-29 14:49:16.988429,85,59,0,-823.74,539.36,102.60,99522.50,16415.00,-9187.50
2024-02-29 14:49:16.995504,84,42,458,-829.11,541.56,106.87,107135.00,20842.50,-14612.50
2024-02-29 14:49:17.006151,84,42,450,-832.28,546.68,101.75,111055.00,22592.50,-19670.00
2024-02-29 14:49:17.013208,84,42,447,-833.75,554.00,88.94,103547.50,21035.00,-24902.50
2024-02-29 14:49:17.023816,84,42,460,-832.89,560.71,71.00,89932.50,18165.00,-29277.50
2024-02-29 14:49:17.030335,84,43,468,-829.72,564.13,50.51,75022.50,14787.50,-30327.50
2024-02-29 14:49:17.042235,84,44,0,-824.48,562.54,30.26,58747.50,12145.00,-26967.50
2024-02-29 14:49:17.048937,84,63,0,-818.38,556.08,11.96,43662.50,10010.00,-18865.00
2024-02-29 14:49:17.061029,84,59,0,-812.52,547.41,-3.78,29435.00,7262.50,-8662.50
2024-02-29 14:49:17.065169,85,51,0,-809.35,539.12,-20.74,16537.50,2660.00,2047.50
2024-02-29 14:49:17.079115,85,55,462,-811.42,526.80,-42.46,6632.50,-8452.50,13440.00
2024-02-29 14:49:17.085948,86,57,448,-815.57,510.45,-66.73,-3640.00,-26180.00,30607.50
2024-02-29 14:49:17.096618,86,47,0,-817.16,493.12,-84.06,-10290.00,-43732.50,50557.50
2024-02-29 14:49:17.103813,86,65,473,-812.28,478.97,-92.72,-10010.00,-55422.50,72940.00
2024-02-29 14:49:17.115126,86,69,460,-799.34,478.48,-101.50,-5845.00,-70682.50,85715.00
2024-02-29 14:49:17.122495,86,73,462,-783.24,494.59,-107.24,-1575.00,-87272.50,82407.50
2024-02-29 14:49:17.133746,86,76,474,-766.65,525.09,-101.75,-1050.00,-94797.50,60182.50
2024-02-29 14:49:17.142433,86,80,480,-751.76,561.44,-82.96,-8032.50,-88200.00,27492.50
2024-02-29 14:49:17.147933,87,84,0,-743.22,597.92,-55.39,-9992.50,-69405.00,-9117.50
2024-02-29 14:49:17.157859,86,87,0,-764.09,573.77,-23.42,13405.00,-35525.00,-16415.00
2024-02-29 14:49:17.168727,86,90,0,-793.49,553.76,-8.42,29522.50,-9152.50,23992.50
2024-02-29 14:49:17.173379,86,92,0,-804.10,590.36,-15.01,9555.00,577.50,-3097.50
2024-02-29 14:49:17.187045,86,94,517,-810.81,605.36,-28.43,-6737.50,507.50,-16327.50
2024-02-29 14:49:17.193441,86,95,582,-816.67,615.61,-23.42,997.50,8102.50,-25200.00
2024-02-29 14:49:17.205487,86,97,825,-821.30,632.94,4.88,14717.50,38587.50,-42945.00
2024-02-29 14:49:17.211993,-46,188,0,-822.52,646.60,30.01,22767.50,68057.50,-57750.00
2024-02-29 14:49:17.223806,-46,192,0,-820.21,652.46,43.68,39987.50,88235.00,-68355.00
2024-02-29 14:49:17.230621,-46,197,0,-815.81,648.06,46.12,69020.00,95847.50,-70472.50
2024-02-29 14:49:17.242572,-46,202,0,-811.54,635.38,37.58,90842.50,93292.50,-66850.00
2024-02-29 14:49:17.251073,-46,203,0,-807.88,617.93,16.84,89687.50,79450.00,-58380.00
2024-02-29 14:49:17.256120,-46,115,0,-806.42,598.04,-8.05,75232.50,56350.00,-46532.50
2024-02-29 14:49:17.266634,-46,199,0,-807.64,576.94,-29.89,78960.00,34230.00,-35437.50
2024-02-29 14:49:17.277652,-46,204,0,-809.71,557.66,-42.21,59657.50,15277.50,-22347.50
2024-02-29 14:49:17.284425,-46,198,0,-812.89,546.07,-45.51,45675.00,7315.00,-13580.00
2024-02-29 14:49:17.295136,-46,200,0,-817.52,535.46,-55.88,33232.50,-1942.50,-8802.50
2024-02-29 14:49:17.301799,-46,197,0,-821.06,515.94,-80.40,25042.50,-23450.00,3237.50
2024-02-29 14:49:17.311678,-46,181,0,-821.79,497.52,-107.60,19495.00,-48055.00,19022.50
2024-02-29 14:49:17.322708,-46,199,0,-819.72,486.54,-128.59,16310.00,-67130.00,30835.00
2024-02-29 14:49:17.329841,-46,215,0,-818.38,484.58,-138.10,27667.50,-75862.50,36995.00
2024-02-29 14:49:17.340294,-46,194,0,-820.57,498.13,-129.81,37870.00,-67445.00,27737.50
2024-02-29 14:49:17.347479,-46,209,0,-823.74,521.31,-108.34,42280.00,-43977.50,8680.00
2024-02-29 14:49:17.358688,-46,190,0,-826.31,544.24,-88.57,43032.50,-18602.50,-10395.00
2024-02-29 14:49:17.365586,150,103,491,-828.38,563.64,-75.03,43102.50,962.50,-26215.00
2024-02-29 14:49:17.377178,152,104,480,-829.97,580.72,-62.46,41107.50,19092.50,-40442.50
2024-02-29 14:49:17.384185,153,104,510,-829.97,591.21,-51.36,40600.00,36225.00,-54110.00
2024-02-29 14:49:17.394949,153,104,511,-827.89,589.87,-45.51,40915.00,48422.50,-58310.00
2024-02-29 14:49:17.401838,153,104,498,-825.33,580.48,-44.29,41440.00,55615.00,-55895.00
2024-02-29 14:49:17.413543,153,104,0,-823.50,564.74,-46.60,38727.50,57610.00,-48510.00
2024-02-29 14:49:17.420382,152,104,468,-824.11,543.63,-53.44,34352.50,52937.50,-36820.00
2024-02-29 14:49:17.430831,150,104,503,-827.40,520.70,-66.73,35192.50,41562.50,-23975.00
2024-02-29 14:49:17.438121,146,105,0,-832.77,500.32,-86.62,34142.50,24500.00,-10622.50
2024-02-29 14:49:17.448477,143,107,0,-839.12,481.17,-115.29,30485.00,2117.50,-332.50
2024-02-29 14:49:17.455490,138,105,474,-845.22,458.11,-146.89,29155.00,-27177.50,15085.00
2024-02-29 14:49:17.465970,133,104,457,-848.39,437.00,-165.92,22837.50,-46445.00,35000.00
2024-02-29 14:49:17.473203,126,103,443,-844.36,426.88,-177.88,9957.50,-57260.00,51520.00
2024-02-29 14:49:17.484750,120,102,0,-835.70,428.22,-190.32,3552.50,-69247.50,60287.50
2024-02-29 14:49:17.491663,114,101,476,-828.14,451.64,-195.81,-157.50,-75705.00,51345.00
2024-02-29 14:49:17.503256,110,101,0,-823.26,493.61,-180.07,4795.00,-66062.50,16117.50
2024-02-29 14:49:17.510364,104,102,0,-826.31,514.60,-150.91,17360.00,-36155.00,-8347.50
2024-02-29 14:49:17.521599,98,100,472,-831.43,525.33,-132.49,22837.50,-11112.50,-12740.00
