Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-15 16:38:15.459981,114,73,451,54.90,-293.78,-964.41,752.50,-157.50,-332.50
2024-02-15 16:38:15.564149,114,72,473,55.14,-293.04,-964.53,1120.00,-227.50,-280.00
2024-02-15 16:38:15.669737,114,71,468,55.02,-293.17,-964.41,420.00,-210.00,-315.00
2024-02-15 16:38:15.775510,114,71,455,55.02,-292.80,-964.53,140.00,-175.00,-315.00
2024-02-15 16:38:15.879842,114,72,443,54.90,-292.80,-964.41,752.50,-192.50,-420.00
2024-02-15 16:38:15.985568,114,71,446,55.14,-292.56,-964.53,0.00,-157.50,-280.00
2024-02-15 16:38:16.090505,114,72,433,54.90,-292.56,-964.41,455.00,-227.50,-280.00
2024-02-15 16:38:16.196051,114,72,422,55.02,-292.43,-964.53,420.00,-122.50,-280.00
2024-02-15 16:38:16.301480,113,73,405,54.90,-292.31,-964.65,280.00,-140.00,-350.00
2024-02-15 16:38:16.407442,113,74,397,55.02,-292.19,-964.90,472.50,-245.00,-315.00
2024-02-15 16:38:16.511520,112,76,391,55.02,-292.31,-964.90,420.00,-210.00,-210.00
2024-02-15 16:38:16.616772,112,75,0,54.78,-292.31,-964.78,630.00,-175.00,-350.00
2024-02-15 16:38:16.722437,112,76,0,54.90,-292.07,-964.78,437.50,-105.00,-315.00
2024-02-15 16:38:16.827464,111,80,386,54.90,-292.07,-964.78,350.00,-87.50,-332.50
2024-02-15 16:38:16.932155,111,82,388,54.78,-291.82,-964.78,840.00,-192.50,-297.50
2024-02-15 16:38:17.037466,111,84,393,54.90,-291.95,-964.78,315.00,-175.00,-297.50
2024-02-15 16:38:17.143082,111,85,388,55.02,-292.19,-964.78,595.00,-140.00,-297.50
2024-02-15 16:38:17.247915,110,86,376,55.02,-291.70,-964.78,472.50,-192.50,-315.00
2024-02-15 16:38:17.352790,110,86,377,54.78,-291.70,-964.90,507.50,-175.00,-332.50
2024-02-15 16:38:17.458064,110,87,0,55.02,-291.34,-965.26,437.50,-87.50,-297.50
2024-02-15 16:38:17.562842,110,88,384,54.66,-291.58,-965.02,385.00,-175.00,-315.00
2024-02-15 16:38:17.669559,109,88,401,54.78,-291.34,-965.14,717.50,-192.50,-262.50
2024-02-15 16:38:17.774836,107,89,405,54.90,-291.34,-965.02,630.00,-210.00,-297.50
2024-02-15 16:38:17.878808,106,87,400,54.90,-291.21,-965.02,297.50,-245.00,-262.50
2024-02-15 16:38:17.984796,104,87,408,54.41,-291.34,-965.02,665.00,-175.00,-315.00
2024-02-15 16:38:18.090241,102,85,419,55.02,-290.85,-965.14,682.50,-210.00,-280.00
