Time,x,y,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2024-02-15 16:15:44.768266,117,61,483,38.06,-965.75,303.54,735.00,-157.50,-245.00
2024-02-15 16:15:44.873606,117,61,513,37.82,-965.75,303.78,192.50,-262.50,-315.00
2024-02-15 16:15:44.978508,116,62,531,38.31,-966.00,303.66,787.50,-157.50,-280.00
2024-02-15 16:15:45.083858,116,62,0,38.06,-965.75,303.78,700.00,-70.00,-402.50
2024-02-15 16:15:45.188218,116,62,470,37.82,-965.75,303.90,542.50,-192.50,-350.00
2024-02-15 16:15:45.294699,116,62,446,37.94,-965.75,304.02,542.50,-227.50,-262.50
2024-02-15 16:15:45.399214,115,51,0,37.70,-965.63,303.66,437.50,-122.50,-332.50
2024-02-15 16:15:45.504774,115,64,419,37.58,-965.75,303.78,542.50,-245.00,-367.50
2024-02-15 16:15:45.599177,115,63,405,37.94,-966.00,303.54,560.00,-70.00,-315.00
2024-02-15 16:15:45.714717,115,63,402,37.82,-965.87,303.66,717.50,-192.50,-280.00
2024-02-15 16:15:45.819057,114,64,388,37.70,-965.87,303.78,525.00,-157.50,-280.00
2024-02-15 16:15:45.925200,114,64,390,37.70,-965.87,303.54,770.00,-227.50,-262.50
2024-02-15 16:15:46.030906,114,65,0,37.82,-965.75,303.66,437.50,-105.00,-367.50
2024-02-15 16:15:46.135436,113,65,396,37.82,-965.87,303.29,507.50,-122.50,-315.00
2024-02-15 16:15:46.240476,113,68,370,37.70,-965.75,303.54,577.50,-210.00,-332.50
2024-02-15 16:15:46.346169,113,57,0,37.94,-965.63,303.78,577.50,-245.00,-367.50
2024-02-15 16:15:46.450899,113,70,371,37.82,-965.75,303.78,507.50,-175.00,-262.50
2024-02-15 16:15:46.555650,113,71,0,37.70,-965.87,303.54,525.00,-192.50,-280.00
2024-02-15 16:15:46.661798,112,72,382,37.70,-965.75,303.66,490.00,-157.50,-280.00
2024-02-15 16:15:46.766660,112,73,0,37.70,-965.87,303.66,507.50,-192.50,-280.00
2024-02-15 16:15:46.871777,111,75,369,37.70,-966.00,303.66,577.50,-105.00,-280.00
2024-02-15 16:15:46.977790,112,74,0,37.58,-965.87,303.78,525.00,-175.00,-315.00
2024-02-15 16:15:47.082793,113,77,0,37.58,-965.75,303.66,542.50,-227.50,-367.50
2024-02-15 16:15:47.187423,112,78,379,37.58,-965.87,303.54,437.50,-175.00,-297.50
2024-02-15 16:15:47.293292,112,81,0,37.58,-966.00,303.54,507.50,-175.00,-297.50
2024-02-15 16:15:47.398720,112,82,375,37.58,-965.87,303.78,455.00,-192.50,-262.50
2024-02-15 16:15:47.503535,112,84,338,37.82,-966.00,303.54,490.00,-157.50,-280.00
2024-02-15 16:15:47.608707,113,85,373,37.82,-966.00,303.41,490.00,-140.00,-245.00
2024-02-15 16:15:47.713312,113,85,371,37.82,-965.75,303.66,700.00,-192.50,-280.00
2024-02-15 16:15:47.819670,113,87,368,37.58,-965.75,303.66,525.00,-105.00,-332.50
2024-02-15 16:15:47.924267,113,89,360,37.58,-965.63,303.66,560.00,-175.00,-280.00
2024-02-15 16:15:48.029818,114,90,0,37.70,-965.75,303.54,472.50,-227.50,-262.50
2024-02-15 16:15:48.134162,114,92,370,37.70,-965.75,303.78,507.50,-227.50,-315.00
2024-02-15 16:15:48.241270,115,92,371,37.82,-965.75,303.90,402.50,-157.50,-367.50
2024-02-15 16:15:48.346088,115,93,376,37.82,-965.87,303.54,560.00,-175.00,-315.00
2024-02-15 16:15:48.449944,115,94,364,37.82,-966.00,303.66,385.00,-192.50,-315.00
2024-02-15 16:15:48.555983,115,94,363,37.94,-965.87,303.54,682.50,-175.00,-280.00
2024-02-15 16:15:48.661149,115,96,365,37.82,-965.75,303.54,542.50,-157.50,-297.50
2024-02-15 16:15:48.766348,115,97,370,37.82,-965.75,303.54,542.50,-192.50,-297.50
2024-02-15 16:15:48.871553,116,96,0,37.58,-965.75,303.78,560.00,-192.50,-297.50
2024-02-15 16:15:48.976425,115,99,377,37.70,-965.75,303.66,490.00,-245.00,-297.50
2024-02-15 16:15:49.081901,116,97,0,37.82,-965.75,303.66,437.50,-175.00,-367.50
2024-02-15 16:15:49.180838,116,100,375,37.82,-965.63,303.54,490.00,-105.00,-280.00
2024-02-15 16:15:49.292599,116,100,375,37.82,-965.75,303.78,577.50,-140.00,-315.00
2024-02-15 16:15:49.397557,117,101,369,37.70,-965.75,303.78,525.00,-122.50,-280.00
2024-02-15 16:15:49.502054,118,101,0,37.58,-966.00,303.54,542.50,-157.50,-297.50
